E_min_MeV,E_max_MeV,N
0.0,0.05,0
0.05,0.1,0
0.1,0.15,0
0.15,0.2,0
0.2,0.25,0
0.25,0.3,0
0.3,0.35,0
0.35,0.4,0
0.4,0.45,0
0.45,0.5,0
0.5,0.55,0
0.55,0.6,0
0.6,0.65,0
0.65,0.7,0
0.7,0.75,119
0.75,0.8,147
0.8,0.85,174
0.85,0.9,212
0.9,0.95,272
0.95,1.0,311
1.0,1.05,355
1.05,1.1,424
1.1,1.15,471
1.15,1.2,498
1.2,1.25,491
1.25,1.3,594
1.3,1.35,640
1.35,1.4,697
1.4,1.45,746
1.45,1.5,818
1.5,1.55,752
1.55,1.6,872
1.6,1.65,887
1.65,1.7,861
1.7,1.75,908
1.75,1.8,997
1.8,1.85,1023
1.85,1.9,1008
1.9,1.95,1099
1.95,2.0,1136
2.0,2.05,1166
2.05,2.1,1121
2.1,2.15,1146
2.15,2.2,1207
2.2,2.25,1174
2.25,2.3,1252
2.3,2.35,1204
2.35,2.4,1297
2.4,2.45,1320
2.45,2.5,1359
2.5,2.55,1367
2.55,2.6,1342
2.6,2.65,1344
2.65,2.7,1306
2.7,2.75,1403
2.75,2.8,1381
2.8,2.85,1349
2.85,2.9,1327
2.9,2.95,1354
2.95,3.0,1323
3.0,3.05,1304
3.05,3.1,1291
3.1,3.15,1450
3.15,3.2,1258
3.2,3.25,1345
3.25,3.3,1287
3.3,3.35,1269
3.35,3.4,1300
3.4,3.45,1255
3.45,3.5,1241
3.5,3.55,1202
3.55,3.6,1152
3.6,3.65,1167
3.65,3.7,1224
3.7,3.75,1107
3.75,3.8,1143
3.8,3.85,1145
3.85,3.9,1011
3.9,3.95,1084
3.95,4.0,1074
4.0,4.05,986
4.05,4.1,962
4.1,4.15,966
4.15,4.2,979
4.2,4.25,918
4.25,4.3,926
4.3,4.35,917
4.35,4.4,943
4.4,4.45,860
4.45,4.5,901
4.5,4.55,815
4.55,4.6,833
4.6,4.65,795
4.65,4.7,790
4.7,4.75,770
4.75,4.8,751
4.8,4.85,773
4.85,4.9,727
4.9,4.95,713
4.95,5.0,709
5.0,5.05,694
5.05,5.1,605
5.1,5.15,665
5.15,5.2,600
5.2,5.25,566
5.25,5.3,572
5.3,5.35,485
5.35,5.4,488
5.4,5.45,529
5.45,5.5,498
5.5,5.55,475
5.55,5.6,448
5.6,5.65,429
5.65,5.7,410
5.7,5.75,351
5.75,5.8,353
5.8,5.85,333
5.85,5.9,350
5.9,5.95,321
5.95,6.0,276
6.0,6.05,289
6.05,6.1,274
6.1,6.15,284
6.15,6.2,249
6.2,6.25,236
6.25,6.3,253
6.3,6.35,196
6.35,6.4,188
6.4,6.45,215
6.45,6.5,161
6.5,6.55,169
6.55,6.6,152
6.6,6.65,144
6.65,6.7,132
6.7,6.75,128
6.75,6.8,121
6.8,6.85,88
6.85,6.9,82
6.9,6.95,91
6.95,7.0,77
7.0,7.05,89
7.05,7.1,54
7.1,7.15,64
7.15,7.2,55
7.2,7.25,58
7.25,7.3,60
7.3,7.35,52
7.35,7.4,60
7.4,7.45,36
7.45,7.5,35
7.5,7.55,35
7.55,7.6,21
7.6,7.65,17
7.65,7.7,27
7.7,7.75,17
7.75,7.8,20
7.8,7.85,22
7.85,7.9,17
7.9,7.95,13
7.95,8.0,19
8.0,8.05,6
8.05,8.1,6
8.1,8.15,14
8.15,8.2,8
8.2,8.25,7
8.25,8.3,3
8.3,8.35,7
8.35,8.4,6
8.4,8.45,5
8.45,8.5,8
8.5,8.55,5
8.55,8.6,5
8.6,8.65,3
8.65,8.7,8
8.7,8.75,1
8.75,8.8,2
8.8,8.85,6
8.85,8.9,3
8.9,8.95,1
8.95,9.0,2
9.0,9.05,0
9.05,9.1,2
9.1,9.15,3
9.15,9.2,2
9.2,9.25,2
9.25,9.3,2
9.3,9.35,2
9.35,9.4,1
9.4,9.45,2
9.45,9.5,2
9.5,9.55,3
9.55,9.6,1
9.6,9.65,2
9.65,9.7,1
9.7,9.75,1
9.75,9.8,1
9.8,9.85,1
9.85,9.9,0
9.9,9.95,1
9.95,10.0,1
10.0,10.05,0
10.05,10.1,1
10.1,10.15,0
10.15,10.2,3
10.2,10.25,2
10.25,10.3,1
10.3,10.35,2
10.35,10.4,0
10.4,10.45,1
10.45,10.5,2
10.5,10.55,2
10.55,10.6,0
10.6,10.65,1
10.65,10.7,1
10.7,10.75,1
10.75,10.8,0
10.8,10.85,1
10.85,10.9,1
10.9,10.95,0
10.95,11.0,0
11.0,11.05,0
11.05,11.1,0
11.1,11.15,0
11.15,11.2,1
11.2,11.25,0
11.25,11.3,0
11.3,11.35,0
11.35,11.4,0
11.4,11.45,1
11.45,11.5,0
11.5,11.55,0
11.55,11.6,0
11.6,11.65,0
11.65,11.7,0
11.7,11.75,1
11.75,11.8,0
11.8,11.85,0
11.85,11.9,1
11.9,11.95,0
11.95,12.0,0
