E_min_MeV,E_max_MeV,N
0.0,0.05,0
0.05,0.1,0
0.1,0.15,0
0.15,0.2,0
0.2,0.25,0
0.25,0.3,0
0.3,0.35,0
0.35,0.4,0
0.4,0.45,0
0.45,0.5,0
0.5,0.55,0
0.55,0.6,0
0.6,0.65,0
0.65,0.7,0
0.7,0.75,790
0.75,0.8,812
0.8,0.85,1026
0.85,0.9,1308
0.9,0.95,1679
0.95,1.0,2016
1.0,1.05,2292
1.05,1.1,2563
1.1,1.15,2702
1.15,1.2,3227
1.2,1.25,3514
1.25,1.3,3870
1.3,1.35,4222
1.35,1.4,4464
1.4,1.45,4673
1.45,1.5,4918
1.5,1.55,5245
1.55,1.6,5540
1.6,1.65,5818
1.65,1.7,6001
1.7,1.75,6281
1.75,1.8,6541
1.8,1.85,6901
1.85,1.9,7024
1.9,1.95,7290
1.95,2.0,7378
2.0,2.05,7526
2.05,2.1,7838
2.1,2.15,8176
2.15,2.2,8134
2.2,2.25,8314
2.25,2.3,8161
2.3,2.35,8718
2.35,2.4,8685
2.4,2.45,8969
2.45,2.5,9022
2.5,2.55,9192
2.55,2.6,9306
2.6,2.65,9264
2.65,2.7,9220
2.7,2.75,9307
2.75,2.8,9285
2.8,2.85,9329
2.85,2.9,9256
2.9,2.95,9167
2.95,3.0,9151
3.0,3.05,9204
3.05,3.1,9242
3.1,3.15,9136
3.15,3.2,9231
3.2,3.25,9037
3.25,3.3,9063
3.3,3.35,8824
3.35,3.4,8743
3.4,3.45,8369
3.45,3.5,8320
3.5,3.55,8328
3.55,3.6,8237
3.6,3.65,7941
3.65,3.7,7771
3.7,3.75,7545
3.75,3.8,7522
3.8,3.85,7388
3.85,3.9,7314
3.9,3.95,7147
3.95,4.0,6865
4.0,4.05,6737
4.05,4.1,6545
4.1,4.15,6638
4.15,4.2,6527
4.2,4.25,6345
4.25,4.3,6264
4.3,4.35,6330
4.35,4.4,6024
4.4,4.45,5907
4.45,4.5,5776
4.5,4.55,5696
4.55,4.6,5586
4.6,4.65,5367
4.65,4.7,5258
4.7,4.75,5313
4.75,4.8,5185
4.8,4.85,5054
4.85,4.9,4785
4.9,4.95,4670
4.95,5.0,4566
5.0,5.05,4393
5.05,5.1,4323
5.1,5.15,4195
5.15,5.2,4170
5.2,5.25,3874
5.25,5.3,3681
5.3,5.35,3603
5.35,5.4,3478
5.4,5.45,3422
5.45,5.5,3168
5.5,5.55,3060
5.55,5.6,2952
5.6,5.65,2919
5.65,5.7,2675
5.7,5.75,2501
5.75,5.8,2484
5.8,5.85,2417
5.85,5.9,2243
5.9,5.95,2201
5.95,6.0,2127
6.0,6.05,1971
6.05,6.1,1945
6.1,6.15,1771
6.15,6.2,1663
6.2,6.25,1639
6.25,6.3,1486
6.3,6.35,1460
6.35,6.4,1296
6.4,6.45,1264
6.45,6.5,1198
6.5,6.55,1087
6.55,6.6,988
6.6,6.65,995
6.65,6.7,863
6.7,6.75,802
6.75,6.8,752
6.8,6.85,727
6.85,6.9,648
6.9,6.95,636
6.95,7.0,597
7.0,7.05,545
7.05,7.1,521
7.1,7.15,454
7.15,7.2,446
7.2,7.25,424
7.25,7.3,359
7.3,7.35,341
7.35,7.4,330
7.4,7.45,275
7.45,7.5,238
7.5,7.55,213
7.55,7.6,166
7.6,7.65,175
7.65,7.7,156
7.7,7.75,140
7.75,7.8,117
7.8,7.85,86
7.85,7.9,92
7.9,7.95,98
7.95,8.0,77
8.0,8.05,73
8.05,8.1,73
8.1,8.15,62
8.15,8.2,49
8.2,8.25,47
8.25,8.3,46
8.3,8.35,34
8.35,8.4,45
8.4,8.45,35
8.45,8.5,23
8.5,8.55,34
8.55,8.6,26
8.6,8.65,16
8.65,8.7,34
8.7,8.75,26
8.75,8.8,30
8.8,8.85,20
8.85,8.9,25
8.9,8.95,19
8.95,9.0,22
9.0,9.05,11
9.05,9.1,14
9.1,9.15,17
9.15,9.2,15
9.2,9.25,17
9.25,9.3,9
9.3,9.35,11
9.35,9.4,18
9.4,9.45,16
9.45,9.5,14
9.5,9.55,12
9.55,9.6,13
9.6,9.65,12
9.65,9.7,17
9.7,9.75,12
9.75,9.8,9
9.8,9.85,15
9.85,9.9,13
9.9,9.95,6
9.95,10.0,8
10.0,10.05,7
10.05,10.1,8
10.1,10.15,9
10.15,10.2,4
10.2,10.25,8
10.25,10.3,15
10.3,10.35,7
10.35,10.4,8
10.4,10.45,8
10.45,10.5,4
10.5,10.55,4
10.55,10.6,5
10.6,10.65,3
10.65,10.7,4
10.7,10.75,5
10.75,10.8,10
10.8,10.85,2
10.85,10.9,6
10.9,10.95,4
10.95,11.0,4
11.0,11.05,4
11.05,11.1,1
11.1,11.15,5
11.15,11.2,2
11.2,11.25,0
11.25,11.3,3
11.3,11.35,2
11.35,11.4,5
11.4,11.45,3
11.45,11.5,5
11.5,11.55,9
11.55,11.6,1
11.6,11.65,1
11.65,11.7,2
11.7,11.75,1
11.75,11.8,1
11.8,11.85,2
11.85,11.9,6
11.9,11.95,0
11.95,12.0,2
