E_min_MeV,E_max_MeV,N
0.0,0.05,0
0.05,0.1,0
0.1,0.15,0
0.15,0.2,0
0.2,0.25,0
0.25,0.3,0
0.3,0.35,0
0.35,0.4,0
0.4,0.45,0
0.45,0.5,0
0.5,0.55,0
0.55,0.6,0
0.6,0.65,0
0.65,0.7,0
0.7,0.75,123
0.75,0.8,140
0.8,0.85,175
0.85,0.9,208
0.9,0.95,261
0.95,1.0,346
1.0,1.05,346
1.05,1.1,415
1.1,1.15,432
1.15,1.2,458
1.2,1.25,540
1.25,1.3,585
1.3,1.35,623
1.35,1.4,672
1.4,1.45,739
1.45,1.5,816
1.5,1.55,759
1.55,1.6,875
1.6,1.65,809
1.65,1.7,904
1.7,1.75,979
1.75,1.8,961
1.8,1.85,1010
1.85,1.9,1043
1.9,1.95,1052
1.95,2.0,1083
2.0,2.05,1115
2.05,2.1,1148
2.1,2.15,1127
2.15,2.2,1218
2.2,2.25,1223
2.25,2.3,1295
2.3,2.35,1296
2.35,2.4,1353
2.4,2.45,1320
2.45,2.5,1238
2.5,2.55,1312
2.55,2.6,1361
2.6,2.65,1328
2.65,2.7,1374
2.7,2.75,1324
2.75,2.8,1300
2.8,2.85,1417
2.85,2.9,1376
2.9,2.95,1340
2.95,3.0,1396
3.0,3.05,1372
3.05,3.1,1342
3.1,3.15,1384
3.15,3.2,1333
3.2,3.25,1317
3.25,3.3,1289
3.3,3.35,1270
3.35,3.4,1272
3.4,3.45,1249
3.45,3.5,1264
3.5,3.55,1222
3.55,3.6,1215
3.6,3.65,1155
3.65,3.7,1134
3.7,3.75,1059
3.75,3.8,1059
3.8,3.85,1054
3.85,3.9,1091
3.9,3.95,985
3.95,4.0,1061
4.0,4.05,978
4.05,4.1,978
4.1,4.15,959
4.15,4.2,981
4.2,4.25,879
4.25,4.3,927
4.3,4.35,871
4.35,4.4,932
4.4,4.45,898
4.45,4.5,866
4.5,4.55,885
4.55,4.6,847
4.6,4.65,801
4.65,4.7,760
4.7,4.75,749
4.75,4.8,793
4.8,4.85,749
4.85,4.9,727
4.9,4.95,689
4.95,5.0,681
5.0,5.05,755
5.05,5.1,672
5.1,5.15,608
5.15,5.2,617
5.2,5.25,604
5.25,5.3,548
5.3,5.35,580
5.35,5.4,546
5.4,5.45,503
5.45,5.5,475
5.5,5.55,498
5.55,5.6,482
5.6,5.65,415
5.65,5.7,439
5.7,5.75,425
5.75,5.8,370
5.8,5.85,367
5.85,5.9,325
5.9,5.95,334
5.95,6.0,312
6.0,6.05,311
6.05,6.1,273
6.1,6.15,259
6.15,6.2,257
6.2,6.25,245
6.25,6.3,222
6.3,6.35,230
6.35,6.4,177
6.4,6.45,200
6.45,6.5,172
6.5,6.55,142
6.55,6.6,148
6.6,6.65,153
6.65,6.7,130
6.7,6.75,110
6.75,6.8,140
6.8,6.85,131
6.85,6.9,105
6.9,6.95,87
6.95,7.0,91
7.0,7.05,74
7.05,7.1,93
7.1,7.15,65
7.15,7.2,64
7.2,7.25,55
7.25,7.3,52
7.3,7.35,35
7.35,7.4,39
7.4,7.45,45
7.45,7.5,26
7.5,7.55,36
7.55,7.6,29
7.6,7.65,18
7.65,7.7,25
7.7,7.75,15
7.75,7.8,16
7.8,7.85,20
7.85,7.9,9
7.9,7.95,8
7.95,8.0,13
8.0,8.05,8
8.05,8.1,10
8.1,8.15,9
8.15,8.2,4
8.2,8.25,7
8.25,8.3,8
8.3,8.35,6
8.35,8.4,7
8.4,8.45,1
8.45,8.5,7
8.5,8.55,4
8.55,8.6,2
8.6,8.65,4
8.65,8.7,7
8.7,8.75,1
8.75,8.8,5
8.8,8.85,3
8.85,8.9,4
8.9,8.95,1
8.95,9.0,4
9.0,9.05,3
9.05,9.1,1
9.1,9.15,2
9.15,9.2,3
9.2,9.25,3
9.25,9.3,3
9.3,9.35,3
9.35,9.4,4
9.4,9.45,8
9.45,9.5,1
9.5,9.55,3
9.55,9.6,2
9.6,9.65,2
9.65,9.7,3
9.7,9.75,0
9.75,9.8,4
9.8,9.85,1
9.85,9.9,1
9.9,9.95,1
9.95,10.0,1
10.0,10.05,1
10.05,10.1,3
10.1,10.15,0
10.15,10.2,1
10.2,10.25,2
10.25,10.3,3
10.3,10.35,0
10.35,10.4,1
10.4,10.45,2
10.45,10.5,1
10.5,10.55,0
10.55,10.6,1
10.6,10.65,0
10.65,10.7,1
10.7,10.75,1
10.75,10.8,0
10.8,10.85,0
10.85,10.9,1
10.9,10.95,0
10.95,11.0,0
11.0,11.05,0
11.05,11.1,0
11.1,11.15,2
11.15,11.2,0
11.2,11.25,0
11.25,11.3,0
11.3,11.35,0
11.35,11.4,1
11.4,11.45,0
11.45,11.5,1
11.5,11.55,0
11.55,11.6,0
11.6,11.65,0
11.65,11.7,1
11.7,11.75,0
11.75,11.8,3
11.8,11.85,0
11.85,11.9,0
11.9,11.95,0
11.95,12.0,0
