E_min_MeV,E_max_MeV,N
0.0,0.05,0
0.05,0.1,0
0.1,0.15,0
0.15,0.2,0
0.2,0.25,0
0.25,0.3,0
0.3,0.35,0
0.35,0.4,0
0.4,0.45,0
0.45,0.5,0
0.5,0.55,0
0.55,0.6,0
0.6,0.65,0
0.65,0.7,0
0.7,0.75,114
0.75,0.8,153
0.8,0.85,162
0.85,0.9,197
0.9,0.95,261
0.95,1.0,302
1.0,1.05,366
1.05,1.1,423
1.1,1.15,463
1.15,1.2,488
1.2,1.25,464
1.25,1.3,618
1.3,1.35,655
1.35,1.4,686
1.4,1.45,699
1.45,1.5,760
1.5,1.55,829
1.55,1.6,814
1.6,1.65,820
1.65,1.7,859
1.7,1.75,934
1.75,1.8,1047
1.8,1.85,1052
1.85,1.9,1035
1.9,1.95,1115
1.95,2.0,1078
2.0,2.05,1116
2.05,2.1,1180
2.1,2.15,1233
2.15,2.2,1200
2.2,2.25,1181
2.25,2.3,1259
2.3,2.35,1267
2.35,2.4,1306
2.4,2.45,1299
2.45,2.5,1329
2.5,2.55,1268
2.55,2.6,1320
2.6,2.65,1286
2.65,2.7,1348
2.7,2.75,1270
2.75,2.8,1304
2.8,2.85,1340
2.85,2.9,1335
2.9,2.95,1325
2.95,3.0,1348
3.0,3.05,1326
3.05,3.1,1361
3.1,3.15,1328
3.15,3.2,1359
3.2,3.25,1288
3.25,3.3,1258
3.3,3.35,1231
3.35,3.4,1220
3.4,3.45,1243
3.45,3.5,1211
3.5,3.55,1261
3.55,3.6,1196
3.6,3.65,1245
3.65,3.7,1093
3.7,3.75,1107
3.75,3.8,1080
3.8,3.85,1079
3.85,3.9,1062
3.9,3.95,988
3.95,4.0,1068
4.0,4.05,995
4.05,4.1,974
4.1,4.15,985
4.15,4.2,967
4.2,4.25,883
4.25,4.3,913
4.3,4.35,906
4.35,4.4,897
4.4,4.45,877
4.45,4.5,852
4.5,4.55,840
4.55,4.6,833
4.6,4.65,810
4.65,4.7,788
4.7,4.75,796
4.75,4.8,774
4.8,4.85,760
4.85,4.9,728
4.9,4.95,719
4.95,5.0,694
5.0,5.05,670
5.05,5.1,655
5.1,5.15,627
5.15,5.2,629
5.2,5.25,619
5.25,5.3,573
5.3,5.35,536
5.35,5.4,493
5.4,5.45,481
5.45,5.5,440
5.5,5.55,462
5.55,5.6,468
5.6,5.65,410
5.65,5.7,430
5.7,5.75,414
5.75,5.8,419
5.8,5.85,340
5.85,5.9,349
5.9,5.95,307
5.95,6.0,311
6.0,6.05,261
6.05,6.1,290
6.1,6.15,255
6.15,6.2,267
6.2,6.25,221
6.25,6.3,223
6.3,6.35,248
6.35,6.4,208
6.4,6.45,196
6.45,6.5,189
6.5,6.55,169
6.55,6.6,159
6.6,6.65,131
6.65,6.7,136
6.7,6.75,126
6.75,6.8,125
6.8,6.85,102
6.85,6.9,98
6.9,6.95,97
6.95,7.0,86
7.0,7.05,86
7.05,7.1,80
7.1,7.15,76
7.15,7.2,70
7.2,7.25,52
7.25,7.3,57
7.3,7.35,53
7.35,7.4,54
7.4,7.45,35
7.45,7.5,44
7.5,7.55,34
7.55,7.6,23
7.6,7.65,23
7.65,7.7,30
7.7,7.75,21
7.75,7.8,11
7.8,7.85,19
7.85,7.9,12
7.9,7.95,8
7.95,8.0,7
8.0,8.05,9
8.05,8.1,12
8.1,8.15,6
8.15,8.2,7
8.2,8.25,15
8.25,8.3,5
8.3,8.35,6
8.35,8.4,3
8.4,8.45,1
8.45,8.5,4
8.5,8.55,7
8.55,8.6,3
8.6,8.65,6
8.65,8.7,2
8.7,8.75,4
8.75,8.8,2
8.8,8.85,2
8.85,8.9,0
8.9,8.95,1
8.95,9.0,3
9.0,9.05,2
9.05,9.1,0
9.1,9.15,1
9.15,9.2,2
9.2,9.25,2
9.25,9.3,1
9.3,9.35,2
9.35,9.4,0
9.4,9.45,2
9.45,9.5,2
9.5,9.55,1
9.55,9.6,2
9.6,9.65,0
9.65,9.7,3
9.7,9.75,3
9.75,9.8,1
9.8,9.85,0
9.85,9.9,1
9.9,9.95,2
9.95,10.0,1
10.0,10.05,2
10.05,10.1,0
10.1,10.15,0
10.15,10.2,3
10.2,10.25,1
10.25,10.3,0
10.3,10.35,1
10.35,10.4,1
10.4,10.45,2
10.45,10.5,2
10.5,10.55,0
10.55,10.6,1
10.6,10.65,1
10.65,10.7,2
10.7,10.75,0
10.75,10.8,1
10.8,10.85,1
10.85,10.9,0
10.9,10.95,1
10.95,11.0,0
11.0,11.05,0
11.05,11.1,1
11.1,11.15,0
11.15,11.2,0
11.2,11.25,0
11.25,11.3,0
11.3,11.35,0
11.35,11.4,0
11.4,11.45,0
11.45,11.5,0
11.5,11.55,0
11.55,11.6,2
11.6,11.65,1
11.65,11.7,0
11.7,11.75,0
11.75,11.8,0
11.8,11.85,1
11.85,11.9,0
11.9,11.95,1
11.95,12.0,0
