E_min_MeV,E_max_MeV,N
0.0,0.05,0
0.05,0.1,0
0.1,0.15,0
0.15,0.2,0
0.2,0.25,0
0.25,0.3,0
0.3,0.35,0
0.35,0.4,0
0.4,0.45,0
0.45,0.5,0
0.5,0.55,0
0.55,0.6,0
0.6,0.65,0
0.65,0.7,0
0.7,0.75,742
0.75,0.8,879
0.8,0.85,1051
0.85,0.9,1325
0.9,0.95,1682
0.95,1.0,1983
1.0,1.05,2381
1.05,1.1,2615
1.1,1.15,2893
1.15,1.2,3212
1.2,1.25,3529
1.25,1.3,3798
1.3,1.35,4175
1.35,1.4,4521
1.4,1.45,4926
1.45,1.5,5193
1.5,1.55,5248
1.55,1.6,5589
1.6,1.65,5823
1.65,1.7,6054
1.7,1.75,6405
1.75,1.8,6687
1.8,1.85,6909
1.85,1.9,7205
1.9,1.95,7253
1.95,2.0,7702
2.0,2.05,7613
2.05,2.1,7975
2.1,2.15,8116
2.15,2.2,8178
2.2,2.25,8409
2.25,2.3,8510
2.3,2.35,8772
2.35,2.4,8917
2.4,2.45,9093
2.45,2.5,9227
2.5,2.55,9291
2.55,2.6,9351
2.6,2.65,9169
2.65,2.7,9297
2.7,2.75,9274
2.75,2.8,9384
2.8,2.85,9452
2.85,2.9,9439
2.9,2.95,9311
2.95,3.0,9371
3.0,3.05,9300
3.05,3.1,9304
3.1,3.15,9167
3.15,3.2,9074
3.2,3.25,9039
3.25,3.3,9031
3.3,3.35,8999
3.35,3.4,8976
3.4,3.45,8637
3.45,3.5,8492
3.5,3.55,8394
3.55,3.6,8584
3.6,3.65,8054
3.65,3.7,8019
3.7,3.75,7853
3.75,3.8,7510
3.8,3.85,7338
3.85,3.9,7108
3.9,3.95,7292
3.95,4.0,7048
4.0,4.05,7004
4.05,4.1,6824
4.1,4.15,6809
4.15,4.2,6607
4.2,4.25,6397
4.25,4.3,6493
4.3,4.35,6358
4.35,4.4,6123
4.4,4.45,6037
4.45,4.5,5915
4.5,4.55,5743
4.55,4.6,5749
4.6,4.65,5507
4.65,4.7,5549
4.7,4.75,5410
4.75,4.8,5268
4.8,4.85,5026
4.85,4.9,4908
4.9,4.95,4833
4.95,5.0,4758
5.0,5.05,4401
5.05,5.1,4393
5.1,5.15,4193
5.15,5.2,4168
5.2,5.25,3898
5.25,5.3,3892
5.3,5.35,3592
5.35,5.4,3552
5.4,5.45,3392
5.45,5.5,3317
5.5,5.55,3145
5.55,5.6,2996
5.6,5.65,2773
5.65,5.7,2780
5.7,5.75,2590
5.75,5.8,2526
5.8,5.85,2397
5.85,5.9,2301
5.9,5.95,2209
5.95,6.0,2100
6.0,6.05,2031
6.05,6.1,1901
6.1,6.15,1893
6.15,6.2,1686
6.2,6.25,1612
6.25,6.3,1515
6.3,6.35,1432
6.35,6.4,1317
6.4,6.45,1302
6.45,6.5,1262
6.5,6.55,1140
6.55,6.6,1071
6.6,6.65,991
6.65,6.7,916
6.7,6.75,813
6.75,6.8,764
6.8,6.85,722
6.85,6.9,708
6.9,6.95,614
6.95,7.0,639
7.0,7.05,555
7.05,7.1,499
7.1,7.15,478
7.15,7.2,424
7.2,7.25,359
7.25,7.3,341
7.3,7.35,338
7.35,7.4,293
7.4,7.45,290
7.45,7.5,242
7.5,7.55,193
7.55,7.6,187
7.6,7.65,176
7.65,7.7,153
7.7,7.75,146
7.75,7.8,115
7.8,7.85,105
7.85,7.9,96
7.9,7.95,105
7.95,8.0,82
8.0,8.05,77
8.05,8.1,74
8.1,8.15,71
8.15,8.2,58
8.2,8.25,48
8.25,8.3,58
8.3,8.35,46
8.35,8.4,36
8.4,8.45,34
8.45,8.5,35
8.5,8.55,43
8.55,8.6,35
8.6,8.65,20
8.65,8.7,30
8.7,8.75,37
8.75,8.8,20
8.8,8.85,16
8.85,8.9,21
8.9,8.95,18
8.95,9.0,19
9.0,9.05,17
9.05,9.1,18
9.1,9.15,14
9.15,9.2,28
9.2,9.25,9
9.25,9.3,17
9.3,9.35,18
9.35,9.4,12
9.4,9.45,14
9.45,9.5,11
9.5,9.55,25
9.55,9.6,7
9.6,9.65,14
9.65,9.7,10
9.7,9.75,9
9.75,9.8,13
9.8,9.85,11
9.85,9.9,10
9.9,9.95,7
9.95,10.0,5
10.0,10.05,9
10.05,10.1,8
10.1,10.15,5
10.15,10.2,5
10.2,10.25,10
10.25,10.3,5
10.3,10.35,8
10.35,10.4,6
10.4,10.45,7
10.45,10.5,7
10.5,10.55,7
10.55,10.6,6
10.6,10.65,6
10.65,10.7,8
10.7,10.75,2
10.75,10.8,4
10.8,10.85,2
10.85,10.9,2
10.9,10.95,5
10.95,11.0,3
11.0,11.05,2
11.05,11.1,4
11.1,11.15,3
11.15,11.2,0
11.2,11.25,1
11.25,11.3,3
11.3,11.35,4
11.35,11.4,0
11.4,11.45,4
11.45,11.5,2
11.5,11.55,3
11.55,11.6,3
11.6,11.65,1
11.65,11.7,7
11.7,11.75,3
11.75,11.8,6
11.8,11.85,4
11.85,11.9,2
11.9,11.95,1
11.95,12.0,3
