radius,density_log_10,pp fraction,pep fraction,hep fraction,7Be fraction,8B fraction,13N fraction,15O fraction,17F fraction
0.0315,1.98165,1.89094,2.8322,0.883001,7.59392,15.1421,9.27377,13.0792,14.069
0.032,1.98098,1.94652,2.91139,0.911545,7.76675,15.3773,9.42932,13.2985,14.2945
0.0325,1.98029,2.00268,2.99115,0.940545,7.93855,15.6046,9.58077,13.5121,14.5133
0.033,1.9796,2.05946,3.07155,0.970023,8.10945,15.8243,9.72833,13.7203,14.7255
0.0335,1.97889,2.11664,3.15224,0.99988,8.27845,16.0346,9.87081,13.9212,14.9295
0.034,1.97819,2.17443,3.23354,1.03022,8.44638,16.237,10.0092,14.1164,15.1268
0.0345,1.97745,2.2327,3.31525,1.06099,8.61266,16.4306,10.1429,14.3049,15.3162
0.035,1.97672,2.29138,3.39727,1.09216,8.77699,16.6147,10.2715,14.4864,15.4976
0.0355,1.97598,2.35064,3.4798,1.12381,8.93992,16.7904,10.3957,14.6615,15.6714
0.036,1.97524,2.41027,3.56256,1.15585,9.10058,16.9565,10.5146,14.8292,15.8369
0.0365,1.97448,2.47032,3.64562,1.18831,9.2592,17.1132,10.6286,14.9899,15.9942
0.037,1.97371,2.53088,3.7291,1.22123,9.41603,17.261,10.7378,15.144,16.1439
0.0375,1.97293,2.59175,3.81269,1.25452,9.57025,17.3986,10.8415,15.2902,16.2846
0.038,1.97216,2.65311,3.89669,1.28829,9.72257,17.5275,10.9404,15.4297,16.4175
0.0385,1.97135,2.71468,3.98055,1.32239,9.87182,17.6456,11.0334,15.5609,16.541
0.039,1.97055,2.77669,4.06473,1.35693,10.0188,17.7544,11.1214,15.6851,16.6565
0.0395,1.96975,2.8391,4.14917,1.3919,10.1635,17.8541,11.2045,15.8022,16.764
0.04,1.96892,2.90174,4.23358,1.42723,10.3052,17.9435,11.2818,15.9112,16.8623
0.0405,1.96809,2.96463,4.31796,1.46294,10.4439,18.0228,11.3535,16.0125,16.9517
0.041,1.96725,3.02777,4.40232,1.49901,10.5796,18.0922,11.4198,16.106,17.0326
0.0415,1.96641,3.09121,4.48674,1.53548,10.7124,18.1523,11.481,16.1922,17.1052
0.042,1.96555,3.15485,4.57106,1.57231,10.8421,18.2023,11.5365,16.2705,17.1689
0.0425,1.96469,3.21897,4.65566,1.60963,10.9695,18.2441,11.5876,16.3426,17.2255
0.043,1.96382,3.28304,4.73984,1.6472,11.0929,18.2749,11.6322,16.4055,17.2719
0.0435,1.96294,3.34726,4.82382,1.6851,11.2128,18.296,11.6714,16.4609,17.3099
0.044,1.96204,3.4117,4.90773,1.72339,11.3296,18.3081,11.7056,16.5091,17.34
0.0445,1.96115,3.47636,4.99154,1.76205,11.4433,18.3112,11.7347,16.5501,17.3622
0.045,1.96025,3.54106,5.075,1.80101,11.5533,18.3046,11.7582,16.5833,17.3757
0.0455,1.95933,3.60599,5.15841,1.84036,11.6602,18.2897,11.777,16.6098,17.3818
0.046,1.95841,3.67098,5.24147,1.88003,11.7634,18.2655,11.7903,16.6286,17.3794
0.0465,1.95749,3.73604,5.32423,1.92001,11.8629,18.2324,11.7985,16.6402,17.369
0.047,1.95655,3.8012,5.40671,1.96032,11.959,18.1909,11.8018,16.6449,17.3512
0.0475,1.95561,3.86642,5.48883,2.00095,12.0514,18.141,11.8002,16.6427,17.3259
