radius,density_log_10,pp fraction,pep fraction,hep fraction,7Be fraction,8B fraction,13N fraction,15O fraction,17F fraction
0.0315,1.98102,1.8757,2.8243,0.859367,7.53347,15.0762,9.75571,13.1489,14.1123
0.032,1.98032,1.93106,2.90351,0.887418,7.70598,15.3125,9.91832,13.3681,14.3381
0.0325,1.97964,1.98699,2.98331,0.915923,7.8775,15.5411,10.0766,13.5815,14.5571
0.033,1.97893,2.04346,3.06362,0.944877,8.04783,15.7615,10.2303,13.7886,14.7689
0.0335,1.97821,2.10048,3.14445,0.974279,8.21691,15.9736,10.3793,13.9894,14.9733
0.034,1.97749,2.15807,3.22582,1.00415,8.38469,16.1776,10.5237,14.1841,15.1705
0.0345,1.97675,2.21611,3.30755,1.03444,8.55079,16.3725,10.6629,14.3717,15.3597
0.035,1.97601,2.27468,3.38975,1.06518,8.71538,16.5588,10.7972,14.5528,15.5413
0.0355,1.97525,2.33369,3.47229,1.09636,8.87812,16.7359,10.9263,14.7268,15.7147
0.036,1.97449,2.3932,3.55524,1.12798,9.03903,16.904,11.0503,14.8939,15.8802
0.0365,1.97371,2.45304,3.63834,1.15998,9.19761,17.0622,11.1685,15.0532,16.0368
0.037,1.97294,2.51343,3.72191,1.19248,9.35458,17.2118,11.282,15.2061,16.186
0.0375,1.97215,2.57417,3.80567,1.22537,9.50909,17.3515,11.3897,15.3513,16.3264
0.038,1.97136,2.63534,3.8897,1.2587,9.66148,17.482,11.492,15.4892,16.4586
0.0385,1.97055,2.69684,3.97388,1.29243,9.8113,17.6024,11.5886,15.6195,16.582
0.039,1.96974,2.75884,4.05842,1.32664,9.95908,17.7142,11.6802,15.743,16.6976
0.0395,1.96891,2.82105,4.1429,1.3612,10.1038,17.8153,11.7655,15.8579,16.8038
0.04,1.96808,2.88359,4.22748,1.39617,10.246,17.9068,11.8453,15.9654,16.9013
0.0405,1.96724,2.94645,4.31216,1.43154,10.3853,17.9885,11.9195,16.0654,16.9904
0.041,1.96639,3.00969,4.39702,1.46737,10.5222,18.0612,11.9882,16.1582,17.0713
0.0415,1.96554,3.07314,4.48182,1.50355,10.6559,18.1238,12.0511,16.2428,17.1432
0.042,1.96467,3.13681,4.56653,1.54011,10.7865,18.1764,12.1081,16.3196,17.2062
0.0425,1.9638,3.20078,4.65127,1.57708,10.9141,18.2198,12.1597,16.3892,17.2611
0.043,1.96292,3.26489,4.73585,1.6144,11.0385,18.2532,12.2052,16.4506,17.307
0.0435,1.96203,3.32937,4.82055,1.65217,11.1602,18.278,12.2459,16.5055,17.3455
0.044,1.96112,3.39384,4.90483,1.69021,11.2779,18.2925,12.2804,16.552,17.3747
0.0445,1.96022,3.45857,4.98907,1.72867,11.3926,18.298,12.3095,16.5912,17.3959
0.045,1.95931,3.52344,5.07308,1.76748,11.504,18.2944,12.3331,16.623,17.4088
0.0455,1.95839,3.58834,5.15669,1.80658,11.6114,18.2811,12.3509,16.647,17.4132
0.046,1.95746,3.65341,5.24015,1.84607,11.7157,18.2592,12.3634,16.664,17.4098
0.0465,1.9565,3.71837,5.32301,1.88579,11.8158,18.2275,12.37,16.6729,17.3976
0.047,1.95556,3.78362,5.40588,1.92594,11.9129,18.1882,12.3719,16.6755,17.3785
0.0475,1.95461,3.84882,5.48824,1.96638,12.0062,18.1398,12.3682,16.6706,17.3511
0.048,1.95365,3.91412,5.57032,2.00716,12.0959,18.0834,12.3597,16.659,17.3166
0.0485,1.95267,3.97949,5.65207,2.04828,12.1821,18.0192,12.3463,16.641,17.2751
0.049,1.9517,4.04472,5.73317,2.08963,12.2642,17.9462,12.3274,16.6155,17.2256
0.0495,1.95071,4.10989,5.81377,2.13126,12.3424,17.8653,12.3035,16.5833,17.1688
0.05,1.94972,4.17523,5.89418,2.17328,12.4175,17.7776,12.2754,16.5455,17.1061
0.0505,1.94872,4.24032,5.97377,2.21548,12.4882,17.6818,12.2421,16.5007,17.0359
0.051,1.94771,4.30524,6.05271,2.2579,12.5548,17.5784,12.2039,16.4492,16.9586
0.0515,1.94669,4.37024,6.13131,2.30068,12.6181,17.4686,12.1615,16.3921,16.8752
0.052,1.94568,4.43527,6.20953,2.34379,12.6779,17.3526,12.1151,16.3297,16.7864
0.0525,1.94465,4.50014,6.2871,2.38714,12.7339,17.23,12.0645,16.2614,16.6914
0.053,1.94362,4.56465,6.36371,2.43061,12.7855,17.1002,12.009,16.1867,16.5897
0.0535,1.94257,4.62897,6.43961,2.4743,12.8331,16.9642,11.9493,16.1063,16.4821
0.054,1.94153,4.69324,6.515,2.51828,12.8773,16.823,11.8861,16.0212,16.3697
