rj,alpha,beta,gamma
0.192, 7.000226804, -4.727649485, 0.000000000
0.546, 6.601873878, -4.155892689, -1.235504917
0.895, 3.232663968, -1.494441296, 0.286801619
0.937, -5.506591093, 19.676639676, -12.824129555
1, 11.820323887, -20.772631579, 10.662874494

