 #     R_sun        mass_sun           L_sun            logR            logT            logP          logRho          Csound              dm           nu_pp          nu_pep          nu_hep          nu_7Be           nu_8B          nu_13N          nu_15O          nu_17F          log_ne              H1             He4             He3             C12             C13             N14             N15             O16             O17             O18              Ne              Na              Mg              Al              Si               P               S              Cl              Ar               K              Ca              Sc              Ti               V              Cr              Mn              Fe              Co              Ni
   5.000e-03     1.32876e-05     1.12703e-04     8.54157e+00     7.19194e+00     1.73602e+01     2.17482e+00     5.05178e+07     4.00023e-06      5.06905e-02      7.98337e-02      2.10304e-02      2.47713e-01      6.14932e-01      3.88381e-01      5.25882e-01      5.73095e-01     2.00298e+00     3.48501e-01     6.31462e-01     8.31698e-06     1.02110e-05     2.93491e-06     4.86962e-03     1.03441e-07     8.51856e-03     5.92238e-04     2.18593e-05     2.04051e-03     4.04031e-05     7.77958e-04     7.01369e-05     8.57757e-04     9.45966e-06     4.27476e-04     5.68242e-06     8.26119e-05     4.53287e-06     7.54721e-05     4.76064e-08     3.50690e-06     4.48695e-07     2.14217e-05     1.56584e-05     1.48856e-03     4.02946e-06     8.77960e-05
   5.500e-03     1.76817e-05     1.49942e-04     8.58297e+00     7.19189e+00     1.73601e+01     2.17465e+00     5.05190e+07     4.83847e-06      6.13156e-02      9.65430e-02      2.54539e-02      2.99314e-01      7.42159e-01      4.68761e-01      6.34721e-01      6.91667e-01     2.00286e+00     3.48654e-01     6.31308e-01     8.32906e-06     1.02088e-05     2.93426e-06     4.86961e-03     1.03443e-07     8.51988e-03     5.90944e-04     2.18595e-05     2.04051e-03     4.04030e-05     7.77958e-04     7.01366e-05     8.57754e-04     9.45963e-06     4.27475e-04     5.68240e-06     8.26116e-05     4.53286e-06     7.54719e-05     4.76062e-08     3.50689e-06     4.48694e-07     2.14216e-05     1.56584e-05     1.48855e-03     4.02945e-06     8.77957e-05
   6.000e-03     2.29498e-05     1.94572e-04     8.62075e+00     7.19184e+00     1.73599e+01     2.17446e+00     5.05203e+07     5.75539e-06      7.29394e-02      1.14813e-01      3.02993e-02      3.55638e-01      8.80683e-01      5.56288e-01      7.53230e-01      8.20760e-01     2.00272e+00     3.48824e-01     6.31139e-01     8.34229e-06     1.02062e-05     2.93356e-06     4.86960e-03     1.03445e-07     8.52132e-03     5.89530e-04     2.18595e-05     2.04052e-03     4.04029e-05     7.77957e-04     7.01365e-05     8.57752e-04     9.45961e-06     4.27474e-04     5.68239e-06     8.26115e-05     4.53285e-06     7.54717e-05     4.76061e-08     3.50688e-06     4.48693e-07     2.14216e-05     1.56583e-05     1.48854e-03     4.02944e-06     8.77955e-05
   6.500e-03     2.91702e-05     2.47252e-04     8.65552e+00     7.19178e+00     1.73597e+01     2.17426e+00     5.05218e+07     6.75169e-06      8.55711e-02      1.34656e-01      3.55720e-02      4.16696e-01      1.03044e+00      6.50917e-01      8.81362e-01      9.60315e-01     2.00258e+00     3.49007e-01     6.30956e-01     8.35670e-06     1.02035e-05     2.93278e-06     4.86959e-03     1.03447e-07     8.52287e-03     5.87997e-04     2.18597e-05     2.04052e-03     4.04029e-05     7.77958e-04     7.01365e-05     8.57752e-04     9.45961e-06     4.27474e-04     5.68239e-06     8.26115e-05     4.53285e-06     7.54717e-05     4.76061e-08     3.50688e-06     4.48693e-07     2.14216e-05     1.56583e-05     1.48854e-03     4.02944e-06     8.77955e-05
   7.000e-03     3.64220e-05     3.08639e-04     8.68770e+00     7.19171e+00     1.73595e+01     2.17403e+00     5.05234e+07     7.82619e-06      9.91957e-02      1.56045e-01      4.12678e-02      4.82376e-01      1.19106e+00      7.52422e-01      1.01880e+00      1.10999e+00     2.00242e+00     3.49204e-01     6.30758e-01     8.37227e-06     1.02006e-05     2.93194e-06     4.86957e-03     1.03450e-07     8.52453e-03     5.86345e-04     2.18598e-05     2.04053e-03     4.04029e-05     7.77960e-04     7.01365e-05     8.57753e-04     9.45961e-06     4.27474e-04     5.68239e-06     8.26115e-05     4.53285e-06     7.54718e-05     4.76061e-08     3.50689e-06     4.48693e-07     2.14216e-05     1.56583e-05     1.48854e-03     4.02944e-06     8.77956e-05
   7.500e-03     4.47827e-05     3.79383e-04     8.71767e+00     7.19165e+00     1.73593e+01     2.17380e+00     5.05250e+07     8.97931e-06      1.13819e-01      1.78988e-01      4.73911e-02      5.52669e-01      1.36242e+00      8.60720e-01      1.16544e+00      1.26965e+00     2.00226e+00     3.49417e-01     6.30545e-01     8.38901e-06     1.01973e-05     2.93105e-06     4.86954e-03     1.03453e-07     8.52631e-03     5.84577e-04     2.18599e-05     2.04054e-03     4.04030e-05     7.77962e-04     7.01367e-05     8.57755e-04     9.45963e-06     4.27475e-04     5.68240e-06     8.26117e-05     4.53286e-06     7.54719e-05     4.76062e-08     3.50689e-06     4.48694e-07     2.14217e-05     1.56584e-05     1.48854e-03     4.02945e-06     8.77958e-05
   8.000e-03     5.43307e-05     4.60134e-04     8.74569e+00     7.19158e+00     1.73591e+01     2.17354e+00     5.05268e+07     1.02103e-05      1.29432e-01      2.03464e-01      5.39397e-02      6.27486e-01      1.54418e+00      9.75610e-01      1.32101e+00      1.43900e+00     2.00207e+00     3.49645e-01     6.30318e-01     8.40694e-06     1.01934e-05     2.92992e-06     4.86925e-03     1.03450e-07     8.52773e-03     5.82660e-04     2.18588e-05     2.04043e-03     4.04009e-05     7.77921e-04     7.01331e-05     8.57710e-04     9.45914e-06     4.27453e-04     5.68211e-06     8.26074e-05     4.53263e-06     7.54680e-05     4.76038e-08     3.50671e-06     4.48671e-07     2.14205e-05     1.56576e-05     1.48846e-03     4.02924e-06     8.77912e-05
   8.500e-03     6.51434e-05     5.51534e-04     8.77203e+00     7.19150e+00     1.73589e+01     2.17328e+00     5.05287e+07     1.15198e-05      1.46044e-01      2.29485e-01      6.09197e-02      7.06823e-01      1.73622e+00      1.09701e+00      1.48539e+00      1.61792e+00     2.00189e+00     3.49887e-01     6.30076e-01     8.42604e-06     1.01902e-05     2.92900e-06     4.86939e-03     1.03456e-07     8.53004e-03     5.80681e-04     2.18596e-05     2.04052e-03     4.04024e-05     7.77952e-04     7.01357e-05     8.57743e-04     9.45950e-06     4.27469e-04     5.68232e-06     8.26106e-05     4.53280e-06     7.54709e-05     4.76056e-08     3.50684e-06     4.48688e-07     2.14214e-05     1.56581e-05     1.48850e-03     4.02940e-06     8.77946e-05
   9.000e-03     7.72982e-05     6.54224e-04     8.79685e+00     7.19142e+00     1.73586e+01     2.17299e+00     5.05307e+07     1.29063e-05      1.63635e-01      2.57020e-01      6.83259e-02      7.90544e-01      1.93808e+00      1.22465e+00      1.65821e+00      1.80599e+00     2.00169e+00     3.50144e-01     6.29820e-01     8.44632e-06     1.01860e-05     2.92781e-06     4.86919e-03     1.03455e-07     8.53186e-03     5.78548e-04     2.18590e-05     2.04045e-03     4.04012e-05     7.77928e-04     7.01336e-05     8.57716e-04     9.45921e-06     4.27456e-04     5.68215e-06     8.26080e-05     4.53266e-06     7.54686e-05     4.76041e-08     3.50674e-06     4.48674e-07     2.14207e-05     1.56577e-05     1.48846e-03     4.02927e-06     8.77919e-05
   9.500e-03     9.08725e-05     7.68840e-04     8.82033e+00     7.19133e+00     1.73583e+01     2.17269e+00     5.05328e+07     1.43703e-05      1.82212e-01      2.86071e-01      7.61631e-02      8.78627e-01      2.14958e+00      1.35840e+00      1.83931e+00      2.00302e+00     2.00148e+00     3.50414e-01     6.29550e-01     8.46778e-06     1.01820e-05     2.92669e-06     4.86918e-03     1.03459e-07     8.53415e-03     5.76328e-04     2.18592e-05     2.04048e-03     4.04016e-05     7.77937e-04     7.01343e-05     8.57726e-04     9.45932e-06     4.27461e-04     5.68221e-06     8.26089e-05     4.53271e-06     7.54694e-05     4.76046e-08     3.50677e-06     4.48679e-07     2.14209e-05     1.56578e-05     1.48848e-03     4.02932e-06     8.77928e-05
