 #     R_sun        mass_sun           L_sun            logR            logT            logP          logRho          Csound              dm           nu_pp          nu_pep          nu_hep          nu_7Be           nu_8B          nu_13N          nu_15O          nu_17F          log_ne              H1             He4             He3             C12             C13             N14             N15             O16             O17             O18              Ne              Na              Mg              Al              Si               P               S              Cl              Ar               K              Ca              Sc              Ti               V              Cr              Mn              Fe              Co              Ni
   5.000e-03     1.32093e-05     1.11631e-04     8.54158e+00     7.18930e+00     1.73590e+01     2.17225e+00     5.05994e+07     3.97668e-06      5.10740e-02      8.01315e-02      2.15704e-02      2.49994e-01      6.19229e-01      3.73904e-01      5.22734e-01      5.72041e-01     2.00320e+00     3.56942e-01     6.24936e-01     8.98299e-06     9.56502e-06     2.74973e-06     4.61576e-03     9.81651e-08     7.37677e-03     4.62326e-04     1.88475e-05     1.92540e-03     3.24433e-05     7.17238e-04     6.31912e-05     7.90801e-04     7.77293e-06     4.03295e-04     5.48582e-06     1.07584e-04     4.47800e-06     7.28607e-05     5.65428e-08     3.54502e-06     3.44083e-07     1.88603e-05     1.58296e-05     1.37234e-03     4.36466e-06     8.09430e-05
   5.500e-03     1.75774e-05     1.48517e-04     8.58296e+00     7.18926e+00     1.73589e+01     2.17209e+00     5.06006e+07     4.80980e-06      6.17759e-02      9.68979e-02      2.61053e-02      3.02050e-01      7.47292e-01      4.51272e-01      6.30898e-01      6.90357e-01     2.00308e+00     3.57095e-01     6.24783e-01     8.99560e-06     9.56295e-06     2.74914e-06     4.61577e-03     9.81675e-08     7.37781e-03     4.61316e-04     1.88476e-05     1.92542e-03     3.24433e-05     7.17240e-04     6.31912e-05     7.90802e-04     7.77294e-06     4.03296e-04     5.48583e-06     1.07584e-04     4.47800e-06     7.28608e-05     5.65429e-08     3.54503e-06     3.44083e-07     1.88603e-05     1.58296e-05     1.37234e-03     4.36466e-06     8.09431e-05
   6.000e-03     2.28144e-05     1.92723e-04     8.62076e+00     7.18920e+00     1.73587e+01     2.17190e+00     5.06018e+07     5.72171e-06      7.34908e-02      1.15242e-01      3.10754e-02      3.58904e-01      8.86811e-01      5.35574e-01      7.48756e-01      8.19256e-01     2.00295e+00     3.57262e-01     6.24616e-01     9.00945e-06     9.56061e-06     2.74848e-06     4.61577e-03     9.81697e-08     7.37891e-03     4.60210e-04     1.88477e-05     1.92542e-03     3.24433e-05     7.17240e-04     6.31912e-05     7.90802e-04     7.77294e-06     4.03295e-04     5.48582e-06     1.07584e-04     4.47800e-06     7.28607e-05     5.65429e-08     3.54502e-06     3.44083e-07     1.88603e-05     1.58296e-05     1.37232e-03     4.36466e-06     8.09430e-05
   6.500e-03     2.89984e-05     2.44904e-04     8.65551e+00     7.18914e+00     1.73586e+01     2.17170e+00     5.06033e+07     6.71187e-06      8.62118e-02      1.35150e-01      3.64793e-02      4.20487e-01      1.03752e+00      6.26656e-01      8.76093e-01      9.58498e-01     2.00281e+00     3.57444e-01     6.24434e-01     9.02451e-06     9.55789e-06     2.74770e-06     4.61565e-03     9.81697e-08     7.37992e-03     4.58997e-04     1.88473e-05     1.92538e-03     3.24424e-05     7.17222e-04     6.31895e-05     7.90780e-04     7.77272e-06     4.03284e-04     5.48567e-06     1.07581e-04     4.47788e-06     7.28587e-05     5.65413e-08     3.54493e-06     3.44074e-07     1.88598e-05     1.58291e-05     1.37228e-03     4.36454e-06     8.09408e-05
   7.000e-03     3.62074e-05     3.05709e-04     8.68770e+00     7.18908e+00     1.73584e+01     2.17148e+00     5.06048e+07     7.78013e-06      9.99373e-02      1.56616e-01      4.23182e-02      4.86753e-01      1.19922e+00      7.24393e-01      1.01273e+00      1.10789e+00     2.00265e+00     3.57641e-01     6.24237e-01     9.04078e-06     9.55547e-06     2.74701e-06     4.61578e-03     9.81753e-08     7.38144e-03     4.57720e-04     1.88479e-05     1.92544e-03     3.24435e-05     7.17246e-04     6.31915e-05     7.90806e-04     7.77298e-06     4.03298e-04     5.48585e-06     1.07584e-04     4.47802e-06     7.28611e-05     5.65432e-08     3.54504e-06     3.44085e-07     1.88604e-05     1.58297e-05     1.37233e-03     4.36468e-06     8.09435e-05
   7.500e-03     4.45192e-05     3.75784e-04     8.71766e+00     7.18902e+00     1.73582e+01     2.17125e+00     5.06064e+07     8.92644e-06      1.14667e-01      1.79638e-01      4.85937e-02      5.57659e-01      1.37168e+00      8.28663e-01      1.15851e+00      1.26723e+00     2.00249e+00     3.57852e-01     6.24027e-01     9.05829e-06     9.55185e-06     2.74600e-06     4.61547e-03     9.81716e-08     7.38233e-03     4.56307e-04     1.88468e-05     1.92532e-03     3.24414e-05     7.17200e-04     6.31875e-05     7.90756e-04     7.77248e-06     4.03272e-04     5.48550e-06     1.07578e-04     4.47774e-06     7.28565e-05     5.65396e-08     3.54482e-06     3.44063e-07     1.88592e-05     1.58287e-05     1.37224e-03     4.36440e-06     8.09383e-05
   8.000e-03     5.40111e-05     4.55772e-04     8.74569e+00     7.18895e+00     1.73579e+01     2.17100e+00     5.06081e+07     1.01507e-05      1.30399e-01      2.04209e-01      5.53075e-02      6.33155e-01      1.55469e+00      9.39333e-01      1.31323e+00      1.43632e+00     2.00231e+00     3.58077e-01     6.23802e-01     9.07701e-06     9.54878e-06     2.74514e-06     4.61549e-03     9.81753e-08     7.38386e-03     4.54836e-04     1.88470e-05     1.92534e-03     3.24417e-05     7.17208e-04     6.31882e-05     7.90764e-04     7.77257e-06     4.03276e-04     5.48556e-06     1.07579e-04     4.47779e-06     7.28573e-05     5.65402e-08     3.54485e-06     3.44067e-07     1.88594e-05     1.58288e-05     1.37225e-03     4.36445e-06     8.09392e-05
   8.500e-03     6.47606e-05     5.46309e-04     8.77203e+00     7.18887e+00     1.73577e+01     2.17073e+00     5.06099e+07     1.14524e-05      1.47128e-01      2.30317e-01      6.24588e-02      7.13171e-01      1.74793e+00      1.05623e+00      1.47665e+00      1.61487e+00     2.00212e+00     3.58317e-01     6.23562e-01     9.09696e-06     9.54506e-06     2.74409e-06     4.61530e-03     9.81745e-08     7.38512e-03     4.53255e-04     1.88464e-05     1.92527e-03     3.24405e-05     7.17182e-04     6.31859e-05     7.90735e-04     7.77228e-06     4.03261e-04     5.48536e-06     1.07575e-04     4.47762e-06     7.28546e-05     5.65381e-08     3.54472e-06     3.44054e-07     1.88587e-05     1.58282e-05     1.37220e-03     4.36429e-06     8.09362e-05
   9.000e-03     7.68445e-05     6.48033e-04     8.79684e+00     7.18879e+00     1.73575e+01     2.17045e+00     5.06118e+07     1.28308e-05      1.64844e-01      2.57943e-01      7.00462e-02      7.97603e-01      1.95105e+00      1.17913e+00      1.64847e+00      1.80255e+00     2.00192e+00     3.58571e-01     6.23309e-01     9.11815e-06     9.54141e-06     2.74305e-06     4.61521e-03     9.81761e-08     7.38664e-03     4.51594e-04     1.88461e-05     1.92524e-03     3.24401e-05     7.17173e-04     6.31851e-05     7.90725e-04     7.77218e-06     4.03256e-04     5.48529e-06     1.07573e-04     4.47756e-06     7.28537e-05     5.65374e-08     3.54468e-06     3.44050e-07     1.88585e-05     1.58280e-05     1.37218e-03     4.36424e-06     8.09352e-05
   9.500e-03     9.03393e-05     7.61568e-04     8.82032e+00     7.18871e+00     1.73572e+01     2.17015e+00     5.06139e+07     1.42862e-05      1.83551e-01      2.87090e-01      7.80734e-02      8.86425e-01      2.16383e+00      1.30791e+00      1.82853e+00      1.99917e+00     2.00171e+00     3.58840e-01     6.23040e-01     9.14058e-06     9.53772e-06     2.74200e-06     4.61522e-03     9.81799e-08     7.38840e-03     4.49855e-04     1.88462e-05     1.92527e-03     3.24403e-05     7.17179e-04     6.31855e-05     7.90730e-04     7.77223e-06     4.03259e-04     5.48532e-06     1.07574e-04     4.47759e-06     7.28541e-05     5.65378e-08     3.54470e-06     3.44052e-07     1.88586e-05     1.58281e-05     1.37218e-03     4.36426e-06     8.09357e-05
