radius,pp fraction,pep fraction,hep fraction,7Be fraction,8B fraction,13N fraction,15O fraction,17F fraction
0.034,2.17141,3.23542,1.0251,8.42974,16.2167,10.1051,14.1275,15.1313
0.0345,2.22967,3.31725,1.0558,8.596,16.4108,10.24,14.3161,15.321
0.035,2.28838,3.39942,1.08691,8.76047,16.5956,10.3697,14.4975,15.5025
0.0355,2.34749,3.48187,1.11842,8.92286,16.771,10.4942,14.6716,15.6756
0.036,2.40717,3.56485,1.15043,9.08375,16.9379,10.6144,14.8395,15.8414
0.0365,2.46719,3.648,1.18281,9.2423,17.095,10.7291,14.9999,15.9986
0.037,2.52773,3.73157,1.21566,9.39914,17.2433,10.8391,15.1537,16.1482
0.0375,2.58866,3.81538,1.24893,9.55365,17.3821,10.9438,15.3001,16.2893
0.038,2.64989,3.89929,1.28256,9.70554,17.5106,11.043,15.4387,16.4216
0.0385,2.71148,3.98336,1.31661,9.85487,17.6295,11.1366,15.5697,16.5452
0.039,2.77354,4.06777,1.35112,10.0022,17.7394,11.2255,15.6939,16.661
0.0395,2.83592,4.15229,1.38603,10.1468,17.8395,11.309,15.8107,16.7683
0.04,2.89855,4.23679,1.42131,10.2885,17.9294,11.3867,15.9194,16.8665
0.0405,2.9615,4.32138,1.45699,10.4275,18.0098,11.4591,16.0206,16.9562
0.041,3.0247,4.40596,1.49304,10.5635,18.0801,11.5258,16.1139,17.037
0.0415,3.08816,4.49052,1.52948,10.6965,18.1408,11.5873,16.1998,17.1096
0.042,3.15184,4.57501,1.56628,10.8264,18.1916,11.643,16.2778,17.1732
0.0425,3.21583,4.65956,1.6035,10.9534,18.2333,11.6937,16.3487,17.2288
0.043,3.27999,4.74396,1.64107,11.0771,18.2653,11.7389,16.4119,17.2758
0.0435,3.34424,4.82808,1.67895,11.1973,18.2871,11.7782,16.4668,17.3137
0.044,3.40871,4.91212,1.71721,11.3143,18.2998,11.8123,16.5145,17.3435
0.0445,3.47335,4.99601,1.75583,11.428,18.3033,11.8412,16.5549,17.3652
0.045,3.53817,5.07976,1.79482,11.5384,18.2979,11.8649,16.5881,17.3791
0.0455,3.60318,5.16334,1.83418,11.6456,18.2838,11.8837,16.6143,17.3851
0.046,3.66822,5.24659,1.87384,11.7491,18.2604,11.8969,16.6329,17.3827
0.0465,3.73324,5.32937,1.91377,11.8486,18.2276,11.9046,16.6438,17.3719
0.047,3.79829,5.41177,1.95401,11.9444,18.1861,11.9072,16.6473,17.3531
0.0475,3.86349,5.49398,1.99461,12.0369,18.1367,11.9051,16.6444,17.3272
0.048,3.9287,5.57578,2.03551,12.1258,18.0788,11.898,16.6346,17.2939
0.0485,3.99389,5.65712,2.07669,12.2108,18.0127,11.886,16.6178,17.2532
0.049,4.05913,5.73809,2.1182,12.2923,17.9389,11.8694,16.5946,17.2054
0.0495,4.12429,5.81852,2.15996,12.3698,17.857,11.8479,16.5645,17.1502
0.05,4.18944,5.89854,2.20202,12.4437,17.7678,11.8218,16.5281,17.0883
0.0505,4.25458,5.9781,2.24437,12.5139,17.6714,11.7914,16.4856,17.0199
0.051,4.31963,6.05708,2.28699,12.5803,17.5678,11.7564,16.4368,16.9448
0.0515,4.3845,6.13538,2.3298,12.6426,17.4569,11.7169,16.3816,16.863
0.052,4.44914,6.21295,2.37282,12.7008,17.3388,11.6729,16.3202,16.7745
0.0525,4.51379,6.29008,2.41614,12.7556,17.2148,11.6251,16.2533,16.6805
0.053,4.57827,6.36655,2.45968,12.8066,17.0845,11.5732,16.1808,16.5806
0.0535,4.64256,6.44232,2.50344,12.8535,16.948,11.5173,16.1026,16.4748
0.054,4.70673,6.51748,2.54745,12.8969,16.8058,11.4576,16.0193,16.3637
0.0545,4.77068,6.59189,2.59165,12.9363,16.658,11.3941,15.9306,16.2471
0.055,4.8343,6.66539,2.63599,12.9717,16.5045,11.3268,15.8365,16.1251
0.0555,4.89762,6.73808,2.68049,13.0032,16.3457,11.256,15.7376,15.9981
0.056,4.96077,6.81011,2.7252,13.0312,16.1823,11.1821,15.6343,15.8668
0.0565,5.02376,6.88147,2.77015,13.0557,16.0146,11.105,15.5265,15.731
0.057,5.08635,6.95184,2.81521,13.0762,15.8422,11.0245,15.414,15.5906
0.0575,5.14844,7.02111,2.8603,13.0926,15.6651,10.9407,15.2969,15.4456
0.058,5.2104,7.08977,2.90565,13.1056,15.4845,10.8542,15.1761,15.297
0.0585,5.27203,7.15757,2.95113,13.1151,15.3002,10.7651,15.0515,15.1449
