radius,pp fraction,pep fraction,hep fraction,7Be fraction,8B fraction,13N fraction,15O fraction,17F fraction
0.034,2.16111,3.23029,1.00755,8.3879,16.176,10.4685,14.1748,15.1594
0.0345,2.21913,3.31198,1.03787,8.55373,16.3704,10.6069,14.3621,15.3484
0.035,2.27768,3.39416,1.06866,8.71813,16.5563,10.7404,14.543,15.5299
0.0355,2.33674,3.47676,1.0999,8.88086,16.7334,10.869,14.7172,15.7036
0.036,2.3963,3.55978,1.13158,9.04185,16.9016,10.9926,14.8844,15.8693
0.0365,2.45623,3.64299,1.16367,9.20058,17.0601,11.1106,15.0442,16.0266
0.037,2.51661,3.72656,1.1962,9.35736,17.2094,11.2234,15.197,16.1757
0.0375,2.5774,3.81038,1.22916,9.51195,17.3492,11.3307,15.3423,16.3164
0.038,2.63865,3.8945,1.26256,9.66441,17.4799,11.4328,15.4807,16.449
0.0385,2.70026,3.97883,1.29639,9.81452,17.6009,11.5294,15.6114,16.573
0.039,2.76215,4.06319,1.33058,9.96178,17.7117,11.62,15.7341,16.6878
0.0395,2.82448,4.14784,1.36524,10.1068,17.8134,11.7056,15.85,16.7951
0.04,2.88703,4.23244,1.40025,10.2488,17.9048,11.7851,15.9576,16.8929
0.0405,2.94986,4.31708,1.43566,10.388,17.9864,11.859,16.0575,16.9821
0.041,3.01309,4.40192,1.47151,10.5247,18.0589,11.9274,16.1503,17.0632
0.0415,3.07662,4.48679,1.50777,10.6586,18.1217,11.9904,16.2356,17.1358
0.042,3.14029,4.5715,1.54436,10.7891,18.1743,12.0472,16.3126,17.1991
0.0425,3.20425,4.65625,1.58137,10.9167,18.2176,12.0987,16.3823,17.2542
0.043,3.26848,4.74098,1.61878,11.0413,18.2517,12.1448,16.4447,17.3012
0.0435,3.33285,4.8255,1.65653,11.1625,18.2759,12.1849,16.4991,17.3393
0.044,3.3974,4.90988,1.69465,11.2804,18.2906,12.2195,16.546,17.369
0.0445,3.46203,4.99394,1.73308,11.3948,18.2957,12.2483,16.5849,17.3899
0.045,3.52685,5.07784,1.7719,11.5058,18.2917,12.2717,16.6166,17.4028
0.0455,3.59187,5.16162,1.81111,11.6136,18.279,12.29,16.6414,17.4081
0.046,3.65694,5.24505,1.85062,11.7178,18.2571,12.3026,16.6585,17.4049
0.0465,3.72197,5.32801,1.89041,11.818,18.2257,12.3094,16.6677,17.3931
0.047,3.78709,5.41067,1.93053,11.9147,18.1858,12.3111,16.67,17.3738
0.0475,3.85241,5.49319,1.97105,12.0083,18.1383,12.3083,16.6662,17.3477
0.048,3.91765,5.57516,2.01183,12.0978,18.0817,12.2998,16.6547,17.3134
0.0485,3.98292,5.65673,2.05293,12.1836,18.0169,12.2862,16.6364,17.2717
0.049,4.04823,5.73795,2.09435,12.2659,17.9445,12.268,16.6117,17.2231
0.0495,4.11355,5.81875,2.13607,12.3445,17.8644,12.2449,16.5805,17.1674
0.05,4.17878,5.89899,2.17806,12.4192,17.7764,12.2168,16.5424,17.1043
0.0505,4.24385,5.97856,2.22028,12.4898,17.6806,12.1838,16.4978,17.0344
0.051,4.3089,6.05766,2.26279,12.5568,17.5779,12.1464,16.4472,16.9581
0.0515,4.37395,6.13632,2.30562,12.6203,17.4685,12.1046,16.3907,16.8755
0.052,4.43883,6.21432,2.34868,12.6797,17.3522,12.0584,16.3282,16.7866
0.0525,4.50359,6.29171,2.39198,12.7353,17.2292,12.008,16.2599,16.6916
0.053,4.56813,6.36834,2.43549,12.787,17.0997,11.9532,16.1857,16.5905
0.0535,4.63248,6.44427,2.47922,12.8348,16.9641,11.8942,16.1059,16.4836
0.054,4.69671,6.51957,2.52319,12.8788,16.8228,11.8314,16.0209,16.3712
0.0545,4.76074,6.59417,2.56739,12.9191,16.6758,11.7648,15.9307,16.2537
