E_nu_MeV,sigma_nc_cm2,sigma_nc_bar_cm2,sigma_cc_cm2,sigma_cc_bar_cm2
27.0,1.44e-41,1.243e-41,3.217e-41,1.968e-41
28.0,1.569e-41,1.347e-41,3.5070000000000003e-41,2.1389999999999998e-41
29.0,1.704e-41,1.454e-41,3.811e-41,2.317e-41
30.0,1.844e-41,1.566e-41,4.13e-41,2.5009999999999997e-41
31.0,1.991e-41,1.6810000000000001e-41,4.4630000000000003e-41,2.691e-41
32.0,2.1429999999999999e-41,1.8e-41,4.811e-41,2.888e-41
33.0,2.3020000000000003e-41,1.922e-41,5.173e-41,3.0899999999999997e-41
34.0,2.466e-41,2.0480000000000002e-41,5.551000000000001e-41,3.298e-41
35.0,2.637e-41,2.178e-41,5.944e-41,3.512e-41
36.0,2.8140000000000003e-41,2.312e-41,6.352e-41,3.7320000000000003e-41
37.0,2.997e-41,2.449e-41,6.776e-41,3.958e-41
38.0,3.186e-41,2.589e-41,7.215e-41,4.189e-41
39.0,3.3820000000000004e-41,2.733e-41,7.67e-41,4.426e-41
40.0,3.5830000000000004e-41,2.881e-41,8.141e-41,4.668e-41
41.0,3.791e-41,3.031e-41,8.628e-41,4.916000000000001e-41
42.0,4.0049999999999997e-41,3.186e-41,9.132e-41,5.169e-41
43.0,4.2249999999999995e-41,3.343e-41,9.652e-41,5.427e-41
44.0,4.452e-41,3.504e-41,1.019e-40,5.69e-41
45.0,4.684e-41,3.668e-41,1.074e-40,5.958e-41
46.0,4.923e-41,3.835e-41,1.131e-40,6.231e-41
47.0,5.169e-41,4.0049999999999997e-41,1.1899999999999998e-40,6.51e-41
48.0,5.421000000000001e-41,4.1790000000000003e-41,1.25e-40,6.792e-41
49.0,5.679e-41,4.3550000000000006e-41,1.312e-40,7.08e-41
50.0,5.944e-41,4.535e-41,1.3759999999999998e-40,7.372e-41
51.0,6.214999999999999e-41,4.716999999999999e-41,1.4409999999999999e-40,7.669e-41
52.0,6.492e-41,4.903e-41,1.508e-40,7.97e-41
53.0,6.776e-41,5.091e-41,1.5769999999999999e-40,8.275000000000001e-41
54.0,7.066e-41,5.283000000000001e-41,1.6479999999999997e-40,8.585000000000001e-41
55.0,7.362e-41,5.477e-41,1.721e-40,8.898999999999999e-41
60.0,8.941000000000001e-41,6.488e-41,2.109e-40,1.0529999999999998e-40
65.0,1.068e-40,7.563e-41,2.543e-40,1.225e-40
70.0,1.258e-40,8.698e-41,3.0219999999999997e-40,1.4059999999999998e-40
75.0,1.463e-40,9.89e-41,3.5459999999999996e-40,1.594e-40
80.0,1.683e-40,1.1129999999999998e-40,4.115e-40,1.7889999999999999e-40
85.0,1.919e-40,1.241e-40,4.728999999999999e-40,1.989e-40
90.0,2.1689999999999997e-40,1.373e-40,5.388e-40,2.1949999999999997e-40
95.0,2.4329999999999995e-40,1.5089999999999998e-40,6.0899999999999996e-40,2.4049999999999995e-40
100.0,2.7109999999999998e-40,1.6469999999999999e-40,6.836e-40,2.618e-40
105.0,3.003e-40,1.7889999999999999e-40,7.626e-40,2.8349999999999996e-40
110.0,3.3079999999999998e-40,1.933e-40,8.456e-40,3.055e-40
115.0,3.624e-40,2.079e-40,9.324e-40,3.2779999999999996e-40
120.0,3.952999999999999e-40,2.2269999999999995e-40,1.0229999999999998e-39,3.5019999999999994e-40
125.0,4.291e-40,2.3749999999999997e-40,1.118e-39,3.727e-40
130.0,4.641e-40,2.5249999999999996e-40,1.216e-39,3.954e-40
135.0,5e-40,2.6749999999999995e-40,1.3169999999999999e-39,4.182e-40
140.0,5.367e-40,2.826e-40,1.4219999999999999e-39,4.4109999999999995e-40
145.0,5.744e-40,2.978e-40,1.53e-39,4.64e-40
150.0,6.129999999999999e-40,3.1289999999999996e-40,1.641e-39,4.871e-40
155.0,6.524e-40,3.281e-40,1.7549999999999997e-39,5.101e-40
160.0,6.924999999999999e-40,3.4319999999999996e-40,1.872e-39,5.3319999999999996e-40
165.0,7.331e-40,3.584e-40,1.991e-39,5.565e-40
170.0,7.743e-40,3.734999999999999e-40,2.113e-39,5.796e-40
