pull_index,E_MeV,f
0,1.022,0.8985057811795188
0,1.046,0.8959769747185056
0,1.07,0.8969734971583414
0,1.094,0.8985349984640927
0,1.118,0.900300703150986
0,1.142,0.9021342649787376
0,1.166,0.9039826303280762
0,1.19,0.9058319730269176
0,1.214,0.9076745405823085
0,1.238,0.9095770605598412
0,1.262,0.911518369461844
0,1.286,0.9134764978860412
0,1.31,0.9154285900306987
0,1.334,0.9173707262247112
0,1.358,0.91928425174463
0,1.382,0.9211914277300794
0,1.406,0.9230672886851412
0,1.43,0.9248962445879402
0,1.454,0.926729567816754
0,1.478,0.928527719461044
0,1.502,0.9302656440021516
0,1.526,0.9319860392569188
0,1.55,0.9336560643332584
0,1.574,0.9353188635048852
0,1.598,0.9368831978408408
0,1.622,0.9385104407377152
0,1.646,0.9400632553315728
0,1.67,0.9415560971155248
0,1.694,0.9430413512806524
0,1.718,0.9445097328662788
0,1.742,0.9458904013156486
0,1.766,0.9472997015447364
0,1.79,0.948623168929802
0,1.814,0.9499054445116037
0,1.838,0.951217446892621
0,1.862,0.9525512625027092
0,1.886,0.953687772080636
0,1.91,0.9548954678157924
0,1.934,0.9561057198627102
0,1.958,0.9572375149425992
0,1.982,0.95847670829104
0,2.006,0.9595036862570095
0,2.03,0.960584684386899
0,2.054,0.961641993879157
0,2.078,0.9626737051440244
0,2.102,0.9636804284196454
0,2.126,0.9646665712797567
0,2.15,0.965645302365594
0,2.174,0.9666013147033043
0,2.198,0.9675351249672524
0,2.222,0.9684478411918396
0,2.246,0.9693409929458758
0,2.27,0.9702142790732544
0,2.294,0.9710681874342724
0,2.318,0.9719034391062492
0,2.342,0.9727355506156942
0,2.366,0.9735529310845527
0,2.39,0.9743528887581194
0,2.414,0.9751359021421389
0,2.438,0.9758977404181172
0,2.462,0.9766414383581712
0,2.486,0.9773697706466123
0,2.51,0.9780833298560616
0,2.534,0.97877961683078
0,2.558,0.9794590107033
0,2.582,0.9801247248368418
0,2.606,0.9807772331329428
0,2.63,0.981426348366762
0,2.654,0.982081626923343
0,2.678,0.982724286048262
0,2.702,0.9833546324685528
0,2.726,0.9839689727408734
0,2.75,0.9845521378141624
0,2.774,0.9851244165825742
0,2.798,0.98568603947149
0,2.822,0.9862372378482884
0,2.846,0.9867816791930548
0,2.87,0.98731622641007
0,2.894,0.9878411327306372
0,2.918,0.988356632335698
0,2.942,0.9888858519687156
0,2.966,0.9894101753182521
0,2.99,0.9899254416961348
0,3.014,0.9904317375658273
0,3.038,0.9909167702039692
0,3.062,0.9913870623442594
0,3.086,0.9918494540166064
0,3.11,0.9923039441791052
0,3.134,0.9927507698552248
0,3.158,0.9931901556468508
0,3.182,0.9936222187579044
0,3.206,0.9940472387884516
0,3.23,0.9944645339493716
0,3.254,0.9948734571249908
0,3.278,0.9952757674012624
0,3.302,0.995671626681236
0,3.326,0.9960611772367484
0,3.35,0.996444598232652
0,3.374,0.9968220321091376
0,3.398,0.9971934549668808
0,3.422,0.9975591289379911
0,3.446,0.9979329644842928
0,3.47,0.9983010141986104
0,3.494,0.9986635116016515
0,3.518,0.9990204769274232
0,3.542,0.9993721693728536
0,3.566,0.9997185267502467
0,3.59,1.0000598201320643
0,3.614,1.0003960415137925
0,3.638,1.0007199055495712
0,3.662,1.0010353316777527
0,3.686,1.0013461387179212
0,3.71,1.0016524990697857
0,3.734,1.001954448787766
