detector,eff_livetime_seconds,n_days
AD11,89815220.78208128,1525
AD12,89536118.39974016,1525
AD21,94653021.87659606,1525
AD22,94614005.59160298,1525
AD31,111000096.195517,1525
AD32,111000068.93221459,1525
AD33,110963579.14342773,1525
AD34,110963522.59705645,1525
