reactor,E_MeV,C
R2,3.45,0.0006867741620981
R2,3.46,0.0006084233663228
R2,3.47,0.0005346920572368
R2,3.48,0.0004660587298286
R2,3.49,0.0004030018790868
R2,3.5,0.0003459999999999
R2,3.51,0.0002939445006085
R2,3.52,0.0002453815008706
R2,3.53,0.0002002715636508
R2,3.54,0.0001585752518138
R2,3.55,0.0001202531282242
R2,3.56,8.526575574689798e-05
R2,3.57,5.35736972463364e-05
R2,3.58,2.513751558727056e-05
R2,3.59,0.0
R2,3.6,0.0
R2,3.61,0.0
R2,3.62,0.0
R2,3.63,0.0
R2,3.64,0.0
R2,3.65,0.0
R2,3.66,0.0
R2,3.67,0.0
R2,3.68,0.0
R2,3.69,0.0
R2,3.7,0.0
R2,3.71,0.0
R2,3.72,0.0
R2,3.73,0.0
R2,3.74,0.0
R2,3.75,0.0
R3,1.75,0.01367
R3,1.76,0.0137536478967741
R3,1.77,0.0138328982709677
R3,1.78,0.013907611148387
R3,1.79,0.0139776465548387
R3,1.8,0.014042864516129
R3,1.81,0.0141031250580645
R3,1.82,0.0141582882064516
R3,1.83,0.0142082139870967
R3,1.84,0.0142527624258064
R3,1.85,0.014291793548387
R3,1.86,0.0143251673806451
R3,1.87,0.014352743948387
R3,1.88,0.0143743832774193
R3,1.89,0.0143899453935483
R3,1.9,0.0143992903225806
R3,1.91,0.0144022780903225
R3,1.92,0.0143987687225806
R3,1.93,0.0143886222451612
R3,1.94,0.0143716986838709
R3,1.95,0.0143478580645161
R3,1.96,0.0143169604129032
R3,1.97,0.0142788657548387
R3,1.98,0.014233434116129
R3,1.99,0.0141805255225806
R3,2.0,0.0141199999999999
R3,2.01,0.0140486403077516
R3,2.02,0.0139641309001446
R3,2.03,0.0138676843454024
R3,2.04,0.0137605132117485
R3,2.05,0.013643830067406
R3,2.06,0.0135188474805986
R3,2.07,0.0133867780195495
R3,2.08,0.0132488342524821
R3,2.09,0.0131062287476198
R3,2.1,0.012960174073186
R3,2.11,0.0128118827974041
R3,2.12,0.0126625674884974
R3,2.13,0.0125134407146894
R3,2.14,0.0123657150442034
R3,2.15,0.0122206030452629
R3,2.16,0.0120793172860911
R3,2.17,0.0119430703349115
R3,2.18,0.0118130747599475
R3,2.19,0.0116905431294225
R3,2.2,0.0115766880115598
R3,2.21,0.0114727219745828
R3,2.22,0.011379857586715
R3,2.23,0.0112993074161796
R3,2.24,0.0112322840312002
R3,2.25,0.0111799999999999
R3,2.26,0.011136999594498
R3,2.27,0.0110968638156636
R3,2.28,0.0110593603252956
R3,2.29,0.0110242567851928
R3,2.3,0.0109913208571541
R3,2.31,0.0109603202029781
R3,2.32,0.0109310224844638
R3,2.33,0.01090319536341
R3,2.34,0.0108766065016154
R3,2.35,0.010851023560879
R3,2.36,0.0108262142029994
R3,2.37,0.0108019460897756
R3,2.38,0.0107779868830064
R3,2.39,0.0107541042444905
R3,2.4,0.0107300658360268
R3,2.41,0.0107056393194141
