 Energy(MeV)      pp            B8           N13           O15    
 0.15200E+01   0.10936E+00   0.30980E-02   0.30848E-01   0.32192E-02 
 0.15400E+01   0.10558E+00   0.30576E-02   0.28587E-01   0.31701E-02 
 0.15600E+01   0.10198E+00   0.30200E-02   0.26506E-01   0.31248E-02 
 0.15800E+01   0.98537E-01   0.29850E-02   0.24592E-01   0.30828E-02 
 0.16000E+01   0.95243E-01   0.29523E-02   0.22831E-01   0.30438E-02 
 0.16200E+01   0.92092E-01   0.29219E-02   0.21213E-01   0.30077E-02 
 0.16400E+01   0.89082E-01   0.28934E-02   0.19730E-01   0.29740E-02 
 0.16600E+01   0.86207E-01   0.28669E-02   0.18373E-01   0.29427E-02 
 0.16800E+01   0.83455E-01   0.28420E-02   0.17130E-01   0.29136E-02 
 0.17000E+01   0.80817E-01   0.28188E-02   0.15990E-01   0.28864E-02 
 0.17200E+01   0.78288E-01   0.27972E-02   0.14945E-01   0.28612E-02 
 0.17400E+01   0.75866E-01   0.27770E-02   0.13988E-01   0.28376E-02 
 0.17600E+01   0.73547E-01   0.27582E-02   0.13111E-01   0.28158E-02 
 0.17800E+01   0.71326E-01   0.27407E-02   0.12309E-01   0.27955E-02 
 0.18000E+01   0.69196E-01   0.27246E-02   0.11575E-01   0.27767E-02 
 0.18200E+01   0.67149E-01   0.27097E-02   0.10902E-01   0.27593E-02 
 0.18400E+01   0.65183E-01   0.26960E-02   0.10284E-01   0.27434E-02 
 0.18600E+01   0.63296E-01   0.26836E-02   0.97167E-02   0.27288E-02 
 0.18800E+01   0.61485E-01   0.26723E-02   0.91970E-02   0.27155E-02 
 0.19000E+01   0.59748E-01   0.26621E-02   0.87206E-02   0.27035E-02 
 0.19200E+01   0.58078E-01   0.26531E-02   0.82836E-02   0.26927E-02 
 0.19400E+01   0.56473E-01   0.26452E-02   0.78823E-02   0.26832E-02 
 0.19600E+01   0.54926E-01   0.26385E-02   0.75134E-02   0.26749E-02 
