 Energy(MeV)      pp            B8           N13           O15    
 0.66200E+01   0.79129E-01   0.77726E-01   0.77742E-01   0.77725E-01 
 0.66400E+01   0.79711E-01   0.78322E-01   0.78338E-01   0.78321E-01 
 0.66600E+01   0.80294E-01   0.78918E-01   0.78934E-01   0.78918E-01 
 0.66800E+01   0.80878E-01   0.79516E-01   0.79532E-01   0.79515E-01 
 0.67000E+01   0.81463E-01   0.80114E-01   0.80130E-01   0.80113E-01 
 0.67200E+01   0.82049E-01   0.80713E-01   0.80729E-01   0.80712E-01 
 0.67400E+01   0.82636E-01   0.81313E-01   0.81329E-01   0.81312E-01 
 0.67600E+01   0.83224E-01   0.81913E-01   0.81929E-01   0.81913E-01 
 0.67800E+01   0.83812E-01   0.82515E-01   0.82530E-01   0.82514E-01 
 0.68000E+01   0.84402E-01   0.83117E-01   0.83132E-01   0.83116E-01 
 0.68200E+01   0.84992E-01   0.83720E-01   0.83735E-01   0.83719E-01 
 0.68400E+01   0.85583E-01   0.84323E-01   0.84338E-01   0.84322E-01 
 0.68600E+01   0.86175E-01   0.84927E-01   0.84942E-01   0.84926E-01 
 0.68800E+01   0.86768E-01   0.85532E-01   0.85547E-01   0.85531E-01 
 0.69000E+01   0.87361E-01   0.86137E-01   0.86152E-01   0.86137E-01 
 0.69200E+01   0.87955E-01   0.86743E-01   0.86758E-01   0.86743E-01 
 0.69400E+01   0.88550E-01   0.87350E-01   0.87365E-01   0.87349E-01 
 0.69600E+01   0.89146E-01   0.87957E-01   0.87972E-01   0.87957E-01 
 0.69800E+01   0.89742E-01   0.88565E-01   0.88580E-01   0.88564E-01 
 0.70000E+01   0.90339E-01   0.89174E-01   0.89188E-01   0.89173E-01 
 0.70200E+01   0.90936E-01   0.89783E-01   0.89797E-01   0.89782E-01 
 0.70400E+01   0.91535E-01   0.90393E-01   0.90407E-01   0.90392E-01 
 0.70600E+01   0.92134E-01   0.91003E-01   0.91017E-01   0.91002E-01 
 0.70800E+01   0.92733E-01   0.91614E-01   0.91627E-01   0.91613E-01 
 0.71000E+01   0.93335E-01   0.92226E-01   0.92239E-01   0.92225E-01 
 0.71200E+01   0.93938E-01   0.92840E-01   0.92853E-01   0.92839E-01 
 0.71400E+01   0.94544E-01   0.93456E-01   0.93469E-01   0.93455E-01 
 0.71600E+01   0.95153E-01   0.94075E-01   0.94088E-01   0.94073E-01 
 0.71800E+01   0.95764E-01   0.94695E-01   0.94709E-01   0.94694E-01 
 0.72000E+01   0.96377E-01   0.95319E-01   0.95332E-01   0.95318E-01 
 0.72200E+01   0.96993E-01   0.95944E-01   0.95957E-01   0.95943E-01 
 0.72400E+01   0.97611E-01   0.96572E-01   0.96585E-01   0.96571E-01 
 0.72600E+01   0.98232E-01   0.97203E-01   0.97216E-01   0.97202E-01 
 0.72800E+01   0.98855E-01   0.97835E-01   0.97848E-01   0.97834E-01 
 0.73000E+01   0.99481E-01   0.98470E-01   0.98483E-01   0.98469E-01 
 0.73200E+01   0.10011E+00   0.99108E-01   0.99121E-01   0.99107E-01 
 0.73400E+01   0.10074E+00   0.99748E-01   0.99761E-01   0.99747E-01 
 0.73600E+01   0.10137E+00   0.10039E+00   0.10040E+00   0.10039E+00 
 0.73800E+01   0.10201E+00   0.10104E+00   0.10105E+00   0.10103E+00 
 0.74000E+01   0.10265E+00   0.10168E+00   0.10169E+00   0.10168E+00 
 0.74200E+01   0.10329E+00   0.10233E+00   0.10234E+00   0.10233E+00 
 0.74400E+01   0.10393E+00   0.10298E+00   0.10300E+00   0.10298E+00 
 0.74600E+01   0.10458E+00   0.10364E+00   0.10365E+00   0.10364E+00 
 0.74800E+01   0.10522E+00   0.10430E+00   0.10431E+00   0.10430E+00 
 0.75000E+01   0.10588E+00   0.10496E+00   0.10497E+00   0.10496E+00 
 0.75200E+01   0.10653E+00   0.10562E+00   0.10563E+00   0.10562E+00 
 0.75400E+01   0.10719E+00   0.10628E+00   0.10630E+00   0.10628E+00 
 0.75600E+01   0.10784E+00   0.10695E+00   0.10696E+00   0.10695E+00 
 0.75800E+01   0.10851E+00   0.10762E+00   0.10763E+00   0.10762E+00 
 0.76000E+01   0.10917E+00   0.10829E+00   0.10831E+00   0.10829E+00 
 0.76200E+01   0.10984E+00   0.10897E+00   0.10898E+00   0.10897E+00 
 0.76400E+01   0.11051E+00   0.10965E+00   0.10966E+00   0.10964E+00 
 0.76600E+01   0.11117E+00   0.11032E+00   0.11033E+00   0.11032E+00 
 0.76800E+01   0.11183E+00   0.11099E+00   0.11100E+00   0.11099E+00 
 0.77000E+01   0.11249E+00   0.11166E+00   0.11167E+00   0.11165E+00 
 0.77200E+01   0.11315E+00   0.11232E+00   0.11233E+00   0.11232E+00 
 0.77400E+01   0.11380E+00   0.11298E+00   0.11299E+00   0.11298E+00 
 0.77600E+01   0.11445E+00   0.11363E+00   0.11365E+00   0.11363E+00 
 0.77800E+01   0.11509E+00   0.11429E+00   0.11430E+00   0.11429E+00 
 0.78000E+01   0.11574E+00   0.11494E+00   0.11495E+00   0.11493E+00 
 0.78200E+01   0.11637E+00   0.11558E+00   0.11559E+00   0.11558E+00 
 0.78400E+01   0.11701E+00   0.11622E+00   0.11623E+00   0.11622E+00 
 0.78600E+01   0.11764E+00   0.11686E+00   0.11687E+00   0.11686E+00 
 0.78800E+01   0.11827E+00   0.11750E+00   0.11751E+00   0.11749E+00 
 0.79000E+01   0.11889E+00   0.11813E+00   0.11814E+00   0.11812E+00 
 0.79200E+01   0.11951E+00   0.11875E+00   0.11876E+00   0.11875E+00 
 0.79400E+01   0.12013E+00   0.11938E+00   0.11939E+00   0.11937E+00 
 0.79600E+01   0.12074E+00   0.11999E+00   0.12000E+00   0.11999E+00 
 0.79800E+01   0.12135E+00   0.12061E+00   0.12062E+00   0.12061E+00 
 0.80000E+01   0.12195E+00   0.12122E+00   0.12123E+00   0.12122E+00 
 0.80200E+01   0.12255E+00   0.12182E+00   0.12184E+00   0.12182E+00 
 0.80400E+01   0.12315E+00   0.12243E+00   0.12244E+00   0.12243E+00 
 0.80600E+01   0.12374E+00   0.12302E+00   0.12303E+00   0.12302E+00 
 0.80800E+01   0.12432E+00   0.12362E+00   0.12363E+00   0.12362E+00 
 0.81000E+01   0.12491E+00   0.12421E+00   0.12422E+00   0.12421E+00 
 0.81200E+01   0.12548E+00   0.12479E+00   0.12480E+00   0.12479E+00 
 0.81400E+01   0.12606E+00   0.12537E+00   0.12538E+00   0.12537E+00 
 0.81600E+01   0.12663E+00   0.12595E+00   0.12596E+00   0.12595E+00 
 0.81800E+01   0.12719E+00   0.12652E+00   0.12653E+00   0.12652E+00 
 0.82000E+01   0.12775E+00   0.12709E+00   0.12710E+00   0.12708E+00 
 0.82200E+01   0.12831E+00   0.12765E+00   0.12766E+00   0.12765E+00 
 0.82400E+01   0.12887E+00   0.12821E+00   0.12822E+00   0.12821E+00 
 0.82600E+01   0.12943E+00   0.12878E+00   0.12879E+00   0.12878E+00 
 0.82800E+01   0.13000E+00   0.12936E+00   0.12936E+00   0.12935E+00 
 0.83000E+01   0.13057E+00   0.12993E+00   0.12994E+00   0.12993E+00 
 0.83200E+01   0.13114E+00   0.13051E+00   0.13052E+00   0.13050E+00 
 0.83400E+01   0.13172E+00   0.13109E+00   0.13110E+00   0.13109E+00 
 0.83600E+01   0.13229E+00   0.13167E+00   0.13168E+00   0.13167E+00 
 0.83800E+01   0.13288E+00   0.13226E+00   0.13227E+00   0.13226E+00 
 0.84000E+01   0.13346E+00   0.13285E+00   0.13286E+00   0.13284E+00 
 0.84200E+01   0.13405E+00   0.13344E+00   0.13345E+00   0.13344E+00 
 0.84400E+01   0.13464E+00   0.13404E+00   0.13404E+00   0.13403E+00 
 0.84600E+01   0.13523E+00   0.13463E+00   0.13464E+00   0.13463E+00 
 0.84800E+01   0.13583E+00   0.13524E+00   0.13525E+00   0.13523E+00 
 0.85000E+01   0.13643E+00   0.13584E+00   0.13585E+00   0.13584E+00 
 0.85200E+01   0.13703E+00   0.13645E+00   0.13646E+00   0.13645E+00 
 0.85400E+01   0.13764E+00   0.13706E+00   0.13707E+00   0.13706E+00 
 0.85600E+01   0.13825E+00   0.13768E+00   0.13769E+00   0.13768E+00 
 0.85800E+01   0.13886E+00   0.13830E+00   0.13830E+00   0.13829E+00 
 0.86000E+01   0.13948E+00   0.13892E+00   0.13893E+00   0.13892E+00 
 0.86200E+01   0.14010E+00   0.13954E+00   0.13955E+00   0.13954E+00 
 0.86400E+01   0.14072E+00   0.14017E+00   0.14018E+00   0.14017E+00 
 0.86600E+01   0.14135E+00   0.14080E+00   0.14081E+00   0.14080E+00 
 0.86800E+01   0.14198E+00   0.14144E+00   0.14145E+00   0.14144E+00 
 0.87000E+01   0.14262E+00   0.14208E+00   0.14209E+00   0.14208E+00 
 0.87200E+01   0.14325E+00   0.14272E+00   0.14273E+00   0.14272E+00 
 0.87400E+01   0.14390E+00   0.14337E+00   0.14338E+00   0.14337E+00 
 0.87600E+01   0.14454E+00   0.14402E+00   0.14403E+00   0.14402E+00 
 0.87800E+01   0.14519E+00   0.14467E+00   0.14468E+00   0.14467E+00 
 0.88000E+01   0.14584E+00   0.14533E+00   0.14534E+00   0.14533E+00 
 0.88200E+01   0.14650E+00   0.14599E+00   0.14600E+00   0.14599E+00 
 0.88400E+01   0.14716E+00   0.14666E+00   0.14666E+00   0.14665E+00 
 0.88600E+01   0.14782E+00   0.14732E+00   0.14733E+00   0.14732E+00 
 0.88800E+01   0.14848E+00   0.14798E+00   0.14799E+00   0.14798E+00 
 0.89000E+01   0.14913E+00   0.14864E+00   0.14865E+00   0.14864E+00 
 0.89200E+01   0.14979E+00   0.14930E+00   0.14931E+00   0.14930E+00 
 0.89400E+01   0.15044E+00   0.14995E+00   0.14996E+00   0.14995E+00 
 0.89600E+01   0.15109E+00   0.15061E+00   0.15062E+00   0.15060E+00 
 0.89800E+01   0.15173E+00   0.15126E+00   0.15127E+00   0.15126E+00 
 0.90000E+01   0.15238E+00   0.15191E+00   0.15191E+00   0.15190E+00 
 0.90200E+01   0.15302E+00   0.15255E+00   0.15256E+00   0.15255E+00 
 0.90400E+01   0.15366E+00   0.15320E+00   0.15321E+00   0.15319E+00 
 0.90600E+01   0.15430E+00   0.15384E+00   0.15385E+00   0.15384E+00 
 0.90800E+01   0.15493E+00   0.15448E+00   0.15449E+00   0.15448E+00 
 0.91000E+01   0.15557E+00   0.15512E+00   0.15512E+00   0.15511E+00 
 0.91200E+01   0.15620E+00   0.15575E+00   0.15576E+00   0.15575E+00 
 0.91400E+01   0.15683E+00   0.15638E+00   0.15639E+00   0.15638E+00 
 0.91600E+01   0.15745E+00   0.15701E+00   0.15702E+00   0.15701E+00 
 0.91800E+01   0.15808E+00   0.15764E+00   0.15765E+00   0.15764E+00 
 0.92000E+01   0.15870E+00   0.15827E+00   0.15827E+00   0.15826E+00 
 0.92200E+01   0.15932E+00   0.15889E+00   0.15890E+00   0.15888E+00 
 0.92400E+01   0.15993E+00   0.15951E+00   0.15952E+00   0.15951E+00 
 0.92600E+01   0.16055E+00   0.16013E+00   0.16013E+00   0.16012E+00 
 0.92800E+01   0.16116E+00   0.16074E+00   0.16075E+00   0.16074E+00 
 0.93000E+01   0.16177E+00   0.16135E+00   0.16136E+00   0.16135E+00 
 0.93200E+01   0.16237E+00   0.16196E+00   0.16197E+00   0.16196E+00 
 0.93400E+01   0.16298E+00   0.16257E+00   0.16258E+00   0.16257E+00 
 0.93600E+01   0.16358E+00   0.16318E+00   0.16318E+00   0.16317E+00 
 0.93800E+01   0.16418E+00   0.16378E+00   0.16378E+00   0.16377E+00 
 0.94000E+01   0.16477E+00   0.16438E+00   0.16438E+00   0.16437E+00 
 0.94200E+01   0.16537E+00   0.16497E+00   0.16498E+00   0.16497E+00 
 0.94400E+01   0.16596E+00   0.16557E+00   0.16558E+00   0.16557E+00 
 0.94600E+01   0.16655E+00   0.16616E+00   0.16617E+00   0.16616E+00 
 0.94800E+01   0.16713E+00   0.16675E+00   0.16676E+00   0.16675E+00 
 0.95000E+01   0.16771E+00   0.16733E+00   0.16734E+00   0.16733E+00 
 0.95200E+01   0.16829E+00   0.16792E+00   0.16793E+00   0.16792E+00 
 0.95400E+01   0.16887E+00   0.16850E+00   0.16851E+00   0.16850E+00 
 0.95600E+01   0.16946E+00   0.16909E+00   0.16909E+00   0.16908E+00 
 0.95800E+01   0.17004E+00   0.16967E+00   0.16968E+00   0.16967E+00 
 0.96000E+01   0.17062E+00   0.17026E+00   0.17026E+00   0.17025E+00 
 0.96200E+01   0.17120E+00   0.17084E+00   0.17085E+00   0.17084E+00 
 0.96400E+01   0.17179E+00   0.17143E+00   0.17144E+00   0.17143E+00 
 0.96600E+01   0.17237E+00   0.17202E+00   0.17203E+00   0.17202E+00 
 0.96800E+01   0.17296E+00   0.17261E+00   0.17262E+00   0.17261E+00 
 0.97000E+01   0.17355E+00   0.17320E+00   0.17321E+00   0.17320E+00 
 0.97200E+01   0.17414E+00   0.17379E+00   0.17380E+00   0.17379E+00 
 0.97400E+01   0.17472E+00   0.17438E+00   0.17439E+00   0.17438E+00 
 0.97600E+01   0.17531E+00   0.17497E+00   0.17498E+00   0.17497E+00 
 0.97800E+01   0.17590E+00   0.17557E+00   0.17557E+00   0.17556E+00 
 0.98000E+01   0.17649E+00   0.17616E+00   0.17617E+00   0.17616E+00 
 0.98200E+01   0.17709E+00   0.17675E+00   0.17676E+00   0.17675E+00 
 0.98400E+01   0.17768E+00   0.17735E+00   0.17736E+00   0.17735E+00 
 0.98600E+01   0.17827E+00   0.17794E+00   0.17795E+00   0.17794E+00 
 0.98800E+01   0.17887E+00   0.17854E+00   0.17855E+00   0.17854E+00 
 0.99000E+01   0.17946E+00   0.17914E+00   0.17915E+00   0.17914E+00 
 0.99200E+01   0.18006E+00   0.17974E+00   0.17975E+00   0.17974E+00 
 0.99400E+01   0.18065E+00   0.18034E+00   0.18035E+00   0.18034E+00 
 0.99600E+01   0.18125E+00   0.18094E+00   0.18095E+00   0.18094E+00 
 0.99800E+01   0.18185E+00   0.18154E+00   0.18155E+00   0.18154E+00 
 0.10000E+02   0.18245E+00   0.18214E+00   0.18215E+00   0.18214E+00 
 0.10020E+02   0.18305E+00   0.18275E+00   0.18275E+00   0.18274E+00 
 0.10040E+02   0.18365E+00   0.18335E+00   0.18336E+00   0.18335E+00 
 0.10060E+02   0.18425E+00   0.18395E+00   0.18396E+00   0.18395E+00 
 0.10080E+02   0.18486E+00   0.18456E+00   0.18457E+00   0.18456E+00 
 0.10100E+02   0.18546E+00   0.18517E+00   0.18517E+00   0.18516E+00 
 0.10120E+02   0.18607E+00   0.18578E+00   0.18578E+00   0.18577E+00 
 0.10140E+02   0.18667E+00   0.18638E+00   0.18639E+00   0.18638E+00 
 0.10160E+02   0.18728E+00   0.18699E+00   0.18700E+00   0.18699E+00 
 0.10180E+02   0.18789E+00   0.18760E+00   0.18761E+00   0.18760E+00 
 0.10200E+02   0.18850E+00   0.18822E+00   0.18822E+00   0.18821E+00 
 0.10220E+02   0.18911E+00   0.18883E+00   0.18884E+00   0.18883E+00 
 0.10240E+02   0.18972E+00   0.18944E+00   0.18945E+00   0.18944E+00 
 0.10260E+02   0.19033E+00   0.19006E+00   0.19006E+00   0.19005E+00 
 0.10280E+02   0.19094E+00   0.19067E+00   0.19067E+00   0.19067E+00 
 0.10300E+02   0.19155E+00   0.19128E+00   0.19129E+00   0.19128E+00 
 0.10320E+02   0.19216E+00   0.19189E+00   0.19190E+00   0.19189E+00 
 0.10340E+02   0.19276E+00   0.19250E+00   0.19250E+00   0.19249E+00 
 0.10360E+02   0.19337E+00   0.19310E+00   0.19311E+00   0.19310E+00 
 0.10380E+02   0.19397E+00   0.19371E+00   0.19372E+00   0.19371E+00 
 0.10400E+02   0.19457E+00   0.19431E+00   0.19432E+00   0.19431E+00 
 0.10420E+02   0.19517E+00   0.19491E+00   0.19492E+00   0.19491E+00 
 0.10440E+02   0.19577E+00   0.19552E+00   0.19552E+00   0.19551E+00 
 0.10460E+02   0.19637E+00   0.19612E+00   0.19612E+00   0.19611E+00 
 0.10480E+02   0.19696E+00   0.19671E+00   0.19672E+00   0.19671E+00 
 0.10500E+02   0.19756E+00   0.19731E+00   0.19732E+00   0.19731E+00 
 0.10520E+02   0.19815E+00   0.19790E+00   0.19791E+00   0.19790E+00 
 0.10540E+02   0.19874E+00   0.19850E+00   0.19850E+00   0.19849E+00 
 0.10560E+02   0.19933E+00   0.19909E+00   0.19910E+00   0.19909E+00 
 0.10580E+02   0.19992E+00   0.19968E+00   0.19969E+00   0.19968E+00 
 0.10600E+02   0.20051E+00   0.20027E+00   0.20028E+00   0.20027E+00 
 0.10620E+02   0.20109E+00   0.20086E+00   0.20086E+00   0.20085E+00 
 0.10640E+02   0.20168E+00   0.20144E+00   0.20145E+00   0.20144E+00 
 0.10660E+02   0.20226E+00   0.20203E+00   0.20204E+00   0.20203E+00 
 0.10680E+02   0.20284E+00   0.20261E+00   0.20262E+00   0.20261E+00 
 0.10700E+02   0.20342E+00   0.20319E+00   0.20320E+00   0.20319E+00 
 0.10720E+02   0.20400E+00   0.20377E+00   0.20378E+00   0.20377E+00 
 0.10740E+02   0.20458E+00   0.20435E+00   0.20436E+00   0.20435E+00 
 0.10760E+02   0.20515E+00   0.20493E+00   0.20494E+00   0.20493E+00 
 0.10780E+02   0.20572E+00   0.20551E+00   0.20551E+00   0.20550E+00 
 0.10800E+02   0.20630E+00   0.20608E+00   0.20609E+00   0.20608E+00 
 0.10820E+02   0.20687E+00   0.20665E+00   0.20666E+00   0.20665E+00 
 0.10840E+02   0.20744E+00   0.20722E+00   0.20723E+00   0.20722E+00 
 0.10860E+02   0.20800E+00   0.20779E+00   0.20780E+00   0.20779E+00 
 0.10880E+02   0.20857E+00   0.20836E+00   0.20837E+00   0.20836E+00 
 0.10900E+02   0.20913E+00   0.20893E+00   0.20893E+00   0.20892E+00 
 0.10920E+02   0.20970E+00   0.20949E+00   0.20950E+00   0.20949E+00 
 0.10940E+02   0.21026E+00   0.21005E+00   0.21006E+00   0.21005E+00 
 0.10960E+02   0.21082E+00   0.21062E+00   0.21062E+00   0.21061E+00 
 0.10980E+02   0.21138E+00   0.21118E+00   0.21118E+00   0.21117E+00 
 0.11000E+02   0.21193E+00   0.21173E+00   0.21174E+00   0.21173E+00 
 0.11020E+02   0.21249E+00   0.21229E+00   0.21230E+00   0.21229E+00 
 0.11040E+02   0.21304E+00   0.21285E+00   0.21285E+00   0.21284E+00 
 0.11060E+02   0.21360E+00   0.21340E+00   0.21341E+00   0.21340E+00 
 0.11080E+02   0.21415E+00   0.21396E+00   0.21396E+00   0.21395E+00 
 0.11100E+02   0.21470E+00   0.21451E+00   0.21452E+00   0.21451E+00 
 0.11120E+02   0.21526E+00   0.21507E+00   0.21507E+00   0.21506E+00 
 0.11140E+02   0.21581E+00   0.21562E+00   0.21563E+00   0.21562E+00 
 0.11160E+02   0.21636E+00   0.21618E+00   0.21618E+00   0.21617E+00 
 0.11180E+02   0.21692E+00   0.21673E+00   0.21674E+00   0.21673E+00 
 0.11200E+02   0.21747E+00   0.21729E+00   0.21729E+00   0.21728E+00 
 0.11220E+02   0.21802E+00   0.21784E+00   0.21785E+00   0.21784E+00 
 0.11240E+02   0.21858E+00   0.21840E+00   0.21840E+00   0.21839E+00 
 0.11260E+02   0.21913E+00   0.21895E+00   0.21896E+00   0.21895E+00 
 0.11280E+02   0.21968E+00   0.21951E+00   0.21951E+00   0.21950E+00 
 0.11300E+02   0.22024E+00   0.22006E+00   0.22007E+00   0.22006E+00 
 0.11320E+02   0.22079E+00   0.22062E+00   0.22062E+00   0.22061E+00 
 0.11340E+02   0.22134E+00   0.22117E+00   0.22118E+00   0.22117E+00 
 0.11360E+02   0.22190E+00   0.22173E+00   0.22173E+00   0.22172E+00 
 0.11380E+02   0.22245E+00   0.22228E+00   0.22229E+00   0.22228E+00 
 0.11400E+02   0.22300E+00   0.22284E+00   0.22284E+00   0.22283E+00 
 0.11420E+02   0.22356E+00   0.22339E+00   0.22340E+00   0.22339E+00 
 0.11440E+02   0.22411E+00   0.22395E+00   0.22395E+00   0.22394E+00 
 0.11460E+02   0.22466E+00   0.22450E+00   0.22451E+00   0.22450E+00 
 0.11480E+02   0.22522E+00   0.22505E+00   0.22506E+00   0.22505E+00 
 0.11500E+02   0.22577E+00   0.22561E+00   0.22562E+00   0.22561E+00 
 0.11520E+02   0.22632E+00   0.22616E+00   0.22617E+00   0.22616E+00 
 0.11540E+02   0.22688E+00   0.22672E+00   0.22673E+00   0.22672E+00 
 0.11560E+02   0.22743E+00   0.22727E+00   0.22728E+00   0.22727E+00 
 0.11580E+02   0.22798E+00   0.22783E+00   0.22783E+00   0.22782E+00 
 0.11600E+02   0.22854E+00   0.22838E+00   0.22839E+00   0.22838E+00 
 0.11620E+02   0.22909E+00   0.22894E+00   0.22894E+00   0.22893E+00 
 0.11640E+02   0.22964E+00   0.22949E+00   0.22950E+00   0.22949E+00 
 0.11660E+02   0.23020E+00   0.23005E+00   0.23005E+00   0.23004E+00 
 0.11680E+02   0.23075E+00   0.23060E+00   0.23061E+00   0.23060E+00 
 0.11700E+02   0.23130E+00   0.23116E+00   0.23116E+00   0.23115E+00 
 0.11720E+02   0.23186E+00   0.23171E+00   0.23172E+00   0.23171E+00 
 0.11740E+02   0.23241E+00   0.23227E+00   0.23228E+00   0.23226E+00 
 0.11760E+02   0.23296E+00   0.23282E+00   0.23283E+00   0.23282E+00 
 0.11780E+02   0.23352E+00   0.23338E+00   0.23339E+00   0.23338E+00 
 0.11800E+02   0.23407E+00   0.23394E+00   0.23394E+00   0.23393E+00 
 0.11820E+02   0.23463E+00   0.23449E+00   0.23450E+00   0.23449E+00 
 0.11840E+02   0.23518E+00   0.23505E+00   0.23505E+00   0.23504E+00 
 0.11860E+02   0.23574E+00   0.23560E+00   0.23561E+00   0.23560E+00 
 0.11880E+02   0.23629E+00   0.23616E+00   0.23616E+00   0.23615E+00 
 0.11900E+02   0.23684E+00   0.23671E+00   0.23672E+00   0.23671E+00 
 0.11920E+02   0.23740E+00   0.23727E+00   0.23727E+00   0.23726E+00 
 0.11940E+02   0.23795E+00   0.23782E+00   0.23783E+00   0.23782E+00 
 0.11960E+02   0.23851E+00   0.23838E+00   0.23839E+00   0.23838E+00 
 0.11980E+02   0.23906E+00   0.23893E+00   0.23894E+00   0.23893E+00 
 0.12000E+02   0.23961E+00   0.23949E+00   0.23950E+00   0.23948E+00 
 0.12020E+02   0.24017E+00   0.24004E+00   0.24005E+00   0.24004E+00 
 0.12040E+02   0.24072E+00   0.24060E+00   0.24060E+00   0.24059E+00 
 0.12060E+02   0.24127E+00   0.24115E+00   0.24116E+00   0.24115E+00 
 0.12080E+02   0.24183E+00   0.24171E+00   0.24171E+00   0.24170E+00 
 0.12100E+02   0.24238E+00   0.24226E+00   0.24227E+00   0.24226E+00 
 0.12120E+02   0.24293E+00   0.24282E+00   0.24282E+00   0.24281E+00 
 0.12140E+02   0.24349E+00   0.24337E+00   0.24337E+00   0.24336E+00 
 0.12160E+02   0.24404E+00   0.24392E+00   0.24393E+00   0.24392E+00 
 0.12180E+02   0.24459E+00   0.24448E+00   0.24448E+00   0.24447E+00 
 0.12200E+02   0.24514E+00   0.24503E+00   0.24504E+00   0.24503E+00 
 0.12220E+02   0.24570E+00   0.24558E+00   0.24559E+00   0.24558E+00 
 0.12240E+02   0.24625E+00   0.24614E+00   0.24614E+00   0.24613E+00 
 0.12260E+02   0.24680E+00   0.24669E+00   0.24670E+00   0.24668E+00 
 0.12280E+02   0.24735E+00   0.24724E+00   0.24725E+00   0.24724E+00 
 0.12300E+02   0.24790E+00   0.24780E+00   0.24780E+00   0.24779E+00 
 0.12320E+02   0.24845E+00   0.24835E+00   0.24835E+00   0.24834E+00 
 0.12340E+02   0.24901E+00   0.24890E+00   0.24891E+00   0.24890E+00 
 0.12360E+02   0.24956E+00   0.24945E+00   0.24946E+00   0.24945E+00 
 0.12380E+02   0.25011E+00   0.25001E+00   0.25001E+00   0.25000E+00 
 0.12400E+02   0.25066E+00   0.25056E+00   0.25056E+00   0.25055E+00 
 0.12420E+02   0.25121E+00   0.25111E+00   0.25112E+00   0.25110E+00 
 0.12440E+02   0.25176E+00   0.25166E+00   0.25167E+00   0.25166E+00 
 0.12460E+02   0.25231E+00   0.25221E+00   0.25222E+00   0.25221E+00 
 0.12480E+02   0.25286E+00   0.25277E+00   0.25277E+00   0.25276E+00 
 0.12500E+02   0.25341E+00   0.25332E+00   0.25332E+00   0.25331E+00 
 0.12520E+02   0.25397E+00   0.25387E+00   0.25387E+00   0.25386E+00 
 0.12540E+02   0.25452E+00   0.25442E+00   0.25443E+00   0.25442E+00 
 0.12560E+02   0.25507E+00   0.25497E+00   0.25498E+00   0.25497E+00 
 0.12580E+02   0.25562E+00   0.25552E+00   0.25553E+00   0.25552E+00 
 0.12600E+02   0.25617E+00   0.25607E+00   0.25608E+00   0.25607E+00 
 0.12620E+02   0.25672E+00   0.25663E+00   0.25663E+00   0.25662E+00 
 0.12640E+02   0.25727E+00   0.25718E+00   0.25718E+00   0.25717E+00 
 0.12660E+02   0.25782E+00   0.25773E+00   0.25773E+00   0.25772E+00 
 0.12680E+02   0.25837E+00   0.25828E+00   0.25828E+00   0.25827E+00 
 0.12700E+02   0.25892E+00   0.25883E+00   0.25884E+00   0.25883E+00 
 0.12720E+02   0.25947E+00   0.25938E+00   0.25939E+00   0.25938E+00 
 0.12740E+02   0.26002E+00   0.25993E+00   0.25994E+00   0.25993E+00 
 0.12760E+02   0.26057E+00   0.26048E+00   0.26049E+00   0.26048E+00 
 0.12780E+02   0.26112E+00   0.26103E+00   0.26104E+00   0.26103E+00 
 0.12800E+02   0.26167E+00   0.26158E+00   0.26159E+00   0.26158E+00 
 0.12820E+02   0.26221E+00   0.26213E+00   0.26214E+00   0.26213E+00 
 0.12840E+02   0.26276E+00   0.26268E+00   0.26268E+00   0.26267E+00 
 0.12860E+02   0.26330E+00   0.26322E+00   0.26323E+00   0.26322E+00 
 0.12880E+02   0.26384E+00   0.26376E+00   0.26377E+00   0.26376E+00 
 0.12900E+02   0.26438E+00   0.26430E+00   0.26431E+00   0.26430E+00 
 0.12920E+02   0.26491E+00   0.26484E+00   0.26484E+00   0.26483E+00 
 0.12940E+02   0.26545E+00   0.26537E+00   0.26538E+00   0.26537E+00 
 0.12960E+02   0.26598E+00   0.26590E+00   0.26591E+00   0.26590E+00 
 0.12980E+02   0.26650E+00   0.26643E+00   0.26643E+00   0.26642E+00 
 0.13000E+02   0.26703E+00   0.26695E+00   0.26696E+00   0.26695E+00 
 0.13020E+02   0.26755E+00   0.26748E+00   0.26748E+00   0.26747E+00 
 0.13040E+02   0.26807E+00   0.26800E+00   0.26800E+00   0.26799E+00 
 0.13060E+02   0.26859E+00   0.26852E+00   0.26852E+00   0.26851E+00 
 0.13080E+02   0.26910E+00   0.26903E+00   0.26904E+00   0.26903E+00 
 0.13100E+02   0.26961E+00   0.26955E+00   0.26955E+00   0.26954E+00 
 0.13120E+02   0.27012E+00   0.27006E+00   0.27006E+00   0.27005E+00 
 0.13140E+02   0.27063E+00   0.27056E+00   0.27057E+00   0.27056E+00 
 0.13160E+02   0.27114E+00   0.27107E+00   0.27107E+00   0.27106E+00 
 0.13180E+02   0.27164E+00   0.27157E+00   0.27158E+00   0.27157E+00 
 0.13200E+02   0.27214E+00   0.27207E+00   0.27208E+00   0.27207E+00 
 0.13220E+02   0.27263E+00   0.27257E+00   0.27257E+00   0.27256E+00 
 0.13240E+02   0.27313E+00   0.27306E+00   0.27307E+00   0.27306E+00 
