    Seven representative survival probability curves are given as
    function of energy. The survival probabilities have been averaged over 
    the boron neutrino production region in the Sun. The seven pairs of
    values of the parameters sin^2(2theta0 and Delta m^2 have been chozen
    from the small mixing angle region. The first pair provides the best
    fit to the data with a chi^2 of 0.31 for two degrees of freedom.


  DM2(eV^2)= 0.54120E-05    0.54120E-05    0.54120E-05    0.10000E-04    0.39810E-05    0.42990E-05   0.92610E-05 
 SIN2(2tet)= 0.79430E-02    0.95500E-02    0.66070E-02	  0.45710E-02    0.95500E-02    0.11480E-01   0.43650E-02 
                 
    Energy
 
     0.80   0.441103E-02   0.525161E-02   0.370840E-02 	 0.208680E+00   0.324043E-02   0.419868E-02   0.106490E+00
     0.82   0.413825E-02   0.493576E-02   0.347246E-02 	 0.169376E+00   0.317434E-02   0.408868E-02   0.853134E-01
     0.84   0.391037E-02   0.467077E-02   0.327645E-02 	 0.137493E+00   0.311615E-02   0.399222E-02   0.685951E-01
     0.86   0.371811E-02   0.444632E-02   0.311203E-02 	 0.111772E+00   0.306473E-02   0.390712E-02   0.553955E-01
     0.88   0.355441E-02   0.425453E-02   0.297288E-02 	 0.910740E-01   0.301920E-02   0.383163E-02   0.449636E-01
     0.90   0.341385E-02   0.408931E-02   0.285413E-02 	 0.744289E-01   0.297890E-02   0.376435E-02   0.367045E-01
     0.92   0.329223E-02   0.394591E-02   0.275215E-02 	 0.610442E-01   0.294326E-02   0.370410E-02   0.301500E-01
     0.94   0.318630E-02   0.382060E-02   0.266429E-02 	 0.502752E-01   0.291188E-02   0.364993E-02   0.249326E-01
     0.96   0.309346E-02   0.371041E-02   0.258848E-02 	 0.415998E-01   0.288442E-02   0.360106E-02   0.207649E-01
     0.98   0.301167E-02   0.361297E-02   0.252296E-02 	 0.345985E-01   0.286065E-02   0.355683E-02   0.174233E-01
     1.00   0.293928E-02   0.352634E-02   0.246638E-02 	 0.289354E-01   0.284047E-02   0.351668E-02   0.147334E-01
     1.02   0.287494E-02   0.344894E-02   0.241767E-02 	 0.243420E-01   0.282395E-02   0.348017E-02   0.125588E-01
     1.04   0.281759E-02   0.337950E-02   0.237619E-02 	 0.206048E-01   0.281121E-02   0.344689E-02   0.107930E-01
     1.06   0.276641E-02   0.331694E-02   0.234152E-02 	 0.175543E-01   0.280238E-02   0.341652E-02   0.935251E-02
     1.08   0.272070E-02   0.326040E-02   0.231335E-02 	 0.150557E-01   0.279702E-02   0.338881E-02   0.817161E-02
     1.10   0.267991E-02   0.320914E-02   0.229144E-02 	 0.130017E-01   0.279489E-02   0.336353E-02   0.719871E-02
     1.12   0.264357E-02   0.316254E-02   0.227546E-02 	 0.113065E-01   0.279576E-02   0.334053E-02   0.639308E-02
     1.14   0.261130E-02   0.312007E-02   0.226523E-02 	 0.990206E-02   0.279975E-02   0.331967E-02   0.572254E-02
     1.16   0.258279E-02   0.308130E-02   0.226066E-02 	 0.873357E-02   0.280825E-02   0.330078E-02   0.516190E-02
     1.18   0.255783E-02   0.304587E-02   0.226185E-02 	 0.775719E-02   0.282194E-02   0.328371E-02   0.469102E-02
     1.20   0.253634E-02   0.301346E-02   0.226925E-02 	 0.693780E-02   0.284155E-02   0.326833E-02   0.429371E-02
     1.22   0.251822E-02   0.298383E-02   0.228312E-02 	 0.624706E-02   0.286756E-02   0.325452E-02   0.395647E-02
     1.24   0.250344E-02   0.295676E-02   0.230379E-02 	 0.566231E-02   0.289888E-02   0.324239E-02   0.366893E-02
     1.26   0.249199E-02   0.293207E-02   0.233152E-02 	 0.516525E-02   0.293538E-02   0.323203E-02   0.342343E-02
     1.28   0.248384E-02   0.290961E-02   0.236638E-02 	 0.474100E-02   0.297703E-02   0.322354E-02   0.321329E-02
     1.30   0.247901E-02   0.288927E-02   0.240862E-02 	 0.437735E-02   0.302378E-02   0.321704E-02   0.303298E-02
     1.32   0.247755E-02   0.287093E-02   0.245850E-02 	 0.406409E-02   0.307659E-02   0.321255E-02   0.287798E-02
     1.34   0.247956E-02   0.285454E-02   0.251635E-02 	 0.379326E-02   0.313625E-02   0.320989E-02   0.274416E-02
     1.36   0.248544E-02   0.284010E-02   0.258357E-02 	 0.355852E-02   0.320312E-02   0.320906E-02   0.262839E-02
     1.38   0.249559E-02   0.282765E-02   0.266141E-02 	 0.335449E-02   0.327759E-02   0.321005E-02   0.252907E-02
     1.40   0.251035E-02   0.281721E-02   0.275081E-02 	 0.317663E-02   0.335994E-02   0.321286E-02   0.244471E-02
     1.42   0.253013E-02   0.280886E-02   0.285274E-02 	 0.302122E-02   0.344987E-02   0.321768E-02   0.237396E-02
     1.44   0.255517E-02   0.280264E-02   0.296772E-02 	 0.288493E-02   0.354743E-02   0.322472E-02   0.231559E-02
     1.46   0.258437E-02   0.279829E-02   0.309180E-02 	 0.276502E-02   0.365271E-02   0.323411E-02   0.226882E-02
     1.48   0.261735E-02   0.279571E-02   0.322346E-02 	 0.265963E-02   0.376579E-02   0.324596E-02   0.223281E-02
     1.50   0.265386E-02   0.279483E-02   0.336187E-02 	 0.256739E-02   0.388715E-02   0.326042E-02   0.220538E-02
     1.52   0.269360E-02   0.279556E-02   0.350608E-02 	 0.248702E-02   0.402134E-02   0.327752E-02   0.218533E-02
     1.54   0.273642E-02   0.279785E-02   0.365546E-02 	 0.241736E-02   0.417080E-02   0.329727E-02   0.217158E-02
     1.56   0.278484E-02   0.280238E-02   0.381717E-02 	 0.235750E-02   0.433715E-02   0.331974E-02   0.216468E-02
     1.58   0.284019E-02   0.280951E-02   0.399506E-02 	 0.230677E-02   0.452218E-02   0.334501E-02   0.216664E-02
     1.60   0.290318E-02   0.281948E-02   0.419055E-02 	 0.226437E-02   0.472781E-02   0.337315E-02   0.217779E-02
     1.62   0.297460E-02   0.283259E-02   0.440521E-02 	 0.222883E-02   0.494739E-02   0.340442E-02   0.219858E-02
     1.64   0.305529E-02   0.284917E-02   0.464071E-02 	 0.219936E-02   0.516774E-02   0.344016E-02   0.222928E-02
     1.66   0.314483E-02   0.286911E-02   0.489561E-02 	 0.217519E-02   0.538606E-02   0.348107E-02   0.226814E-02
     1.68   0.324087E-02   0.289186E-02   0.516286E-02 	 0.215627E-02   0.559947E-02   0.352774E-02   0.231470E-02
     1.70   0.334325E-02   0.291740E-02   0.544167E-02 	 0.214386E-02   0.580498E-02   0.358083E-02   0.236884E-02
     1.72   0.345184E-02   0.294574E-02   0.573147E-02 	 0.213812E-02   0.599950E-02   0.364105E-02   0.243043E-02
     1.74   0.356646E-02   0.297686E-02   0.603161E-02 	 0.213924E-02   0.619571E-02   0.370813E-02   0.249930E-02
     1.76   0.368687E-02   0.301073E-02   0.634140E-02 	 0.214749E-02   0.641172E-02   0.377760E-02   0.257620E-02
     1.78   0.381373E-02   0.304763E-02   0.666198E-02 	 0.216233E-02   0.664974E-02   0.384814E-02   0.266231E-02
     1.80   0.394868E-02   0.308813E-02   0.699732E-02 	 0.218289E-02   0.691215E-02   0.391884E-02   0.275797E-02
     1.82   0.409196E-02   0.313238E-02   0.734778E-02 	 0.220908E-02   0.720151E-02   0.398872E-02   0.286351E-02
     1.84   0.424381E-02   0.318051E-02   0.771353E-02 	 0.224081E-02   0.752061E-02   0.405672E-02   0.297927E-02
     1.86   0.440443E-02   0.323269E-02   0.809478E-02 	 0.227797E-02   0.786931E-02   0.412194E-02   0.310564E-02
     1.88   0.457405E-02   0.328906E-02   0.849167E-02 	 0.232046E-02   0.823802E-02   0.419061E-02   0.324229E-02
     1.90   0.475277E-02   0.334972E-02   0.890422E-02 	 0.236884E-02   0.862641E-02   0.426683E-02   0.338816E-02
     1.92   0.493986E-02   0.341448E-02   0.933052E-02 	 0.242382E-02   0.903521E-02   0.435144E-02   0.354318E-02
     1.94   0.513509E-02   0.348334E-02   0.976977E-02 	 0.248560E-02   0.946517E-02   0.444543E-02   0.370731E-02
     1.96   0.533843E-02   0.355634E-02   0.102217E-01 	 0.255442E-02   0.991704E-02   0.454983E-02   0.388048E-02
     1.98   0.554984E-02   0.363353E-02   0.106860E-01 	 0.263050E-02   0.103916E-01   0.466582E-02   0.406257E-02
     2.00   0.576924E-02   0.371493E-02   0.111624E-01 	 0.271410E-02   0.108810E-01   0.479432E-02   0.425355E-02
     2.02   0.599654E-02   0.380057E-02   0.116505E-01 	 0.280536E-02   0.113653E-01   0.493240E-02   0.445497E-02
     2.04   0.623257E-02   0.389096E-02   0.121513E-01 	 0.290352E-02   0.118408E-01   0.507932E-02   0.466765E-02
     2.06   0.648332E-02   0.398856E-02   0.126771E-01 	 0.300841E-02   0.123043E-01   0.523552E-02   0.489183E-02
     2.08   0.675077E-02   0.409423E-02   0.132318E-01 	 0.312002E-02   0.127529E-01   0.540141E-02   0.512774E-02
     2.10   0.703600E-02   0.420858E-02   0.138171E-01 	 0.323833E-02   0.131832E-01   0.557745E-02   0.537562E-02
     2.12   0.734018E-02   0.433230E-02   0.144346E-01 	 0.336330E-02   0.135921E-01   0.576408E-02   0.563570E-02
     2.14   0.766448E-02   0.446608E-02   0.150859E-01 	 0.349489E-02   0.139802E-01   0.596178E-02   0.590818E-02
     2.16   0.801016E-02   0.461070E-02   0.157727E-01 	 0.363310E-02   0.143908E-01   0.616593E-02   0.619239E-02
     2.18   0.837852E-02   0.476688E-02   0.164968E-01 	 0.377907E-02   0.148394E-01   0.636999E-02   0.648799E-02
     2.20   0.875708E-02   0.492857E-02   0.172370E-01 	 0.393331E-02   0.153289E-01   0.657265E-02   0.679498E-02
     2.22   0.913248E-02   0.509075E-02   0.179642E-01 	 0.409601E-02   0.158626E-01   0.677258E-02   0.711336E-02
     2.24   0.950261E-02   0.525237E-02   0.186749E-01 	 0.426736E-02   0.164440E-01   0.696840E-02   0.744313E-02
