energy_GeV,cos_zenith,azimuth_deg,particle,flux
50.119,0.75,165.0,numu,0.0022612
50.119,0.75,165.0,numubar,0.001636
50.119,0.75,165.0,nue,0.00019951
50.119,0.75,165.0,nuebar,0.00015207
56.234,0.75,165.0,numu,0.0016059
56.234,0.75,165.0,numubar,0.0011464
56.234,0.75,165.0,nue,0.00012949
56.234,0.75,165.0,nuebar,0.00010235
63.096,0.75,165.0,numu,0.0011319
63.096,0.75,165.0,numubar,0.00080392
63.096,0.75,165.0,nue,8.3735e-05
63.096,0.75,165.0,nuebar,7.0875e-05
70.795,0.75,165.0,numu,0.00079662
70.795,0.75,165.0,numubar,0.00055933
70.795,0.75,165.0,nue,5.6805e-05
70.795,0.75,165.0,nuebar,4.9058e-05
79.433,0.75,165.0,numu,0.00056183
79.433,0.75,165.0,numubar,0.00038793
79.433,0.75,165.0,nue,3.9348e-05
79.433,0.75,165.0,nuebar,3.4889e-05
89.125,0.75,165.0,numu,0.00038781
89.125,0.75,165.0,numubar,0.00026982
89.125,0.75,165.0,nue,2.6006e-05
89.125,0.75,165.0,nuebar,2.2405e-05
100.0,0.75,165.0,numu,0.00027324
100.0,0.75,165.0,numubar,0.00019017
100.0,0.75,165.0,nue,1.7498e-05
100.0,0.75,165.0,nuebar,1.4338e-05
112.2,0.75,165.0,numu,0.00019194
112.2,0.75,165.0,numubar,0.000132
112.2,0.75,165.0,nue,1.187e-05
112.2,0.75,165.0,nuebar,9.5902e-06
125.89,0.75,165.0,numu,0.00013401
125.89,0.75,165.0,numubar,9.1972e-05
125.89,0.75,165.0,nue,8.1175e-06
125.89,0.75,165.0,nuebar,6.4568e-06
141.25,0.75,165.0,numu,9.3903e-05
141.25,0.75,165.0,numubar,6.4089e-05
141.25,0.75,165.0,nue,5.3976e-06
141.25,0.75,165.0,nuebar,4.3729e-06
158.49,0.75,165.0,numu,6.5813e-05
158.49,0.75,165.0,numubar,4.4118e-05
158.49,0.75,165.0,nue,3.6475e-06
158.49,0.75,165.0,nuebar,3.0497e-06
177.83,0.75,165.0,numu,4.5586e-05
177.83,0.75,165.0,numubar,3.0466e-05
177.83,0.75,165.0,nue,2.3434e-06
177.83,0.75,165.0,nuebar,2.1386e-06
199.53,0.75,165.0,numu,3.2226e-05
199.53,0.75,165.0,numubar,2.1353e-05
199.53,0.75,165.0,nue,1.545e-06
199.53,0.75,165.0,nuebar,1.3789e-06
223.87,0.75,165.0,numu,2.2557e-05
223.87,0.75,165.0,numubar,1.4603e-05
223.87,0.75,165.0,nue,1.109e-06
223.87,0.75,165.0,nuebar,9.3136e-07
251.19,0.75,165.0,numu,1.5596e-05
251.19,0.75,165.0,numubar,9.9585e-06
251.19,0.75,165.0,nue,7.5922e-07
251.19,0.75,165.0,nuebar,6.3789e-07
281.84,0.75,165.0,numu,1.0767e-05
281.84,0.75,165.0,numubar,7.0259e-06
281.84,0.75,165.0,nue,5.5004e-07
281.84,0.75,165.0,nuebar,4.0114e-07
316.23,0.75,165.0,numu,7.5488e-06
316.23,0.75,165.0,numubar,4.8859e-06
316.23,0.75,165.0,nue,3.5005e-07
316.23,0.75,165.0,nuebar,2.8584e-07
354.81,0.75,165.0,numu,5.2359e-06
354.81,0.75,165.0,numubar,3.3848e-06
354.81,0.75,165.0,nue,2.3537e-07
354.81,0.75,165.0,nuebar,1.9391e-07
398.11,0.75,165.0,numu,3.6705e-06
398.11,0.75,165.0,numubar,2.3261e-06
398.11,0.75,165.0,nue,1.5756e-07
398.11,0.75,165.0,nuebar,1.2471e-07
446.68,0.75,165.0,numu,2.5327e-06
446.68,0.75,165.0,numubar,1.6021e-06
446.68,0.75,165.0,nue,1.0767e-07
446.68,0.75,165.0,nuebar,8.3651e-08
501.19,0.75,165.0,numu,1.7386e-06
501.19,0.75,165.0,numubar,1.1109e-06
501.19,0.75,165.0,nue,7.2983e-08
501.19,0.75,165.0,nuebar,5.5464e-08
562.34,0.75,165.0,numu,1.2228e-06
562.34,0.75,165.0,numubar,7.6716e-07
562.34,0.75,165.0,nue,4.7417e-08
562.34,0.75,165.0,nuebar,3.8472e-08
630.96,0.75,165.0,numu,8.3414e-07
630.96,0.75,165.0,numubar,5.2296e-07
630.96,0.75,165.0,nue,3.1596e-08
630.96,0.75,165.0,nuebar,2.6252e-08
707.95,0.75,165.0,numu,5.7335e-07
707.95,0.75,165.0,numubar,3.5866e-07
707.95,0.75,165.0,nue,2.2256e-08
707.95,0.75,165.0,nuebar,1.7576e-08
794.33,0.75,165.0,numu,3.9833e-07
794.33,0.75,165.0,numubar,2.4689e-07
794.33,0.75,165.0,nue,1.4785e-08
794.33,0.75,165.0,nuebar,1.1389e-08
891.25,0.75,165.0,numu,2.7376e-07
891.25,0.75,165.0,numubar,1.6465e-07
891.25,0.75,165.0,nue,9.5952e-09
891.25,0.75,165.0,nuebar,8.0034e-09
1000.0,0.75,165.0,numu,1.8766e-07
1000.0,0.75,165.0,numubar,1.1357e-07
1000.0,0.75,165.0,nue,6.1293e-09
1000.0,0.75,165.0,nuebar,4.6496e-09
1122.0,0.75,165.0,numu,1.2807e-07
1122.0,0.75,165.0,numubar,7.6767e-08
1122.0,0.75,165.0,nue,4.4669e-09
1122.0,0.75,165.0,nuebar,2.9362e-09
1258.9,0.75,165.0,numu,8.6818e-08
1258.9,0.75,165.0,numubar,5.1657e-08
1258.9,0.75,165.0,nue,3.2301e-09
1258.9,0.75,165.0,nuebar,2.0683e-09
1412.5,0.75,165.0,numu,5.8467e-08
1412.5,0.75,165.0,numubar,3.4705e-08
1412.5,0.75,165.0,nue,2.0186e-09
1412.5,0.75,165.0,nuebar,1.3836e-09
1584.9,0.75,165.0,numu,3.9246e-08
1584.9,0.75,165.0,numubar,2.3064e-08
1584.9,0.75,165.0,nue,1.4199e-09
1584.9,0.75,165.0,nuebar,8.77e-10
1778.3,0.75,165.0,numu,2.6419e-08
1778.3,0.75,165.0,numubar,1.5623e-08
1778.3,0.75,165.0,nue,1.0243e-09
1778.3,0.75,165.0,nuebar,5.9953e-10
1995.3,0.75,165.0,numu,1.7924e-08
1995.3,0.75,165.0,numubar,1.0833e-08
1995.3,0.75,165.0,nue,5.4957e-10
1995.3,0.75,165.0,nuebar,3.8174e-10
2238.7,0.75,165.0,numu,1.2155e-08
2238.7,0.75,165.0,numubar,7.3662e-09
2238.7,0.75,165.0,nue,3.4219e-10
2238.7,0.75,165.0,nuebar,2.731e-10
2511.9,0.75,165.0,numu,8.1641e-09
2511.9,0.75,165.0,numubar,4.8566e-09
2511.9,0.75,165.0,nue,2.7387e-10
2511.9,0.75,165.0,nuebar,2.0268e-10
2818.4,0.75,165.0,numu,5.417e-09
2818.4,0.75,165.0,numubar,3.1147e-09
2818.4,0.75,165.0,nue,2.1519e-10
2818.4,0.75,165.0,nuebar,1.2928e-10
3162.3,0.75,165.0,numu,3.7697e-09
3162.3,0.75,165.0,numubar,2.1482e-09
3162.3,0.75,165.0,nue,1.136e-10
3162.3,0.75,165.0,nuebar,8.6332e-11
3548.1,0.75,165.0,numu,2.4516e-09
3548.1,0.75,165.0,numubar,1.3587e-09
3548.1,0.75,165.0,nue,7.5146e-11
3548.1,0.75,165.0,nuebar,5.3627e-11
3981.1,0.75,165.0,numu,1.6309e-09
3981.1,0.75,165.0,numubar,9.0755e-10
3981.1,0.75,165.0,nue,5.0532e-11
3981.1,0.75,165.0,nuebar,3.4241e-11
4466.8,0.75,165.0,numu,1.0809e-09
4466.8,0.75,165.0,numubar,6.1191e-10
4466.8,0.75,165.0,nue,3.2045e-11
4466.8,0.75,165.0,nuebar,2.3195e-11
5011.9,0.75,165.0,numu,7.0639e-10
5011.9,0.75,165.0,numubar,3.8561e-10
5011.9,0.75,165.0,nue,2.163e-11
5011.9,0.75,165.0,nuebar,1.5242e-11
5623.4,0.75,165.0,numu,4.6298e-10
5623.4,0.75,165.0,numubar,2.5233e-10
5623.4,0.75,165.0,nue,1.579e-11
5623.4,0.75,165.0,nuebar,8.8077e-12
6309.6,0.75,165.0,numu,3.1494e-10
6309.6,0.75,165.0,numubar,1.7489e-10
6309.6,0.75,165.0,nue,9.693e-12
6309.6,0.75,165.0,nuebar,6.2068e-12
7079.5,0.75,165.0,numu,2.0988e-10
7079.5,0.75,165.0,numubar,1.1003e-10
7079.5,0.75,165.0,nue,6.161e-12
7079.5,0.75,165.0,nuebar,4.006e-12
7943.3,0.75,165.0,numu,1.3733e-10
7943.3,0.75,165.0,numubar,7.1254e-11
7943.3,0.75,165.0,nue,4.2332e-12
7943.3,0.75,165.0,nuebar,2.8712e-12
8912.5,0.75,165.0,numu,8.815e-11
8912.5,0.75,165.0,numubar,4.747e-11
8912.5,0.75,165.0,nue,2.9245e-12
8912.5,0.75,165.0,nuebar,1.8587e-12
10000.0,0.75,165.0,numu,5.8401e-11
10000.0,0.75,165.0,numubar,3.0605e-11
10000.0,0.75,165.0,nue,1.8152e-12
10000.0,0.75,165.0,nuebar,1.1773e-12
0.1,0.75,195.0,numu,8767.3
0.1,0.75,195.0,numubar,8914.6
0.1,0.75,195.0,nue,4311.2
0.1,0.75,195.0,nuebar,4165.0
0.1122,0.75,195.0,numu,7895.2
0.1122,0.75,195.0,numubar,8011.5
0.1122,0.75,195.0,nue,3887.1
0.1122,0.75,195.0,nuebar,3725.8
0.12589,0.75,195.0,numu,7036.9
0.12589,0.75,195.0,numubar,7129.5
0.12589,0.75,195.0,nue,3456.8
0.12589,0.75,195.0,nuebar,3279.1
0.14125,0.75,195.0,numu,6243.8
0.14125,0.75,195.0,numubar,6281.3
0.14125,0.75,195.0,nue,3058.1
0.14125,0.75,195.0,nuebar,2857.4
0.15849,0.75,195.0,numu,5490.9
0.15849,0.75,195.0,numubar,5491.3
0.15849,0.75,195.0,nue,2673.2
0.15849,0.75,195.0,nuebar,2487.6
0.17783,0.75,195.0,numu,4762.3
0.17783,0.75,195.0,numubar,4744.1
0.17783,0.75,195.0,nue,2305.5
0.17783,0.75,195.0,nuebar,2131.7
0.19953,0.75,195.0,numu,4082.9
0.19953,0.75,195.0,numubar,4061.5
0.19953,0.75,195.0,nue,1981.4
0.19953,0.75,195.0,nuebar,1806.9
0.22387,0.75,195.0,numu,3442.3
0.22387,0.75,195.0,numubar,3427.3
0.22387,0.75,195.0,nue,1688.0
0.22387,0.75,195.0,nuebar,1511.3
0.25119,0.75,195.0,numu,2858.5
0.25119,0.75,195.0,numubar,2848.3
0.25119,0.75,195.0,nue,1419.6
0.25119,0.75,195.0,nuebar,1251.0
0.28184,0.75,195.0,numu,2370.1
0.28184,0.75,195.0,numubar,2351.8
0.28184,0.75,195.0,nue,1173.7
0.28184,0.75,195.0,nuebar,1034.7
0.31623,0.75,195.0,numu,1943.0
0.31623,0.75,195.0,numubar,1920.6
0.31623,0.75,195.0,nue,963.81
0.31623,0.75,195.0,nuebar,841.84
0.35481,0.75,195.0,numu,1564.9
0.35481,0.75,195.0,numubar,1550.0
0.35481,0.75,195.0,nue,787.64
0.35481,0.75,195.0,nuebar,675.13
0.39811,0.75,195.0,numu,1250.9
0.39811,0.75,195.0,numubar,1240.9
0.39811,0.75,195.0,nue,632.59
0.39811,0.75,195.0,nuebar,536.15
0.44668,0.75,195.0,numu,991.22
0.44668,0.75,195.0,numubar,975.18
0.44668,0.75,195.0,nue,501.71
0.44668,0.75,195.0,nuebar,418.62
0.50119,0.75,195.0,numu,780.21
0.50119,0.75,195.0,numubar,758.93
0.50119,0.75,195.0,nue,394.2
0.50119,0.75,195.0,nuebar,325.12
0.56234,0.75,195.0,numu,605.51
0.56234,0.75,195.0,numubar,588.33
0.56234,0.75,195.0,nue,308.18
0.56234,0.75,195.0,nuebar,251.49
0.63096,0.75,195.0,numu,466.27
0.63096,0.75,195.0,numubar,451.93
0.63096,0.75,195.0,nue,236.64
0.63096,0.75,195.0,nuebar,193.46
0.70795,0.75,195.0,numu,357.54
0.70795,0.75,195.0,numubar,346.1
0.70795,0.75,195.0,nue,179.31
0.70795,0.75,195.0,nuebar,147.38
0.79433,0.75,195.0,numu,271.74
0.79433,0.75,195.0,numubar,261.75
0.79433,0.75,195.0,nue,136.47
0.79433,0.75,195.0,nuebar,108.91
0.89125,0.75,195.0,numu,206.04
0.89125,0.75,195.0,numubar,195.56
0.89125,0.75,195.0,nue,102.64
0.89125,0.75,195.0,nuebar,80.994
1.0,0.75,195.0,numu,154.78
1.0,0.75,195.0,numubar,146.19
1.0,0.75,195.0,nue,75.832
1.0,0.75,195.0,nuebar,59.979
1.122,0.75,195.0,numu,116.1
1.122,0.75,195.0,numubar,109.18
1.122,0.75,195.0,nue,55.86
1.122,0.75,195.0,nuebar,43.52
1.2589,0.75,195.0,numu,86.64
1.2589,0.75,195.0,numubar,80.889
1.2589,0.75,195.0,nue,40.84
1.2589,0.75,195.0,nuebar,31.722
1.4125,0.75,195.0,numu,64.918
1.4125,0.75,195.0,numubar,59.59
1.4125,0.75,195.0,nue,29.622
1.4125,0.75,195.0,nuebar,23.009
1.5849,0.75,195.0,numu,48.38
1.5849,0.75,195.0,numubar,43.965
1.5849,0.75,195.0,nue,21.45
1.5849,0.75,195.0,nuebar,16.498
1.7783,0.75,195.0,numu,35.67
1.7783,0.75,195.0,numubar,32.095
1.7783,0.75,195.0,nue,15.421
1.7783,0.75,195.0,nuebar,11.919
1.9953,0.75,195.0,numu,26.197
1.9953,0.75,195.0,numubar,23.236
1.9953,0.75,195.0,nue,10.97
1.9953,0.75,195.0,nuebar,8.5637
2.2387,0.75,195.0,numu,19.21
2.2387,0.75,195.0,numubar,16.854
2.2387,0.75,195.0,nue,7.865
2.2387,0.75,195.0,nuebar,5.9883
2.5119,0.75,195.0,numu,14.056
2.5119,0.75,195.0,numubar,12.206
2.5119,0.75,195.0,nue,5.5213
2.5119,0.75,195.0,nuebar,4.1835
2.8184,0.75,195.0,numu,10.218
2.8184,0.75,195.0,numubar,8.744
2.8184,0.75,195.0,nue,3.8367
2.8184,0.75,195.0,nuebar,2.9361
3.1623,0.75,195.0,numu,7.4488
3.1623,0.75,195.0,numubar,6.3182
3.1623,0.75,195.0,nue,2.6965
3.1623,0.75,195.0,nuebar,2.0727
3.5481,0.75,195.0,numu,5.4058
3.5481,0.75,195.0,numubar,4.5298
3.5481,0.75,195.0,nue,1.8723
3.5481,0.75,195.0,nuebar,1.4088
3.9811,0.75,195.0,numu,3.8883
3.9811,0.75,195.0,numubar,3.2259
3.9811,0.75,195.0,nue,1.2957
3.9811,0.75,195.0,nuebar,0.9597
4.4668,0.75,195.0,numu,2.8031
4.4668,0.75,195.0,numubar,2.3107
4.4668,0.75,195.0,nue,0.88155
4.4668,0.75,195.0,nuebar,0.66149
5.0119,0.75,195.0,numu,2.0242
5.0119,0.75,195.0,numubar,1.6505
5.0119,0.75,195.0,nue,0.60131
5.0119,0.75,195.0,nuebar,0.45484
5.6234,0.75,195.0,numu,1.4588
5.6234,0.75,195.0,numubar,1.176
5.6234,0.75,195.0,nue,0.4114
5.6234,0.75,195.0,nuebar,0.31348
6.3096,0.75,195.0,numu,1.0432
6.3096,0.75,195.0,numubar,0.83846
6.3096,0.75,195.0,nue,0.27915
6.3096,0.75,195.0,nuebar,0.21687
7.0795,0.75,195.0,numu,0.74918
7.0795,0.75,195.0,numubar,0.59564
7.0795,0.75,195.0,nue,0.19199
7.0795,0.75,195.0,nuebar,0.1463
7.9433,0.75,195.0,numu,0.54237
7.9433,0.75,195.0,numubar,0.42251
7.9433,0.75,195.0,nue,0.1289
7.9433,0.75,195.0,nuebar,0.098464
8.9125,0.75,195.0,numu,0.38375
8.9125,0.75,195.0,numubar,0.29944
8.9125,0.75,195.0,nue,0.086382
8.9125,0.75,195.0,nuebar,0.06585
10.0,0.75,195.0,numu,0.27155
10.0,0.75,195.0,numubar,0.21309
10.0,0.75,195.0,nue,0.057927
10.0,0.75,195.0,nuebar,0.043175
11.22,0.75,195.0,numu,0.1939
11.22,0.75,195.0,numubar,0.15052
11.22,0.75,195.0,nue,0.038285
11.22,0.75,195.0,nuebar,0.029047
12.589,0.75,195.0,numu,0.139
12.589,0.75,195.0,numubar,0.10687
12.589,0.75,195.0,nue,0.025469
12.589,0.75,195.0,nuebar,0.01978
14.125,0.75,195.0,numu,0.09912
14.125,0.75,195.0,numubar,0.075488
14.125,0.75,195.0,nue,0.016985
14.125,0.75,195.0,nuebar,0.01293
15.849,0.75,195.0,numu,0.070544
15.849,0.75,195.0,numubar,0.053513
15.849,0.75,195.0,nue,0.011545
15.849,0.75,195.0,nuebar,0.0085441
17.783,0.75,195.0,numu,0.05017
17.783,0.75,195.0,numubar,0.037898
17.783,0.75,195.0,nue,0.0078427
17.783,0.75,195.0,nuebar,0.0056983
19.953,0.75,195.0,numu,0.035836
19.953,0.75,195.0,numubar,0.026767
19.953,0.75,195.0,nue,0.0051487
19.953,0.75,195.0,nuebar,0.0038016
22.387,0.75,195.0,numu,0.025579
22.387,0.75,195.0,numubar,0.01904
22.387,0.75,195.0,nue,0.0033588
22.387,0.75,195.0,nuebar,0.0025526
25.119,0.75,195.0,numu,0.018177
25.119,0.75,195.0,numubar,0.013542
25.119,0.75,195.0,nue,0.0022076
25.119,0.75,195.0,nuebar,0.00173
28.184,0.75,195.0,numu,0.012814
28.184,0.75,195.0,numubar,0.0094524
28.184,0.75,195.0,nue,0.0014518
28.184,0.75,195.0,nuebar,0.0011811
31.623,0.75,195.0,numu,0.009114
31.623,0.75,195.0,numubar,0.0066448
31.623,0.75,195.0,nue,0.00098842
31.623,0.75,195.0,nuebar,0.00076284
35.481,0.75,195.0,numu,0.0064459
35.481,0.75,195.0,numubar,0.0047094
35.481,0.75,195.0,nue,0.00066
35.481,0.75,195.0,nuebar,0.00051311
39.811,0.75,195.0,numu,0.0045714
39.811,0.75,195.0,numubar,0.0033273
39.811,0.75,195.0,nue,0.00042825
39.811,0.75,195.0,nuebar,0.00034451
44.668,0.75,195.0,numu,0.0032374
44.668,0.75,195.0,numubar,0.002328
44.668,0.75,195.0,nue,0.00027704
44.668,0.75,195.0,nuebar,0.00022668
50.119,0.75,195.0,numu,0.0022792
50.119,0.75,195.0,numubar,0.00163
50.119,0.75,195.0,nue,0.00018847
50.119,0.75,195.0,nuebar,0.00015339
56.234,0.75,195.0,numu,0.001607
56.234,0.75,195.0,numubar,0.0011419
56.234,0.75,195.0,nue,0.00013268
56.234,0.75,195.0,nuebar,0.00010205
63.096,0.75,195.0,numu,0.0011333
63.096,0.75,195.0,numubar,0.00079448
63.096,0.75,195.0,nue,8.8279e-05
63.096,0.75,195.0,nuebar,7.0054e-05
70.795,0.75,195.0,numu,0.00079935
70.795,0.75,195.0,numubar,0.00055671
70.795,0.75,195.0,nue,5.6013e-05
70.795,0.75,195.0,nuebar,4.891e-05
79.433,0.75,195.0,numu,0.00056507
79.433,0.75,195.0,numubar,0.00039414
79.433,0.75,195.0,nue,3.7235e-05
79.433,0.75,195.0,nuebar,3.2112e-05
89.125,0.75,195.0,numu,0.00039284
89.125,0.75,195.0,numubar,0.00027566
89.125,0.75,195.0,nue,2.696e-05
89.125,0.75,195.0,nuebar,2.0752e-05
100.0,0.75,195.0,numu,0.0002749
100.0,0.75,195.0,numubar,0.00019023
100.0,0.75,195.0,nue,1.7973e-05
100.0,0.75,195.0,nuebar,1.39e-05
112.2,0.75,195.0,numu,0.0001923
112.2,0.75,195.0,numubar,0.00013298
112.2,0.75,195.0,nue,1.1942e-05
112.2,0.75,195.0,nuebar,9.7841e-06
125.89,0.75,195.0,numu,0.0001339
125.89,0.75,195.0,numubar,9.225e-05
125.89,0.75,195.0,nue,7.8566e-06
125.89,0.75,195.0,nuebar,6.621e-06
141.25,0.75,195.0,numu,9.3848e-05
141.25,0.75,195.0,numubar,6.3856e-05
141.25,0.75,195.0,nue,5.2499e-06
141.25,0.75,195.0,nuebar,4.4358e-06
158.49,0.75,195.0,numu,6.6246e-05
158.49,0.75,195.0,numubar,4.4836e-05
158.49,0.75,195.0,nue,3.3695e-06
158.49,0.75,195.0,nuebar,2.951e-06
177.83,0.75,195.0,numu,4.6304e-05
177.83,0.75,195.0,numubar,3.0943e-05
177.83,0.75,195.0,nue,2.3338e-06
177.83,0.75,195.0,nuebar,2.0484e-06
199.53,0.75,195.0,numu,3.2285e-05
199.53,0.75,195.0,numubar,2.1022e-05
199.53,0.75,195.0,nue,1.6937e-06
199.53,0.75,195.0,nuebar,1.4744e-06
223.87,0.75,195.0,numu,2.2439e-05
223.87,0.75,195.0,numubar,1.4674e-05
223.87,0.75,195.0,nue,1.1702e-06
223.87,0.75,195.0,nuebar,9.875e-07
251.19,0.75,195.0,numu,1.5851e-05
251.19,0.75,195.0,numubar,1.0466e-05
251.19,0.75,195.0,nue,7.5382e-07
251.19,0.75,195.0,nuebar,5.7017e-07
281.84,0.75,195.0,numu,1.1109e-05
281.84,0.75,195.0,numubar,7.1507e-06
281.84,0.75,195.0,nue,4.8448e-07
281.84,0.75,195.0,nuebar,3.7762e-07
316.23,0.75,195.0,numu,7.567e-06
316.23,0.75,195.0,numubar,4.9573e-06
316.23,0.75,195.0,nue,3.3419e-07
316.23,0.75,195.0,nuebar,2.8901e-07
354.81,0.75,195.0,numu,5.244e-06
354.81,0.75,195.0,numubar,3.4045e-06
354.81,0.75,195.0,nue,2.2401e-07
354.81,0.75,195.0,nuebar,1.9376e-07
398.11,0.75,195.0,numu,3.6322e-06
398.11,0.75,195.0,numubar,2.3365e-06
398.11,0.75,195.0,nue,1.5412e-07
398.11,0.75,195.0,nuebar,1.3153e-07
446.68,0.75,195.0,numu,2.5377e-06
446.68,0.75,195.0,numubar,1.6057e-06
446.68,0.75,195.0,nue,1.0305e-07
446.68,0.75,195.0,nuebar,8.517e-08
501.19,0.75,195.0,numu,1.7522e-06
501.19,0.75,195.0,numubar,1.109e-06
501.19,0.75,195.0,nue,6.8301e-08
501.19,0.75,195.0,nuebar,5.6184e-08
562.34,0.75,195.0,numu,1.2003e-06
562.34,0.75,195.0,numubar,7.65e-07
562.34,0.75,195.0,nue,4.7701e-08
562.34,0.75,195.0,nuebar,3.8585e-08
630.96,0.75,195.0,numu,8.3161e-07
630.96,0.75,195.0,numubar,5.1892e-07
630.96,0.75,195.0,nue,3.1518e-08
630.96,0.75,195.0,nuebar,2.5099e-08
707.95,0.75,195.0,numu,5.7544e-07
707.95,0.75,195.0,numubar,3.5101e-07
707.95,0.75,195.0,nue,2.2048e-08
707.95,0.75,195.0,nuebar,1.7226e-08
794.33,0.75,195.0,numu,3.8814e-07
794.33,0.75,195.0,numubar,2.4177e-07
794.33,0.75,195.0,nue,1.4318e-08
794.33,0.75,195.0,nuebar,1.1458e-08
891.25,0.75,195.0,numu,2.7329e-07
891.25,0.75,195.0,numubar,1.6535e-07
891.25,0.75,195.0,nue,9.4725e-09
891.25,0.75,195.0,nuebar,7.1928e-09
1000.0,0.75,195.0,numu,1.8778e-07
1000.0,0.75,195.0,numubar,1.1264e-07
1000.0,0.75,195.0,nue,6.5461e-09
1000.0,0.75,195.0,nuebar,5.3152e-09
1122.0,0.75,195.0,numu,1.2609e-07
1122.0,0.75,195.0,numubar,7.7581e-08
1122.0,0.75,195.0,nue,4.3305e-09
1122.0,0.75,195.0,nuebar,3.5595e-09
1258.9,0.75,195.0,numu,8.4394e-08
1258.9,0.75,195.0,numubar,5.2705e-08
1258.9,0.75,195.0,nue,3.0283e-09
1258.9,0.75,195.0,nuebar,2.1845e-09
1412.5,0.75,195.0,numu,5.8294e-08
1412.5,0.75,195.0,numubar,3.5109e-08
1412.5,0.75,195.0,nue,1.9734e-09
1412.5,0.75,195.0,nuebar,1.3376e-09
1584.9,0.75,195.0,numu,4.0422e-08
1584.9,0.75,195.0,numubar,2.3466e-08
1584.9,0.75,195.0,nue,1.2857e-09
1584.9,0.75,195.0,nuebar,9.4602e-10
1778.3,0.75,195.0,numu,2.675e-08
1778.3,0.75,195.0,numubar,1.5773e-08
1778.3,0.75,195.0,nue,8.2454e-10
1778.3,0.75,195.0,nuebar,6.8045e-10
1995.3,0.75,195.0,numu,1.7954e-08
1995.3,0.75,195.0,numubar,1.0682e-08
1995.3,0.75,195.0,nue,6.2164e-10
1995.3,0.75,195.0,nuebar,4.6077e-10
2238.7,0.75,195.0,numu,1.2131e-08
2238.7,0.75,195.0,numubar,7.163e-09
2238.7,0.75,195.0,nue,4.1366e-10
2238.7,0.75,195.0,nuebar,2.9996e-10
2511.9,0.75,195.0,numu,8.1723e-09
2511.9,0.75,195.0,numubar,4.6819e-09
2511.9,0.75,195.0,nue,2.6864e-10
2511.9,0.75,195.0,nuebar,1.9719e-10
2818.4,0.75,195.0,numu,5.4757e-09
2818.4,0.75,195.0,numubar,3.084e-09
2818.4,0.75,195.0,nue,1.6523e-10
2818.4,0.75,195.0,nuebar,1.2375e-10
3162.3,0.75,195.0,numu,3.7685e-09
3162.3,0.75,195.0,numubar,2.1942e-09
3162.3,0.75,195.0,nue,1.1467e-10
3162.3,0.75,195.0,nuebar,8.3872e-11
3548.1,0.75,195.0,numu,2.3865e-09
3548.1,0.75,195.0,numubar,1.4282e-09
3548.1,0.75,195.0,nue,6.9226e-11
3548.1,0.75,195.0,nuebar,5.8726e-11
3981.1,0.75,195.0,numu,1.5657e-09
3981.1,0.75,195.0,numubar,9.1874e-10
3981.1,0.75,195.0,nue,4.6981e-11
3981.1,0.75,195.0,nuebar,3.6127e-11
4466.8,0.75,195.0,numu,1.0565e-09
4466.8,0.75,195.0,numubar,6.0067e-10
4466.8,0.75,195.0,nue,3.4964e-11
4466.8,0.75,195.0,nuebar,2.3381e-11
5011.9,0.75,195.0,numu,7.0195e-10
5011.9,0.75,195.0,numubar,4.0578e-10
5011.9,0.75,195.0,nue,2.0673e-11
5011.9,0.75,195.0,nuebar,1.2637e-11
5623.4,0.75,195.0,numu,4.8502e-10
5623.4,0.75,195.0,numubar,2.7467e-10
5623.4,0.75,195.0,nue,1.3893e-11
5623.4,0.75,195.0,nuebar,8.9159e-12
6309.6,0.75,195.0,numu,3.1429e-10
6309.6,0.75,195.0,numubar,1.7589e-10
6309.6,0.75,195.0,nue,8.9427e-12
6309.6,0.75,195.0,nuebar,5.7871e-12
7079.5,0.75,195.0,numu,1.9853e-10
7079.5,0.75,195.0,numubar,1.1718e-10
7079.5,0.75,195.0,nue,5.6391e-12
7079.5,0.75,195.0,nuebar,3.5484e-12
7943.3,0.75,195.0,numu,1.3191e-10
7943.3,0.75,195.0,numubar,7.9384e-11
7943.3,0.75,195.0,nue,4.018e-12
7943.3,0.75,195.0,nuebar,2.7491e-12
8912.5,0.75,195.0,numu,9.0803e-11
8912.5,0.75,195.0,numubar,4.9907e-11
8912.5,0.75,195.0,nue,2.9251e-12
8912.5,0.75,195.0,nuebar,1.859e-12
10000.0,0.75,195.0,numu,5.9052e-11
10000.0,0.75,195.0,numubar,3.0645e-11
10000.0,0.75,195.0,nue,2.2184e-12
10000.0,0.75,195.0,nuebar,9.3648e-13
0.1,0.75,225.0,numu,8944.6
0.1,0.75,225.0,numubar,9195.8
0.1,0.75,225.0,nue,4479.2
0.1,0.75,225.0,nuebar,4225.8
0.1122,0.75,225.0,numu,8076.8
0.1122,0.75,225.0,numubar,8271.7
0.1122,0.75,225.0,nue,4049.6
0.1122,0.75,225.0,nuebar,3749.9
0.12589,0.75,225.0,numu,7227.4
0.12589,0.75,225.0,numubar,7392.9
0.12589,0.75,225.0,nue,3606.5
0.12589,0.75,225.0,nuebar,3324.6
0.14125,0.75,225.0,numu,6429.6
0.14125,0.75,225.0,numubar,6555.4
0.14125,0.75,225.0,nue,3191.7
0.14125,0.75,225.0,nuebar,2919.8
0.15849,0.75,225.0,numu,5650.6
0.15849,0.75,225.0,numubar,5729.2
0.15849,0.75,225.0,nue,2797.9
