Energy,Spectrum
0.0,0.0
0.0545128228866549,0.0
0.2956636855223322,0.0016023468368505
0.503118928315778,0.0038030971341625
0.7190106165535435,0.0070418458700664
0.934902304791309,0.0112208973714942
1.1507939930290745,0.0161366014913817
1.36668568126684,0.0215750913404987
1.5727641109483437,0.0271943269111863
1.7690292820735845,0.0328113331982141
1.965294453198826,0.0386113144904722
2.1517463657678046,0.0444259646236517
2.338198278336785,0.0500808746729
2.5246501909057644,0.0559507077441648
2.701288844918481,0.0614082679774802
2.8877407574874603,0.0672461530319588
3.0840059286127017,0.0730722736106784
3.280271099737943,0.0789506727623209
3.4765362708631846,0.0845938183358102
3.682614700544688,0.0902629561806515
3.8985063887824536,0.0958915499313065
4.114398077020219,0.1011636988665777
4.330289765257984,0.1061031659741575
4.546181453495749,0.1106386622909691
4.762073141733515,0.1147701878170124
4.97796482997128,0.1184502165769029
5.193856518209046,0.1217262745460252
5.409748206446811,0.1244082578228413
5.625639894684577,0.126662507321197
5.841531582922342,0.1283702081026309
6.057423271160108,0.1296977010809887
6.273314959397873,0.1304311193670404
6.489206647635638,0.1307368038746316
6.705098335873404,0.1305434656406855
6.920990024111169,0.12982734167751
7.136881712348935,0.1286597209481818
7.3527734005867,0.1270881294280852
7.568665088824466,0.1250412781541438
7.784556777062231,0.1225429301140495
8.000448465299998,0.1196406112831871
8.216340153537763,0.1163580846492486
8.432231841775529,0.1128379281383877
8.648123530013294,0.1089138008367585
8.86401521825106,0.1046332287197456
9.079906906488825,0.1001625527011947
9.295798594726593,0.0953829578426446
9.511690282964356,0.0904370220702487
9.727581971202122,0.0853009823963148
9.943473659439888,0.0800461277839197
10.159365347677651,0.0746011692699866
10.375257035915418,0.0691799737437457
10.591148724153182,0.0636637262667358
10.807040412390949,0.058242530740495
11.022932100628712,0.0527975722265618
11.23882378886648,0.0474239026757055
11.454715477104244,0.0422641000140793
11.67060716534201,0.0371518233278377
11.886498853579775,0.0322771765185186
12.102390541817542,0.0276639225738141
12.318282230055306,0.0232882985060322
12.534173918293073,0.0192928822413263
12.750065606530836,0.0155350958535429
12.965957294768604,0.01220504324422
13.181848983006368,0.0092314354502807
13.397740671244136,0.0066855614348021
13.6136323594819,0.0045911841854761
13.829524047719666,0.0030410599068032
14.04541573595743,0.0014567947932708
14.261307424195197,0.000729818618202
14.47719911243296,0.0
14.693090800670728,0.0
14.908982488908492,0.0
15.008982488908492,0.0
15.108982488908492,0.0
15.208982488908491,0.0
15.308982488908493,0.0
15.408982488908492,0.0
15.508982488908492,0.0
15.608982488908492,0.0
15.708982488908491,0.0
15.808982488908493,0.0
15.908982488908492,0.0
16.008982488908494,0.0
16.10898248890849,0.0
16.208982488908493,0.0
16.30898248890849,0.0
16.408982488908492,0.0
16.508982488908494,0.0
16.60898248890849,0.0
16.708982488908493,0.0
16.80898248890849,0.0
16.908982488908492,0.0
17.008982488908494,0.0
17.10898248890849,0.0
17.208982488908493,0.0
17.30898248890849,0.0
17.408982488908492,0.0
17.508982488908494,0.0
17.60898248890849,0.0
17.708982488908493,0.0
17.80898248890849,0.0
17.908982488908492,0.0
18.008982488908494,0.0
18.10898248890849,0.0
18.208982488908493,0.0
18.30898248890849,0.0
18.40898248890849,0.0
18.508982488908494,0.0
18.60898248890849,0.0
18.708982488908493,0.0
18.80898248890849,0.0
18.90898248890849,0.0
19.008982488908494,0.0
19.10898248890849,0.0
19.208982488908493,0.0
19.30898248890849,0.0
19.40898248890849,0.0
19.508982488908494,0.0
19.60898248890849,0.0
19.708982488908493,0.0
19.80898248890849,0.0
19.90898248890849,0.0
20.0,0.0
