rj,alpha,beta,gamma
0.192,6.099,-4.119,0.0
0.546,5.803,-3.653,-1.086
0.895,3.156,-1.459,0.28
0.937,-5.376,19.21,-12.52
1.0,11.54,-20.28,10.41
