 Distribution of neutrino fluxes in the BP04 standard solar model model.

astro-ph/0402114

The cumulative neutrino fluxes from Table 1 of BP04 are given in the row below.
 
 5.938E+00 1.401E-02 7.875E-07 4.857E-01 5.822E-04 5.712E-02 5.031E-02 5.912E-04 
 (Fictional fluxes for internal checks: 2.735E+00 4.863E-01)
 
Columns in the Table below represent:

1) Radius of the zone in units of one solar radius
2) Temperature in units of 10^6 deg (K)
3) Logarithm (to the base 10) of the electron density in units of
   cm^{-3}/N_A, where N_A is the Avogadro number
4) Mass of the zone with the given radius in units of one solar mass 
5) X(^7Be): beryllium-7 mass fraction
   [For special purposes, it is useful to know the 7^Be mass fraction.]
6) Fraction of pp neutrinos produced in the zone 
7) Fraction of boron 8 neutrinos produced in the zone
8) Fraction of nitrogen 13 neutrinos produced in the zone
9) Fraction of oxygen 15 neutrinos produced in the zone
10) Fraction of florine 17 neutrinos produced in the zone
11) Fraction of beryllium 7 neutrinos produced in the zone
12) Fraction of pep neutrinos produced in the zone
13) Fraction of hep neutrinos produced in the zone
 
  0.03719 15.250 1.981 1.609E-04 1.391E-11 1.008E-03 6.945E-03 5.508E-03 6.266E-03 6.553E-03 3.795E-03 1.492E-03 4.754E-04
  0.03759 15.241 1.980 1.644E-04 1.383E-11 1.030E-03 7.002E-03 5.556E-03 6.321E-03 6.609E-03 3.852E-03 1.522E-03 4.870E-04
  0.03798 15.231 1.979 1.679E-04 1.376E-11 1.051E-03 7.056E-03 5.601E-03 6.372E-03 6.663E-03 3.909E-03 1.553E-03 4.987E-04
  0.03838 15.222 1.979 1.715E-04 1.368E-11 1.073E-03 7.107E-03 5.645E-03 6.421E-03 6.713E-03 3.965E-03 1.583E-03 5.105E-04
  0.03878 15.212 1.978 1.750E-04 1.361E-11 1.095E-03 7.155E-03 5.685E-03 6.468E-03 6.761E-03 4.020E-03 1.613E-03 5.224E-04
  0.03917 15.202 1.977 1.786E-04 1.353E-11 1.117E-03 7.199E-03 5.724E-03 6.512E-03 6.806E-03 4.074E-03 1.643E-03 5.344E-04
  0.03957 15.192 1.977 1.822E-04 1.346E-11 1.139E-03 7.240E-03 5.760E-03 6.553E-03 6.848E-03 4.127E-03 1.673E-03 5.465E-04
  0.03997 15.182 1.976 1.857E-04 1.338E-11 1.161E-03 7.278E-03 5.793E-03 6.591E-03 6.887E-03 4.179E-03 1.703E-03 5.588E-04
  0.04037 15.172 1.975 1.894E-04 1.330E-11 1.184E-03 7.313E-03 5.825E-03 6.626E-03 6.923E-03 4.230E-03 1.734E-03 5.711E-04
  0.04077 15.162 1.975 1.930E-04 1.323E-11 1.206E-03 7.344E-03 5.853E-03 6.659E-03 6.956E-03 4.280E-03 1.764E-03 5.835E-04
  0.04117 15.152 1.974 1.966E-04 1.315E-11 1.228E-03 7.372E-03 5.880E-03 6.689E-03 6.986E-03 4.329E-03 1.793E-03 5.960E-04
  0.04158 15.142 1.973 2.002E-04 1.307E-11 1.250E-03 7.396E-03 5.904E-03 6.716E-03 7.013E-03 4.376E-03 1.823E-03 6.086E-04
  0.04198 15.131 1.973 2.039E-04 1.299E-11 1.272E-03 7.418E-03 5.925E-03 6.741E-03 7.037E-03 4.423E-03 1.853E-03 6.212E-04
  0.04238 15.121 1.972 2.075E-04 1.291E-11 1.295E-03 7.435E-03 5.945E-03 6.763E-03 7.058E-03 4.468E-03 1.883E-03 6.340E-04
  0.04278 15.110 1.971 2.112E-04 1.283E-11 1.317E-03 7.450E-03 5.961E-03 6.782E-03 7.076E-03 4.513E-03 1.912E-03 6.468E-04
  0.04319 15.099 1.970 2.148E-04 1.275E-11 1.339E-03 7.461E-03 5.976E-03 6.798E-03 7.091E-03 4.556E-03 1.941E-03 6.596E-04
  0.04359 15.088 1.970 2.185E-04 1.267E-11 1.361E-03 7.469E-03 5.988E-03 6.812E-03 7.104E-03 4.597E-03 1.971E-03 6.726E-04
  0.04399 15.078 1.969 2.222E-04 1.258E-11 1.383E-03 7.474E-03 5.998E-03 6.823E-03 7.113E-03 4.638E-03 2.000E-03 6.856E-04
  0.04440 15.067 1.968 2.259E-04 1.250E-11 1.405E-03 7.476E-03 6.005E-03 6.831E-03 7.119E-03 4.677E-03 2.028E-03 6.987E-04
  0.04480 15.056 1.968 2.295E-04 1.242E-11 1.427E-03 7.475E-03 6.010E-03 6.837E-03 7.123E-03 4.715E-03 2.057E-03 7.118E-04
  0.04521 15.045 1.967 2.332E-04 1.233E-11 1.449E-03 7.470E-03 6.013E-03 6.841E-03 7.124E-03 4.752E-03 2.086E-03 7.250E-04
  0.04561 15.033 1.966 2.369E-04 1.225E-11 1.471E-03 7.463E-03 6.014E-03 6.842E-03 7.122E-03 4.787E-03 2.114E-03 7.382E-04
  0.04601 15.022 1.965 2.405E-04 1.217E-11 1.493E-03 7.452E-03 6.013E-03 6.840E-03 7.117E-03 4.821E-03 2.142E-03 7.515E-04
  0.04642 15.011 1.964 2.442E-04 1.208E-11 1.515E-03 7.439E-03 6.009E-03 6.836E-03 7.110E-03 4.854E-03 2.170E-03 7.648E-04
  0.04682 15.000 1.964 2.479E-04 1.200E-11 1.537E-03 7.423E-03 6.004E-03 6.830E-03 7.100E-03 4.885E-03 2.197E-03 7.781E-04
  0.04723 14.988 1.963 2.516E-04 1.191E-11 1.558E-03 7.404E-03 5.996E-03 6.821E-03 7.088E-03 4.916E-03 2.225E-03 7.915E-04
  0.04763 14.977 1.962 2.552E-04 1.183E-11 1.580E-03 7.382E-03 5.987E-03 6.811E-03 7.073E-03 4.944E-03 2.252E-03 8.050E-04
  0.04804 14.965 1.961 2.589E-04 1.174E-11 1.601E-03 7.358E-03 5.975E-03 6.798E-03 7.056E-03 4.972E-03 2.279E-03 8.184E-04
  0.04844 14.953 1.961 2.625E-04 1.166E-11 1.623E-03 7.331E-03 5.962E-03 6.782E-03 7.037E-03 4.998E-03 2.305E-03 8.319E-04
  0.04884 14.942 1.960 2.662E-04 1.157E-11 1.644E-03 7.302E-03 5.947E-03 6.765E-03 7.015E-03 5.023E-03 2.332E-03 8.455E-04
  0.04925 14.930 1.959 2.698E-04 1.149E-11 1.665E-03 7.270E-03 5.930E-03 6.746E-03 6.991E-03 5.046E-03 2.358E-03 8.590E-04
  0.04965 14.918 1.958 2.735E-04 1.140E-11 1.686E-03 7.236E-03 5.911E-03 6.724E-03 6.965E-03 5.069E-03 2.384E-03 8.726E-04
  0.05006 14.906 1.957 2.771E-04 1.132E-11 1.707E-03 7.199E-03 5.891E-03 6.701E-03 6.936E-03 5.090E-03 2.409E-03 8.862E-04
  0.05046 14.894 1.957 2.808E-04 1.123E-11 1.728E-03 7.161E-03 5.869E-03 6.676E-03 6.906E-03 5.109E-03 2.434E-03 8.998E-04
  0.05086 14.882 1.956 2.844E-04 1.114E-11 1.748E-03 7.120E-03 5.845E-03 6.649E-03 6.874E-03 5.128E-03 2.459E-03 9.134E-04
  0.05127 14.870 1.955 2.880E-04 1.106E-11 1.769E-03 7.077E-03 5.820E-03 6.620E-03 6.840E-03 5.145E-03 2.484E-03 9.271E-04
  0.05167 14.858 1.954 2.916E-04 1.097E-11 1.789E-03 7.032E-03 5.793E-03 6.590E-03 6.804E-03 5.161E-03 2.508E-03 9.407E-04
  0.05207 14.846 1.953 2.952E-04 1.088E-11 1.809E-03 6.986E-03 5.765E-03 6.558E-03 6.766E-03 5.175E-03 2.533E-03 9.544E-04
  0.05248 14.834 1.952 2.988E-04 1.080E-11 1.830E-03 6.937E-03 5.735E-03 6.525E-03 6.726E-03 5.189E-03 2.556E-03 9.681E-04
  0.05288 14.821 1.952 3.024E-04 1.071E-11 1.850E-03 6.887E-03 5.705E-03 6.489E-03 6.685E-03 5.201E-03 2.580E-03 9.818E-04
  0.05328 14.809 1.951 3.060E-04 1.063E-11 1.869E-03 6.835E-03 5.672E-03 6.453E-03 6.643E-03 5.212E-03 2.603E-03 9.955E-04
  0.05368 14.797 1.950 3.096E-04 1.054E-11 1.889E-03 6.781E-03 5.639E-03 6.415E-03 6.598E-03 5.222E-03 2.626E-03 1.009E-03
  0.05408 14.784 1.949 3.132E-04 1.045E-11 1.909E-03 6.726E-03 5.605E-03 6.376E-03 6.553E-03 5.231E-03 2.649E-03 1.023E-03
  0.05448 14.772 1.948 3.168E-04 1.037E-11 1.928E-03 6.670E-03 5.569E-03 6.335E-03 6.506E-03 5.238E-03 2.671E-03 1.037E-03
  0.05489 14.759 1.947 3.203E-04 1.028E-11 1.947E-03 6.612E-03 5.532E-03 6.294E-03 6.457E-03 5.244E-03 2.693E-03 1.050E-03
  0.05529 14.747 1.946 3.239E-04 1.019E-11 1.967E-03 6.553E-03 5.495E-03 6.251E-03 6.408E-03 5.250E-03 2.715E-03 1.064E-03
  0.05569 14.734 1.946 3.274E-04 1.011E-11 1.986E-03 6.493E-03 5.456E-03 6.207E-03 6.357E-03 5.254E-03 2.736E-03 1.078E-03
  0.05609 14.721 1.945 3.310E-04 1.002E-11 2.004E-03 6.432E-03 5.416E-03 6.162E-03 6.305E-03 5.257E-03 2.757E-03 1.091E-03
  0.05649 14.709 1.944 3.345E-04 9.936E-12 2.023E-03 6.369E-03 5.376E-03 6.116E-03 6.253E-03 5.259E-03 2.778E-03 1.105E-03
  0.05688 14.696 1.943 3.380E-04 9.850E-12 2.042E-03 6.306E-03 5.335E-03 6.069E-03 6.199E-03 5.260E-03 2.798E-03 1.119E-03
  0.05728 14.683 1.942 3.415E-04 9.764E-12 2.060E-03 6.241E-03 5.292E-03 6.021E-03 6.144E-03 5.260E-03 2.818E-03 1.132E-03
  0.05768 14.670 1.941 3.451E-04 9.679E-12 2.078E-03 6.176E-03 5.250E-03 5.972E-03 6.088E-03 5.259E-03 2.838E-03 1.146E-03
  0.05808 14.657 1.940 3.486E-04 9.594E-12 2.096E-03 6.110E-03 5.206E-03 5.922E-03 6.032E-03 5.257E-03 2.858E-03 1.160E-03
  0.05848 14.644 1.939 3.521E-04 9.509E-12 2.114E-03 6.043E-03 5.162E-03 5.872E-03 5.974E-03 5.254E-03 2.877E-03 1.173E-03
  0.05888 14.632 1.938 3.556E-04 9.424E-12 2.132E-03 5.976E-03 5.117E-03 5.821E-03 5.916E-03 5.250E-03 2.896E-03 1.187E-03
  0.05927 14.619 1.938 3.590E-04 9.339E-12 2.150E-03 5.908E-03 5.072E-03 5.769E-03 5.858E-03 5.245E-03 2.914E-03 1.201E-03
  0.05967 14.606 1.937 3.625E-04 9.255E-12 2.167E-03 5.839E-03 5.026E-03 5.717E-03 5.799E-03 5.239E-03 2.933E-03 1.214E-03
  0.06007 14.592 1.936 3.660E-04 9.171E-12 2.184E-03 5.770E-03 4.979E-03 5.664E-03 5.739E-03 5.232E-03 2.951E-03 1.228E-03
  0.06046 14.579 1.935 3.695E-04 9.087E-12 2.201E-03 5.700E-03 4.932E-03 5.611E-03 5.678E-03 5.225E-03 2.968E-03 1.241E-03
  0.06086 14.566 1.934 3.729E-04 9.003E-12 2.218E-03 5.630E-03 4.885E-03 5.557E-03 5.618E-03 5.216E-03 2.986E-03 1.255E-03
  0.06125 14.553 1.933 3.764E-04 8.919E-12 2.235E-03 5.560E-03 4.837E-03 5.503E-03 5.556E-03 5.207E-03 3.003E-03 1.268E-03
  0.06165 14.540 1.932 3.799E-04 8.836E-12 2.252E-03 5.489E-03 4.789E-03 5.448E-03 5.495E-03 5.197E-03 3.020E-03 1.282E-03
  0.06204 14.527 1.931 3.833E-04 8.753E-12 2.268E-03 5.419E-03 4.741E-03 5.393E-03 5.433E-03 5.186E-03 3.036E-03 1.295E-03
  0.06244 14.513 1.930 3.867E-04 8.671E-12 2.285E-03 5.348E-03 4.692E-03 5.338E-03 5.371E-03 5.175E-03 3.052E-03 1.309E-03
  0.06283 14.500 1.929 3.902E-04 8.589E-12 2.301E-03 5.276E-03 4.643E-03 5.282E-03 5.308E-03 5.162E-03 3.068E-03 1.322E-03
  0.06322 14.487 1.928 3.936E-04 8.507E-12 2.317E-03 5.205E-03 4.594E-03 5.226E-03 5.246E-03 5.149E-03 3.084E-03 1.336E-03
  0.06362 14.473 1.928 3.971E-04 8.425E-12 2.333E-03 5.134E-03 4.544E-03 5.170E-03 5.183E-03 5.135E-03 3.099E-03 1.349E-03
  0.06401 14.460 1.927 4.005E-04 8.344E-12 2.348E-03 5.063E-03 4.495E-03 5.113E-03 5.120E-03 5.121E-03 3.114E-03 1.363E-03
  0.06440 14.447 1.926 4.039E-04 8.263E-12 2.364E-03 4.991E-03 4.445E-03 5.057E-03 5.057E-03 5.105E-03 3.129E-03 1.376E-03
  0.06479 14.433 1.925 4.073E-04 8.182E-12 2.379E-03 4.920E-03 4.395E-03 5.000E-03 4.994E-03 5.089E-03 3.143E-03 1.390E-03
  0.06519 14.420 1.924 4.107E-04 8.102E-12 2.395E-03 4.849E-03 4.346E-03 4.944E-03 4.931E-03 5.073E-03 3.157E-03 1.403E-03
  0.06558 14.406 1.923 4.142E-04 8.022E-12 2.410E-03 4.778E-03 4.296E-03 4.887E-03 4.868E-03 5.056E-03 3.171E-03 1.416E-03
  0.06597 14.393 1.922 4.176E-04 7.942E-12 2.425E-03 4.708E-03 4.246E-03 4.830E-03 4.805E-03 5.038E-03 3.184E-03 1.429E-03
  0.06636 14.379 1.921 4.210E-04 7.863E-12 2.440E-03 4.637E-03 4.196E-03 4.773E-03 4.742E-03 5.020E-03 3.198E-03 1.443E-03
  0.06675 14.365 1.920 4.244E-04 7.785E-12 2.454E-03 4.567E-03 4.146E-03 4.716E-03 4.679E-03 5.001E-03 3.211E-03 1.456E-03
  0.06714 14.352 1.919 4.278E-04 7.706E-12 2.469E-03 4.497E-03 4.096E-03 4.659E-03 4.616E-03 4.981E-03 3.223E-03 1.469E-03
  0.06753 14.338 1.918 4.312E-04 7.628E-12 2.483E-03 4.427E-03 4.046E-03 4.603E-03 4.554E-03 4.961E-03 3.236E-03 1.482E-03
  0.06792 14.325 1.917 4.346E-04 7.550E-12 2.497E-03 4.358E-03 3.996E-03 4.546E-03 4.491E-03 4.941E-03 3.248E-03 1.496E-03
  0.06831 14.311 1.916 4.380E-04 7.473E-12 2.511E-03 4.289E-03 3.946E-03 4.490E-03 4.429E-03 4.920E-03 3.260E-03 1.509E-03
  0.06870 14.297 1.915 4.414E-04 7.396E-12 2.525E-03 4.221E-03 3.897E-03 4.433E-03 4.367E-03 4.898E-03 3.272E-03 1.522E-03
  0.06909 14.283 1.914 4.448E-04 7.320E-12 2.539E-03 4.153E-03 3.847E-03 4.377E-03 4.305E-03 4.876E-03 3.283E-03 1.535E-03
  0.06948 14.270 1.913 4.482E-04 7.244E-12 2.552E-03 4.085E-03 3.798E-03 4.321E-03 4.244E-03 4.854E-03 3.294E-03 1.548E-03
  0.06987 14.256 1.912 4.516E-04 7.168E-12 2.566E-03 4.018E-03 3.749E-03 4.265E-03 4.183E-03 4.831E-03 3.305E-03 1.561E-03
  0.07025 14.242 1.911 4.550E-04 7.093E-12 2.579E-03 3.951E-03 3.700E-03 4.209E-03 4.122E-03 4.807E-03 3.315E-03 1.574E-03
  0.07064 14.228 1.910 4.584E-04 7.019E-12 2.592E-03 3.885E-03 3.651E-03 4.154E-03 4.061E-03 4.784E-03 3.326E-03 1.587E-03
  0.07103 14.214 1.909 4.618E-04 6.944E-12 2.605E-03 3.819E-03 3.603E-03 4.098E-03 4.001E-03 4.760E-03 3.336E-03 1.600E-03
  0.07142 14.200 1.908 4.652E-04 6.870E-12 2.618E-03 3.754E-03 3.554E-03 4.043E-03 3.942E-03 4.735E-03 3.346E-03 1.613E-03
  0.07180 14.186 1.907 4.686E-04 6.797E-12 2.631E-03 3.689E-03 3.506E-03 3.989E-03 3.882E-03 4.710E-03 3.355E-03 1.626E-03
  0.07219 14.172 1.906 4.720E-04 6.724E-12 2.643E-03 3.625E-03 3.458E-03 3.934E-03 3.823E-03 4.685E-03 3.364E-03 1.639E-03
  0.07258 14.158 1.906 4.755E-04 6.652E-12 2.656E-03 3.562E-03 3.411E-03 3.880E-03 3.765E-03 4.659E-03 3.374E-03 1.652E-03
  0.07296 14.144 1.905 4.789E-04 6.579E-12 2.668E-03 3.499E-03 3.363E-03 3.826E-03 3.706E-03 4.633E-03 3.382E-03 1.665E-03
  0.07335 14.130 1.904 4.823E-04 6.508E-12 2.680E-03 3.436E-03 3.316E-03 3.773E-03 3.649E-03 4.607E-03 3.391E-03 1.678E-03
  0.07374 14.116 1.903 4.857E-04 6.437E-12 2.692E-03 3.375E-03 3.270E-03 3.720E-03 3.592E-03 4.581E-03 3.399E-03 1.691E-03
  0.07412 14.102 1.902 4.891E-04 6.366E-12 2.704E-03 3.314E-03 3.223E-03 3.667E-03 3.535E-03 4.554E-03 3.407E-03 1.703E-03
  0.07451 14.088 1.901 4.926E-04 6.296E-12 2.716E-03 3.253E-03 3.177E-03 3.615E-03 3.478E-03 4.527E-03 3.415E-03 1.716E-03
  0.07490 14.074 1.900 4.960E-04 6.226E-12 2.727E-03 3.194E-03 3.131E-03 3.563E-03 3.423E-03 4.499E-03 3.423E-03 1.729E-03
  0.07528 14.060 1.899 4.994E-04 6.157E-12 2.739E-03 3.134E-03 3.086E-03 3.511E-03 3.367E-03 4.472E-03 3.430E-03 1.742E-03
  0.07567 14.046 1.898 5.029E-04 6.088E-12 2.750E-03 3.076E-03 3.041E-03 3.460E-03 3.312E-03 4.444E-03 3.437E-03 1.754E-03
  0.07605 14.031 1.897 5.063E-04 6.019E-12 2.761E-03 3.018E-03 2.996E-03 3.409E-03 3.258E-03 4.416E-03 3.444E-03 1.767E-03
  0.07644 14.017 1.896 5.098E-04 5.952E-12 2.772E-03 2.961E-03 2.952E-03 3.358E-03 3.204E-03 4.387E-03 3.451E-03 1.780E-03
  0.07682 14.003 1.895 5.132E-04 5.884E-12 2.783E-03 2.905E-03 2.908E-03 3.308E-03 3.151E-03 4.359E-03 3.457E-03 1.792E-03
  0.07721 13.989 1.893 5.167E-04 5.817E-12 2.794E-03 2.849E-03 2.864E-03 3.258E-03 3.098E-03 4.330E-03 3.464E-03 1.805E-03
  0.07759 13.974 1.892 5.202E-04 5.751E-12 2.804E-03 2.794E-03 2.821E-03 3.209E-03 3.046E-03 4.301E-03 3.470E-03 1.817E-03
  0.07798 13.960 1.891 5.236E-04 5.685E-12 2.815E-03 2.740E-03 2.778E-03 3.160E-03 2.994E-03 4.272E-03 3.475E-03 1.830E-03
  0.07836 13.946 1.890 5.271E-04 5.619E-12 2.825E-03 2.686E-03 2.735E-03 3.112E-03 2.943E-03 4.243E-03 3.481E-03 1.842E-03
  0.07875 13.931 1.889 5.306E-04 5.554E-12 2.835E-03 2.633E-03 2.693E-03 3.064E-03 2.893E-03 4.214E-03 3.486E-03 1.855E-03
  0.07913 13.917 1.888 5.341E-04 5.490E-12 2.846E-03 2.581E-03 2.651E-03 3.016E-03 2.843E-03 4.184E-03 3.492E-03 1.867E-03
  0.07952 13.903 1.887 5.376E-04 5.426E-12 2.856E-03 2.529E-03 2.610E-03 2.969E-03 2.793E-03 4.154E-03 3.496E-03 1.880E-03
  0.07990 13.888 1.886 5.411E-04 5.362E-12 2.865E-03 2.479E-03 2.569E-03 2.923E-03 2.744E-03 4.125E-03 3.501E-03 1.892E-03
  0.08029 13.874 1.885 5.446E-04 5.299E-12 2.875E-03 2.429E-03 2.528E-03 2.877E-03 2.696E-03 4.095E-03 3.506E-03 1.905E-03
  0.08067 13.859 1.884 5.482E-04 5.236E-12 2.885E-03 2.379E-03 2.488E-03 2.831E-03 2.648E-03 4.065E-03 3.510E-03 1.917E-03
  0.08106 13.845 1.883 5.517E-04 5.174E-12 2.894E-03 2.331E-03 2.448E-03 2.786E-03 2.601E-03 4.035E-03 3.514E-03 1.929E-03
  0.08144 13.830 1.882 5.553E-04 5.112E-12 2.903E-03 2.283E-03 2.409E-03 2.741E-03 2.554E-03 4.004E-03 3.518E-03 1.942E-03
  0.08183 13.816 1.881 5.588E-04 5.051E-12 2.913E-03 2.235E-03 2.370E-03 2.696E-03 2.508E-03 3.974E-03 3.522E-03 1.954E-03
  0.08221 13.801 1.880 5.624E-04 4.990E-12 2.922E-03 2.189E-03 2.331E-03 2.653E-03 2.463E-03 3.944E-03 3.525E-03 1.966E-03
  0.08259 13.787 1.879 5.660E-04 4.930E-12 2.931E-03 2.143E-03 2.293E-03 2.609E-03 2.418E-03 3.913E-03 3.529E-03 1.978E-03
  0.08298 13.772 1.878 5.696E-04 4.871E-12 2.939E-03 2.098E-03 2.255E-03 2.566E-03 2.374E-03 3.883E-03 3.532E-03 1.991E-03
  0.08336 13.757 1.877 5.732E-04 4.811E-12 2.948E-03 2.053E-03 2.218E-03 2.524E-03 2.330E-03 3.852E-03 3.535E-03 2.003E-03
  0.08375 13.743 1.876 5.768E-04 4.752E-12 2.957E-03 2.009E-03 2.181E-03 2.482E-03 2.287E-03 3.822E-03 3.537E-03 2.015E-03
  0.08413 13.728 1.875 5.804E-04 4.694E-12 2.965E-03 1.966E-03 2.145E-03 2.440E-03 2.244E-03 3.791E-03 3.540E-03 2.027E-03
  0.08452 13.713 1.874 5.840E-04 4.636E-12 2.974E-03 1.924E-03 2.109E-03 2.399E-03 2.202E-03 3.760E-03 3.542E-03 2.039E-03
  0.08490 13.699 1.873 5.877E-04 4.579E-12 2.982E-03 1.882E-03 2.073E-03 2.359E-03 2.160E-03 3.730E-03 3.544E-03 2.051E-03
  0.08529 13.684 1.872 5.913E-04 4.522E-12 2.990E-03 1.841E-03 2.038E-03 2.319E-03 2.119E-03 3.699E-03 3.546E-03 2.063E-03
  0.08568 13.669 1.871 5.950E-04 4.466E-12 2.998E-03 1.801E-03 2.003E-03 2.279E-03 2.079E-03 3.668E-03 3.548E-03 2.076E-03
  0.08606 13.654 1.869 5.987E-04 4.410E-12 3.006E-03 1.761E-03 1.968E-03 2.240E-03 2.039E-03 3.638E-03 3.550E-03 2.088E-03
  0.08645 13.639 1.868 6.024E-04 4.355E-12 3.013E-03 1.722E-03 1.934E-03 2.201E-03 2.000E-03 3.607E-03 3.551E-03 2.100E-03
  0.08683 13.625 1.867 6.061E-04 4.300E-12 3.021E-03 1.684E-03 1.901E-03 2.163E-03 1.961E-03 3.576E-03 3.552E-03 2.112E-03
  0.08722 13.610 1.866 6.099E-04 4.245E-12 3.028E-03 1.646E-03 1.867E-03 2.125E-03 1.923E-03 3.545E-03 3.553E-03 2.123E-03
  0.08760 13.595 1.865 6.136E-04 4.191E-12 3.036E-03 1.609E-03 1.835E-03 2.088E-03 1.885E-03 3.515E-03 3.554E-03 2.135E-03
  0.08799 13.580 1.864 6.174E-04 4.138E-12 3.043E-03 1.572E-03 1.802E-03 2.051E-03 1.848E-03 3.484E-03 3.555E-03 2.147E-03
  0.08838 13.565 1.863 6.211E-04 4.085E-12 3.050E-03 1.537E-03 1.770E-03 2.015E-03 1.812E-03 3.453E-03 3.555E-03 2.159E-03
  0.08876 13.550 1.862 6.249E-04 4.032E-12 3.057E-03 1.502E-03 1.739E-03 1.979E-03 1.776E-03 3.423E-03 3.556E-03 2.171E-03
  0.08915 13.535 1.861 6.287E-04 3.980E-12 3.064E-03 1.467E-03 1.708E-03 1.944E-03 1.740E-03 3.392E-03 3.556E-03 2.183E-03
  0.08954 13.520 1.860 6.326E-04 3.928E-12 3.071E-03 1.433E-03 1.677E-03 1.909E-03 1.705E-03 3.362E-03 3.556E-03 2.195E-03
  0.08993 13.505 1.859 6.364E-04 3.877E-12 3.078E-03 1.400E-03 1.647E-03 1.874E-03 1.671E-03 3.331E-03 3.556E-03 2.207E-03
  0.09031 13.490 1.857 6.403E-04 3.826E-12 3.084E-03 1.367E-03 1.617E-03 1.840E-03 1.637E-03 3.301E-03 3.555E-03 2.218E-03
  0.09070 13.475 1.856 6.441E-04 3.776E-12 3.091E-03 1.335E-03 1.587E-03 1.807E-03 1.604E-03 3.271E-03 3.555E-03 2.230E-03
  0.09109 13.460 1.855 6.480E-04 3.726E-12 3.097E-03 1.304E-03 1.558E-03 1.774E-03 1.571E-03 3.240E-03 3.554E-03 2.242E-03
  0.09148 13.445 1.854 6.520E-04 3.677E-12 3.103E-03 1.273E-03 1.530E-03 1.741E-03 1.539E-03 3.210E-03 3.553E-03 2.253E-03
  0.09187 13.429 1.853 6.559E-04 3.628E-12 3.110E-03 1.242E-03 1.501E-03 1.709E-03 1.507E-03 3.180E-03 3.552E-03 2.265E-03
  0.09226 13.414 1.852 6.598E-04 3.580E-12 3.116E-03 1.213E-03 1.473E-03 1.677E-03 1.476E-03 3.150E-03 3.551E-03 2.277E-03
  0.09264 13.399 1.851 6.638E-04 3.532E-12 3.121E-03 1.183E-03 1.446E-03 1.646E-03 1.445E-03 3.120E-03 3.550E-03 2.288E-03
  0.09303 13.384 1.850 6.678E-04 3.484E-12 3.127E-03 1.155E-03 1.419E-03 1.615E-03 1.415E-03 3.090E-03 3.548E-03 2.300E-03
  0.09342 13.369 1.848 6.718E-04 3.437E-12 3.133E-03 1.127E-03 1.392E-03 1.584E-03 1.385E-03 3.060E-03 3.547E-03 2.312E-03
  0.09381 13.353 1.847 6.758E-04 3.391E-12 3.138E-03 1.099E-03 1.365E-03 1.554E-03 1.356E-03 3.030E-03 3.545E-03 2.323E-03
  0.09421 13.338 1.846 6.799E-04 3.345E-12 3.144E-03 1.072E-03 1.339E-03 1.525E-03 1.327E-03 3.001E-03 3.543E-03 2.335E-03
  0.09460 13.323 1.845 6.840E-04 3.299E-12 3.149E-03 1.046E-03 1.314E-03 1.495E-03 1.299E-03 2.971E-03 3.541E-03 2.346E-03
  0.09499 13.307 1.844 6.881E-04 3.254E-12 3.155E-03 1.020E-03 1.288E-03 1.467E-03 1.271E-03 2.942E-03 3.539E-03 2.358E-03
  0.09538 13.292 1.843 6.922E-04 3.209E-12 3.160E-03 9.944E-04 1.264E-03 1.438E-03 1.243E-03 2.912E-03 3.536E-03 2.369E-03
  0.09577 13.276 1.842 6.963E-04 3.165E-12 3.165E-03 9.696E-04 1.239E-03 1.410E-03 1.216E-03 2.883E-03 3.534E-03 2.381E-03
  0.09616 13.261 1.840 7.005E-04 3.121E-12 3.170E-03 9.452E-04 1.215E-03 1.383E-03 1.190E-03 2.854E-03 3.531E-03 2.392E-03
  0.09656 13.245 1.839 7.047E-04 3.077E-12 3.174E-03 9.213E-04 1.191E-03 1.356E-03 1.164E-03 2.825E-03 3.528E-03 2.404E-03
  0.09695 13.230 1.838 7.089E-04 3.034E-12 3.179E-03 8.979E-04 1.167E-03 1.329E-03 1.138E-03 2.796E-03 3.525E-03 2.415E-03
  0.09735 13.214 1.837 7.131E-04 2.991E-12 3.184E-03 8.750E-04 1.144E-03 1.303E-03 1.113E-03 2.767E-03 3.522E-03 2.426E-03
  0.09774 13.199 1.836 7.174E-04 2.949E-12 3.188E-03 8.526E-04 1.122E-03 1.277E-03 1.089E-03 2.739E-03 3.519E-03 2.438E-03
  0.09813 13.183 1.835 7.217E-04 2.907E-12 3.193E-03 8.306E-04 1.099E-03 1.252E-03 1.064E-03 2.710E-03 3.515E-03 2.449E-03
  0.09853 13.168 1.833 7.260E-04 2.866E-12 3.197E-03 8.091E-04 1.077E-03 1.226E-03 1.041E-03 2.682E-03 3.512E-03 2.460E-03
  0.09893 13.152 1.832 7.303E-04 2.825E-12 3.201E-03 7.881E-04 1.055E-03 1.202E-03 1.017E-03 2.653E-03 3.508E-03 2.472E-03
  0.09932 13.136 1.831 7.347E-04 2.785E-12 3.205E-03 7.675E-04 1.034E-03 1.177E-03 9.942E-04 2.625E-03 3.504E-03 2.483E-03
  0.09972 13.121 1.830 7.391E-04 2.745E-12 3.209E-03 7.474E-04 1.013E-03 1.154E-03 9.717E-04 2.597E-03 3.500E-03 2.494E-03
