radius,electron_density_mol_cm3,neutron_density_mol_cm3,mass_density_g_cm3
0.0,100.79059291296352,49.06688481984777,149.99956513820388
0.0005,100.78827215051481,49.061142644133454,149.98920389319352
0.001,100.78595144150303,49.05891388269734,149.9857503039046
0.0015,100.77898963507685,49.05392244100348,149.9753900131561
0.002,100.7697079745509,49.043730381074994,149.95467157852622
0.0025,100.75810710099331,49.031034468348935,149.9305036888822
0.003,100.744187815601,49.014981074988555,149.89943641122065
0.0035,100.72795107960766,48.99655691503804,149.8649247639004
0.004,100.70476028178898,48.973698957810065,149.82007150091079
0.0045,100.68157482323409,48.94849284203976,149.77178299965806
0.005,100.65839470271384,48.921021264946546,149.72006259073746
0.0055,100.63058560256471,48.89027164175885,149.66146771833706
0.006,100.59815136254431,48.85622555210963,149.59600646847338
0.0065,100.56341199160994,48.8187220614924,149.52368787221542
0.007,100.52868461715738,48.77907884487696,149.4479630305091
0.0075,100.48934142329416,48.736160936889945,149.3653978497682
0.008,100.44770070648474,48.69100166695073,149.2794409578996
0.0085,100.40376533598206,48.64254240899689,149.18666307463013
0.009,100.35522754717657,48.59077643778853,149.08707698154512
0.0095,100.30671322279927,48.53687903837243,148.98412683905374
0.01,100.25591384720232,48.47975100958356,148.87439171047717
0.0105,100.20052568747577,48.42043867627853,148.76131201271943
0.011,100.14286222675673,48.35787850565035,148.64147285587134
0.0115,100.08292742914254,48.29214606986077,148.51489071811272
0.012,100.02072541325406,48.224353392011096,148.38499964668333
0.0125,99.95856205621453,48.15325964859785,148.24839492985296
0.013,99.8895369709068,48.079020294049684,148.10509532394923
0.0135,99.81826112311201,48.0027183209532,147.95852732384418
0.014,99.747036133962,47.92445757904093,147.80870091029982
0.0145,99.67127182978146,47.84303283174204,147.652226421756
0.015,99.59556507347413,47.75843227418023,147.48912529992703
0.0155,99.51304146652446,47.67179089062779,147.3228120723736
0.016,99.43058623757628,47.58110343611581,147.1465215119925
0.0165,99.34591177948113,47.489518945961976,146.97044190578242
0.017,99.25902387981813,47.394896829635336,146.78781301705473
0.0175,99.16764502830183,47.29829286141226,146.60203539175424
0.018,99.07863164460902,47.19873606340876,146.40975031695098
0.0185,98.98058129150314,47.09612926273792,146.21098402598525
0.019,98.88490485400848,46.991760625024796,146.00912555763216
0.0195,98.78704621711738,46.885387674540155,145.80418847034494
0.02,98.68473971838978,46.77620336122316,145.5928340787248
0.0205,98.58026925028197,46.66521751276203,145.37843856076623
0.021,98.47364191207444,46.55130480830084,145.15767384319312
0.0215,98.36486494435998,46.434620393198806,144.93056991524185
0.022,98.25394572822461,46.31610590607778,144.70048940855477
0.0225,98.14089178441269,46.19584314603321,144.46744763558354
0.023,98.02571077247752,46.07287375279742,144.22813907482117
0.0235,97.90841048991611,45.94817642223447,143.9859114894596
0.024,97.79125057212411,45.820736496715654,143.7374712117361
0.0245,97.66748398733043,45.69166902382811,143.48615567605287
0.025,97.54387404403,45.56099077244966,143.23198147286706
0.0255,97.41593427111313,45.42767694685166,142.97167327839392
0.026,97.2859221886807,45.29161785491845,142.70526619341317
0.0265,97.15832074866398,45.15514721038478,142.43935551959765
0.027,97.02641833772587,45.01610314019838,142.16739313080038
0.0275,96.89023293501145,44.87446166594209,141.88941560585764
0.028,96.75423868089585,44.73134752541652,141.60872090688022
0.0285,96.616210611009,44.58678742239417,141.325327322689
0.029,96.47615797858082,44.440841302469835,141.03925329195934
0.0295,96.33187201442159,44.292390499585245,140.74727653810444
0.03,96.1900166701861,44.143471068849124,140.45590422891868
0.0305,96.04173566054429,43.991327835524885,140.1554531829782
0.031,95.8936832323975,43.83770131514141,139.85242457761083
