radius,electron_density_mol_cm3,neutron_density_mol_cm3,mass_density_g_cm3
0.0,100.76042716885799,48.960128786128976,149.85802338797717
0.0005,100.75810710099331,48.954530811213885,149.84767191998685
0.001,100.75578708654947,48.95221480054945,149.84422158955454
0.0015,100.74882736373115,48.94720968669465,149.83387107492558
0.002,100.73954848112511,48.937010459105466,149.81317219050905
0.0025,100.72795107960766,48.924394710330645,149.7890271060338
0.003,100.71403596013589,48.90828926390826,149.75798914390296
0.0035,100.69780408365571,48.88997957097863,149.72351006227024
0.004,100.67462022664036,48.867098563269614,149.6786991234656
0.0045,100.65375931906574,48.84313836503692,149.63390159618356
0.005,100.62826852437806,48.81466473722961,149.57878458314042
0.0055,100.59815136254431,48.78276923886343,149.51680221046993
0.006,100.56804321451405,48.74992100507175,149.4548455220202
0.0065,100.53331424076997,48.71253287945583,149.38259516663135
0.007,100.50091135227831,48.672925611334556,149.3069417799764
0.0075,100.46157902783946,48.6312541320801,149.22789056853287
0.008,100.41763758702172,48.585014800910194,149.13857872722193
0.0085,100.37602658280777,48.53664526277345,149.04588839049947
0.009,100.32519210412244,48.48505979067531,148.94639626828635
0.0095,100.27669229965868,48.43125455840092,148.84354327103227
0.01,100.22590812787114,48.374287722450184,148.7339116901036
0.0105,100.17053654533701,48.31512937744643,148.62093869597746
0.011,100.11519555381693,48.25272038746972,148.5012126210839
0.0115,100.0552773145115,48.18713613260533,148.37474992805377
0.012,99.99309248330094,48.1194075893267,148.24498142371027
0.0125,99.92864533167717,48.04851557801606,148.10850560905834
0.013,99.86194028465248,47.975559657560595,147.96874828984178
0.0135,99.79068412838163,47.89940594131399,147.8223152217056
0.014,99.7171827172856,47.820192974776575,147.66922649111532
0.0145,99.64373544408315,47.73896200728118,147.51289965415273
0.015,99.56575699076312,47.65564399517638,147.35334533399293
0.0155,99.48554879545149,47.569278598701025,147.18718521606255
0.016,99.40311634657776,47.47982222048627,147.01444204419153
0.0165,99.31846528166798,47.38732633406172,146.83513944497588
0.017,99.23160138670237,47.29392972907262,146.6560555278274
0.0175,99.14253059545618,47.19648326511462,146.4670720896743
0.018,99.04897827555807,47.09715618636952,146.2749640344366
0.0185,98.95551423297658,46.995876205227276,146.07974430140075
0.019,98.8575857195195,46.89167792616183,145.87806702223784
0.0195,98.75975411823379,46.785642000204966,145.67331388752484
0.02,98.65747588393135,46.67661511823217,145.46214920868402
0.0205,98.55303427809304,46.564715769313615,145.2446017141839
0.021,98.44870323710477,46.45222687810089,145.02737957519787
0.0215,98.34221820459278,46.33675194363507,144.80381368953167
0.022,98.23132452561059,46.21850639072097,144.5739344111752
0.0225,98.11829661043447,46.09851580794844,144.34109645645717
0.023,98.00088553709313,45.97474044316753,144.0986791619724
0.0235,97.88586884057172,45.8513942002239,143.85998146167805
0.024,97.76423358373579,45.72419578668701,143.61175846973435
0.0245,97.64274947369849,45.59643572084018,143.36396377378446
0.025,97.51692539885994,45.46496186126355,143.10671083201407
0.0255,97.39350600555446,45.33194374707146,142.84663030299657
0.026,97.26352385606403,45.19723785328207,142.58373929168712
0.0265,97.13371518178641,45.06106565304823,142.31805506571888
0.027,97.00407975120028,44.922308593628586,142.0463242783711
0.0275,96.86792570272375,44.78196057571344,141.77184785718197
0.028,96.73196275883753,44.63919850798748,141.49138573822935
0.0285,96.59396646742951,44.49489649606601,141.20822697032474
0.029,96.45394607959925,44.34818925809624,140.91914515627852
0.0295,96.31412866209644,44.20107021629378,140.63065515120138
0.03,96.16787065009076,44.05155754360525,140.33629286960894
0.0305,96.02183473848062,43.90061730315553,140.03932217331138
0.031,95.87381298845328,43.748433955108474,139.73976224344744
0.0315,95.72381527258425,43.5938857443805,139.43442176583793
0.032,95.56965098663146,43.43696396049699,139.12334146288126
0.0325,95.42012914216156,43.27985382985721,138.8129551847833
