energy_MeV,spectrum
0.0,0.0
0.02,8.600115723157172e-06
0.04,3.400045751015626e-05
0.06,7.520101190481619e-05
0.08,0.00013140176814219212
0.1,0.0002019027168029573
0.12,0.0002859038471221669
0.14,0.0003825051469892579
0.16,0.0004912066096761399
0.18,0.0006112082244178678
0.2,0.0007417099804494969
0.22,0.0008819118670060825
0.24,0.0010312138760139155
0.26,0.0011885159926711974
0.28,0.0013528182035217465
0.3,0.001522020480307583
0.32,0.0016919227665127463
0.34,0.0018648250930864527
0.36,0.0020730278946633506
0.38,0.0022901308160002604
0.4,0.002515633850369091
0.42,0.002748336981622425
0.44,0.002989740229944534
0.46,0.003243743647814525
0.48,0.0035058471746795823
0.5,0.0037755508038116166
0.52,0.004051154512335118
0.54,0.004336258348692341
0.56,0.004634362359979916
0.58,0.004940366477571323
0.6,0.005253770694738469
0.62,0.005573674999370792
0.64,0.0059024794237631266
0.66,0.006240583973297945
0.68,0.006585888619717267
0.7,0.006938193360329857
0.72,0.007296898187062005
0.74,0.007663403118752366
0.76,0.008037408151364086
0.78,0.00841791327144098
0.8,0.008804518473600581
0.82,0.009196323745732322
0.84,0.009596729133587223
0.86,0.010003834611598535
0.88,0.010416640166310078
0.9,0.010834945795030618
0.92,0.011256951473539029
0.94,0.011689357291991722
0.96,0.012127663189835882
0.98,0.012571269158997804
1.0,0.013019775194095012
1.02,0.013471781276288855
1.04,0.013933687491698888
1.06,0.01440059377438983
1.08,0.014872400123016057
1.1,0.01534860653084948
1.12,0.01582861298981639
1.14,0.016317019561815225
1.16,0.016809926194366873
1.18,0.01730743288881695
1.2,0.017808939637091757
1.22,0.01831424643650005
1.24,0.018826353327410374
1.26,0.01934256027349104
1.28,0.019862767273396434
1.3,0.02038667432308969
1.32,0.020914281422570822
1.34,0.021447188593369713
1.36,0.021983795813956472
1.38,0.02252370307894863
1.4,0.023066610384309332
1.42,0.023613117738112286
1.44,0.02416522516726985
1.46,0.024720632640832817
1.48,0.025279040154764326
1.5,0.025839847700990667
1.52,0.026404355297004876
1.54,0.02697346295491752
1.56,0.027545370650507474
1.58,0.028119878381083496
1.6,0.028696686142608736
1.62,0.029276693947193757
1.64,0.029860301800221027
1.66,0.030446409686888748
1.68,0.031034617601814453
1.7,0.0316247255423069
1.72,0.032217833523167885
1.74,0.03281374154170618
1.76,0.03341144958446561
1.78,0.034010957651446155
1.8,0.03461126572919165
1.82,0.03521567386210749
1.84,0.03582248202731816
1.86,0.03643089021405872
1.88,0.03704059841829232
1.9,0.037650806629254005
1.92,0.03826501489404042
1.94,0.0388807231790111
1.96,0.0394976314801292
1.98,0.040115539794703475
2.0,0.04073354811062337
2.02,0.04135565648171362
2.04,0.041978764866260045
2.06,0.042602673261571404
2.08,0.0432272816663021
2.1,0.0438518900710328
2.12,0.04447989852151451
2.14,0.04510850698006993
2.16,0.04573771544669906
2.18,0.0463670239146738
2.2,0.04699653238533978
2.22,0.04762874089233745
2.24,0.048261249403371974
2.26,0.04889405791844335
2.28,0.04952666643082349
2.3,0.05015937494454926
2.32,0.050794183486532994
2.34,0.05142899202851674
2.36,0.05206370056915486
2.38,0.05269790910306489
2.4,0.053332217638320537
2.42,0.05396842619914294
2.44,0.05460433475592848
2.46,0.055239843307331546
2.48,0.05587445184662405
2.5,0.05650926038860779
2.52,0.05714516894539333
2.54,0.05778057749545078
2.56,0.05841508603339767
2.58,0.059048394555197135
2.6,0.0596822030837247
2.62,0.06031661162032597
2.64,0.060950020143471055
2.66,0.06158242865315996
2.68,0.062213237141318975
2.7,0.06284474563889732
2.72,0.06347615413513004
2.74,0.06410636261521535
2.76,0.06473537107915324
2.78,0.06536217951348754
2.8,0.06599018796396924
2.82,0.06661749640503163
2.84,0.06724340482725535
2.86,0.06786761322660358
2.88,0.06848932159231136
2.9,0.06911282998224025
2.92,0.06973483835198487
2.94,0.07035524670019959
2.96,0.07097385502419322
2.98,0.07159006331589199
3.0,0.0722070716183557
3.02,0.0728223798979439
3.04,0.07343578815196537
3.06,0.07404709637772887
3.08,0.07465620457388876
3.1,0.07526561277408549
3.12,0.07587302094736986
3.14,0.07647842909374189
3.16,0.07708143720781907
3.18,0.07768214529094704
3.2,0.07828295337542063
3.22,0.07888166143163622
3.24,0.07947806945690263
3.26,0.08007177744583731
3.28,0.08066348540785964
3.3,0.08125449336046266
3.32,0.08184310128077084
3.34,0.08242920916743857
3.36,0.08301231701373774
3.38,0.0835936248358158
3.4,0.0841741326471289
3.42,0.08475204042345594
3.44,0.08532734816479691
3.46,0.0858994558630781
3.48,0.08646986353848377
3.5,0.08703867119235957
3.52,0.08760477880990367
3.54,0.08816798638842485
3.56,0.08872769391984939
3.58,0.08928610143378089
3.6,0.08984250892080003
3.62,0.09039591636745063
3.64,0.09094622377238708
3.66,0.09149263112484442
3.68,0.09203833846788242
3.7,0.0925816457786256
3.72,0.09312165304496338
3.74,0.09365846026824137
3.76,0.09419086743231217
3.78,0.09472337459772859
3.8,0.09525268172008523
3.82,0.09577868879803647
3.84,0.09630119582889107
3.86,0.09681960280457534
3.88,0.0973374097721859
3.9,0.09785191669539105
3.92,0.0983630235728452
3.94,0.09887033039916585
3.96,0.09937363717166178
3.98,0.09987614393339277
4.0,0.10037515064802711
4.02,0.10087045731287361
4.04,0.1013619639265866
4.06,0.10184957048782049
4.08,0.10233617703559819
4.1,0.10281908353358803
4.12,0.10329818998044438
4.14,0.10377339637482162
4.16,0.104244902719411
4.18,0.1047149090438161
4.2,0.10518111531708771
4.22,0.10564342153788021
4.24,0.10610142770081114
4.26,0.10655633382202791
4.28,0.1070091399149867
4.3,0.10745804595546637
4.32,0.10790285194077572
4.34,0.10834325786687786
4.36,0.10878076375395707
4.38,0.10921566960605023
4.4,0.10964657540431864
4.42,0.11007318114472547
4.44,0.11049498682054265
4.46,0.11091479246944748
4.48,0.11133139807529249
4.5,0.11174400362731281
4.52,0.11215220912012593
4.54,0.1125552145429669
4.56,0.11295691994831482
4.58,0.11335492530387489
4.6,0.11374863060157338
4.62,0.11413793584006467
4.64,0.11452194100723818
4.66,0.11490494616095555
4.68,0.11528375125815693
4.7,0.11565815629615112
4.72,0.11602796127224689
4.74,0.11639276618106173
4.76,0.11675627107238355
4.78,0.1171154759058438
4.8,0.11747018067875122
4.82,0.11782008538706898
4.84,0.11816539003348829
4.86,0.11850889465568648
4.88,0.1188480992200231
4.9,0.11918270372246129
4.92,0.11951250816030981
4.94,0.11983781253760552
4.96,0.12016111688798885
4.98,0.120480021179165
5.0,0.12079422540709708
5.02,0.12110352956909388
5.04,0.12140883367726597
5.06,0.1217116377517976
5.08,0.12200984176443078
5.1,0.12230344571516555
5.12,0.12259184959592816
5.14,0.12287665342824854
5.16,0.1231586572228916
5.18,0.12343606095563622
5.2,0.12370866462379118
5.22,0.12397596822062837
5.24,0.12424017177575142
5.26,0.12450117528781468
5.28,0.12475737873528826
5.3,0.12500888211951783
5.32,0.12525468542704712
5.34,0.12549818870362722
5.36,0.12573779192772816
5.38,0.1259725950872395
5.4,0.12620259818216115
5.42,0.12642670119769134
5.44,0.1266492041916916
5.46,0.1268673071264847
5.48,0.12708050999534248
5.5,0.127288812798265
5.52,0.1274913155231417
5.54,0.12769241822917968
5.56,0.1278886208692824
5.58,0.12808012344614111
5.6,0.12826662595571886
5.62,0.12844772839263327
5.64,0.1286269308039809
5.66,0.12880143315208448
5.68,0.1289710354342528
5.7,0.12913543764644897
5.72,0.12929493979270984
5.74,0.12945244191205837
5.76,0.12960494396412597
5.78,0.12975264595160393
5.8,0.1298950478677641
5.82,0.13003294972337148
5.84,0.13016845154668402
5.86,0.13029925330675252
5.88,0.13042495499819445
5.9,0.13054535661831868
5.92,0.13066185818596376
5.94,0.1307753597132403
5.96,0.13088426117861843
5.98,0.1309879625740244
6.0,0.131086263896767
6.02,0.1311812651751042
6.04,0.13127306641038164
6.06,0.13135996757972376
6.08,0.1314419686831306
6.1,0.13151826970983724
6.12,0.13159197070155776
6.14,0.1316617716407992
6.16,0.13172677251545098
6.18,0.1317865733201306
6.2,0.13184057404676439
6.22,0.13189297475186826
6.24,0.13194097539776495
6.26,0.13198397597638073
6.28,0.13202207648906125
6.3,0.13205427692235025
6.32,0.13208527733949188
6.34,0.13211127768935257
6.36,0.13213267797731487
6.38,0.13214877819395937
6.4,0.13215957833928613
6.42,0.13216887846442862
6.44,0.13217337852498143
6.46,0.13217297851959894
6.48,0.13216757844693558
6.5,0.1321570783056457
6.52,0.13214477814013467
6.54,0.13212767791003396
6.56,0.1321057776153436
6.58,0.1320786772506811
6.6,0.13204717682681139
6.62,0.13201357637468372
6.64,0.13197517585796634
6.66,0.1319319752766593
6.68,0.13188347462403455
6.7,0.1318312739216219
6.72,0.13177637318287755
6.74,0.1317169723835804
6.76,0.13165267151834795
6.78,0.13158297058045215
6.8,0.13151026960218776
6.82,0.13143446858220925
6.84,0.1313540675003323
