energy_MeV,spectrum
0.38349,0.0
0.38359,0.0
0.38369,0.020002289276925888
0.38379,0.22002519304744508
0.38389,1.870214140903283
0.38399,11.521319199575307
0.38409,50.65580112671949
0.38419,158.5681561712383
0.38429,354.46058599943404
0.38439,574.2357504184162
0.38449,698.4899776193914
0.38459,684.388362974078
0.38469,600.2987346494
0.38479,521.3296926356442
0.38489,467.2034951459726
0.38499,428.45905887934526
0.38509,396.22536809789455
0.38519,367.2420494864629
0.38529,340.6390034179991
0.38539,316.0661898126549
0.38549,293.3335869127984
0.38559,272.2711752510748
0.38569,252.73893879554475
0.38579,234.62686494968466
0.38589,217.80493882669361
0.38599,202.18315012032502
0.38609,187.67148852433215
0.38619,174.1999460227454
0.38629,161.67851230931805
0.38639,150.05718165835756
0.38649,139.2559449087557
0.38659,129.2247963348199
0.38669,119.90372906571905
0.38679,111.25273852089907
0.38689,103.2118178295288
0.38699,95.75096155596368
0.38709,88.82016697485463
0.38719,82.38943065078611
0.38729,76.41875300377664
0.38739,70.87811259634935
0.38749,65.73752499526445
0.38759,60.95697961928081
0.38769,56.52647232291635
0.38779,52.41600067087002
0.38789,48.59556522818432
0.38799,45.05515784891913
0.38809,41.77478324359901
0.38819,38.72443497646485
0.38829,35.904111047287635
0.38839,33.28381102099533
0.38849,30.853533752449426
0.38859,28.593272950914827
0.38869,26.50303461707861
0.38879,24.572812605229693
0.38889,22.772608480525083
0.38899,21.102416242277684
0.38909,19.562239890945577
0.38919,18.122074990998662
0.38929,16.79192368768998
0.38939,15.561781835537479
0.38949,14.421651289746173
0.38959,13.36152990506303
0.38969,12.381417681488047
0.38979,11.471313473882704
0.38989,10.631217282247007
0.38999,9.851127961442428
0.39009,9.131045611480424
0.39019,8.460968987211018
0.39029,7.830896243415536
0.39039,7.260831270554236
0.39049,6.730770678224116
0.39059,6.230713321286653
0.39069,5.770660944949077
0.39079,5.350612849131227
0.39089,4.950566843567516
0.39099,4.590525618580787
0.39109,4.250486883894002
0.39119,3.940451384599874
0.39129,3.650418075571336
0.39139,3.3803869568083873
0.39149,3.130358528368284
0.39159,2.9003320901708665
0.39169,2.6903080422619428
