energy_MeV,spectrum
0.005995,0.00032302144069647654
0.01199,0.0012825057200582975
0.017985,0.0028641127741278515
0.02398,0.005053722539928747
0.029975,0.007837134954127783
0.03597,0.011200049952945755
0.041965,0.015130067481077612
0.04796,0.019611087466716
0.053955,0.0246311098563399
0.05995,0.030176134587508136
0.065945,0.03623216159777952
0.07194,0.04278619082917295
0.077935,0.04982522222370735
0.08393,0.0573352557189415
0.089925,0.06530429126135442
0.09592,0.07371832878850493
0.10192,0.08256536824687198
0.10791,0.09183240957847451
0.11391,0.10151045274317175
0.1199,0.11157049761162124
0.1259,0.12202054421950366
0.13189,0.13284059247761734
0.13789,0.14402064234136142
0.14388,0.15554069372153417
0.14988,0.16740074661813564
0.15587,0.17957080089736333
0.16187,0.19206085660381803
0.16786,0.20484091360369716
0.17386,0.21791097189700084
0.17985,0.23125103139452732
0.18585,0.24486109209627654
0.19184,0.25871115386844606
0.19784,0.27281121675563674
0.20383,0.2871312806240459
0.20983,0.30167134547367375
0.21582,0.31642141125991924
0.22182,0.33137147793818167
0.22781,0.34650154541925926
0.23381,0.3618016136585513
0.2398,0.3772716826560576
0.24579,0.3928917523225766
0.25179,0.4086518226135074
0.25779,0.42455189352885
0.26378,0.4405719649794028
0.26978,0.4567020369205648
0.27577,0.4729321093077354
0.28177,0.48926218214091427
0.28776,0.5056722553309
0.29376,0.5221523288330916
0.29975,0.5386924026028883
0.30575,0.5552924766402899
0.31174,0.5719325508560952
0.31774,0.5886126252503036
0.32373,0.6053226997783147
0.32972,0.6220427743509266
0.33572,0.6387728489681392
0.34172,0.6554929235407512
0.34771,0.672212998113363
0.35371,0.6889130725967733
0.3597,0.7055831469463808
0.36569,0.722223221162186
0.37169,0.7388132951549868
0.37769,0.7553533689247836
0.38368,0.7718334424269752
0.38967,0.7882435156169609
0.39567,0.8045835884947407
0.40167,0.8208336609711128
0.40766,0.8369837330014765
0.41365,0.8530438046304327
0.41965,0.8689938757687796
0.42565,0.8848339464165171
0.43164,0.9005440164844437
0.43764,0.9161240859725595
0.44363,0.931574154880864
0.44963,0.946874223120156
0.45562,0.9620242906904353
0.46162,0.9770143575471011
0.46761,0.9918344236455525
0.47361,1.0065044890749912
0.4796,1.0210045537462156
0.4856,1.0353046175254232
0.49159,1.049404680412614
0.49759,1.0633047424077875
0.50358,1.0770048035109445
0.50958,1.090404863276076
0.51557,1.103704922595199
0.52157,1.1168049810223053
0.52756,1.129605038111386
0.53356,1.1422050943084503
0.53955,1.154505149167489
0.54555,1.1666052031345107
0.55154,1.1785052562095155
0.55754,1.1901053079464947
0.56353,1.2014053583454491
0.56953,1.2125054078523863
0.57552,1.2233054560212984
0.58152,1.233805502852185
0.58751,1.2440055483450463
0.59351,1.2540055929458909
0.5995,1.2636056357627015
0.6055,1.2730056776874952
0.61149,1.2821057182742637
0.61748,1.2908057570769982
0.62348,1.2993057949877158
0.62948,1.3074058311144
0.63547,1.315305866349067
0.64147,1.322705899353692
0.64746,1.3299059314663
0.65346,1.3368059622408826
0.65945,1.3433059912314314
0.66544,1.3494060184379464
0.67144,1.3553060447524448
0.67744,1.3608060692829091
0.68343,1.3659060920293398
0.68942,1.3707061134377452
0.69542,1.3751061330621168
0.70142,1.379206151348463
0.70741,1.3829061678507755
0.71341,1.3863061830150625
0.7194,1.3892061959493074
0.7254,1.3918062075455269
0.73139,1.3941062178037211
0.73739,1.395906225831873
0.74338,1.3974062325219998
0.74938,1.3985062374280928
0.75537,1.3992062405501517
0.76137,1.3996062423341855
0.76736,1.3995062418881772
0.77336,1.3991062401041434
0.77935,1.3982062360900676
0.78535,1.397006230737966
0.79134,1.3953062231558224
0.79734,1.3933062142356536
0.80333,1.390906203531451
0.80933,1.3880061905972059
0.81532,1.3848061763249357
0.82131,1.3811061598226233
0.82731,1.377006141536277
0.83331,1.3726061219119057
0.8393,1.3677061000574917
0.8453,1.3623060759730359
0.85129,1.3566060505505546
0.85729,1.3505060233440396
0.86328,1.3439059939074822
0.86928,1.336905962686891
0.87527,1.329505929682266
0.88127,1.3216058944475992
0.88726,1.3134058578749066
0.89325,1.3047058190721719
0.89925,1.2955057780393953
0.90525,1.2859057352225844
0.91124,1.27590569062174
0.91724,1.265505644236862
0.92323,1.2546055956219413
0.92923,1.2433055452229873
0.93522,1.2315054925939908
0.94122,1.2193054381809607
0.94721,1.206605381537888
0.95321,1.193505323110782
0.9592,1.1799052624536335
0.9652,1.165805199566443
0.97119,1.1513051348952186
0.97719,1.136305067993952
0.98318,1.1209049993086515
0.98918,1.1050049283933088
0.99517,1.088604855247924
1.0012,1.071704779872497
1.0072,1.0543047022670275
1.0132,1.036404622431516
1.0192,1.0180045403659623
1.0251,0.9990744559365639
1.0311,0.9796243691879215
1.0371,0.9596442800754343
1.0431,0.9391041884652999
1.0491,0.9180040943575182
1.0551,0.8963239976628874
1.0611,0.8740538983368069
1.0671,0.8511537962008731
1.0731,0.8276136912104853
1.0791,0.8034135832764419
1.0851,0.7785134722203393
1.0911,0.752883357908375
1.0971,0.7264832401621457
1.1031,0.6992731188032479
1.1091,0.6711729934748752
1.1151,0.6421428639986239
1.1211,0.6121027300176871
1.1271,0.580942591041456
1.1331,0.5485524465793209
1.1391,0.5147822959622693
1.145,0.4794721384766876
1.151,0.44236197296295393
1.157,0.4031617981276438
1.163,0.36144161205292086
1.169,0.3166214121519362
1.175,0.2678111944552145
1.181,0.21363095280783942
1.187,0.1516506763718057
1.193,0.07720734434973954
1.199,0.0
