radius,pp fraction,pep fraction,hep fraction,7Be fraction,8B fraction,13N fraction,15O fraction,17F fraction
0.026,1.34452868,2.03981751,0.611467101,5.73954526,12.231546,7.35208921,10.4436775,11.2931212
0.0265,1.39196326,2.10929191,0.634610467,5.91011155,12.5211227,7.53275938,10.7003239,11.5643654
0.027,1.44036315,2.18001755,0.658329655,6.08216797,12.8085913,7.7126853,10.9559128,11.8339861
0.0275,1.49360015,2.25783885,0.684401249,6.27184418,13.1275992,7.91222197,11.2393605,12.1331951
0.028,1.54211061,2.32828169,0.708457175,6.43882835,13.3935476,8.08036986,11.478219,12.3837534
0.0285,1.59328937,2.4025243,0.733886768,6.61417107,13.6714506,8.25632117,11.7281634,12.6457633
0.029,1.64790099,2.48169748,0.761050325,6.80073252,13.9667977,8.44344837,11.9939839,12.9243482
0.0295,1.7032149,2.56166868,0.788710065,6.98709919,14.2558155,8.62741644,12.2553164,13.1975388
0.03,1.74915811,2.62729884,0.812187772,7.13205288,14.4549292,8.75759997,12.4402486,13.3879272
0.0305,1.8104486,2.71572719,0.842952227,7.33650134,14.7688703,8.95801792,12.7249509,13.6851341
0.031,1.86021376,2.78658929,0.868530693,7.49096781,14.9763602,9.0945776,12.9189415,13.8842115
0.0315,1.91735554,2.8682384,0.897724922,7.67203412,15.231397,9.26066765,13.15488,14.1278157
0.032,1.97078937,2.94406146,0.925362769,7.83497325,15.4447239,9.40213232,13.3558402,14.3332925
0.0325,2.02876831,3.02639196,0.955314714,8.01266159,15.6813706,9.55850301,13.5779737,14.5609187
0.033,2.08815167,3.11051671,0.98612377,8.19239787,15.9160516,9.71444457,13.7994997,14.7872907
0.0335,2.14393445,3.18897669,1.01542774,8.35453369,16.1107812,9.8467399,13.9874349,14.9770801
0.034,2.20578283,3.27615266,1.0478068,8.5368079,16.3384799,9.99994862,14.2050796,15.1980874
0.0345,2.25835751,3.34924678,1.07597505,8.67963878,16.4851693,10.1042977,14.3533185,15.3442537
0.035,2.32106157,3.43705793,1.10917064,8.85794546,16.6935959,10.2472237,14.5563568,15.5484184
0.0355,2.37907857,3.51760005,1.14034213,9.01468188,16.8556961,10.3624874,14.7201019,15.7100168
0.036,2.43841615,3.59977444,1.17235462,9.17282579,17.0149444,10.4767549,14.8824333,15.8695269
0.0365,2.48958039,3.6695741,1.20064164,9.29682621,17.1058766,10.5496579,14.9860076,15.965852
0.037,2.56322719,3.77216078,1.23999345,9.50101498,17.3384493,10.7107266,15.2148246,16.1949855
0.0375,2.62426161,3.85575812,1.2734902,9.65427331,17.4723043,10.811741,15.3583276,16.3327117
0.038,2.67883463,3.92958701,1.30407321,9.78022017,17.5518529,10.8798288,15.4550617,16.4201639
0.0385,2.74495453,4.02001373,1.34049914,9.94461467,17.6951351,10.9881844,15.6089981,16.5678203
0.039,2.7954643,4.08723202,1.3695292,10.0488414,17.7267635,11.0279022,15.6654347,16.6114851
0.0395,2.8663758,4.18392396,1.40878504,10.2227109,17.8759918,11.1415223,15.8268519,16.7658874
0.04,2.93115266,4.27124351,1.44528769,10.3705364,17.9744484,11.2244025,15.9446035,16.8734842
0.0405,2.99162086,4.35191266,1.47990966,10.4992572,18.0350773,11.2843938,16.0298427,16.9461574
0.041,3.06695412,4.4538077,1.52215036,10.676018,18.1729146,11.3935099,16.1848637,17.092009
0.0415,3.11962229,4.52239762,1.55340287,10.7699582,18.1656096,11.4123075,16.2115881,17.1019162
0.042,3.19044031,4.61693015,1.59394151,10.9227986,18.2529525,11.4912184,16.323704,17.2013497
0.0425,3.23527682,4.67350362,1.62174168,10.9831511,18.1823649,11.4712874,16.2954133,17.1524617
0.043,3.30837358,4.77054854,1.6639403,11.1358445,18.2601429,11.5456979,16.4011398,17.2441457
0.0435,3.38332248,4.86981336,1.70736865,11.2902993,18.3360923,11.619812,16.5064465,17.3348807
0.044,3.4381273,4.93967562,1.74091613,11.37368,18.2931285,11.6191247,16.5054948,17.3136252
0.0445,3.50748369,5.03006316,1.78208164,11.5014285,18.3175517,11.6619402,16.566343,17.3567618
0.045,3.57121025,5.11195975,1.82067588,11.6067967,18.3027392,11.6803936,16.5925842,17.3632448
0.0455,3.62436941,5.17835663,1.85414009,11.674357,18.2254163,11.659439,16.5628455,17.3108222
0.046,3.71741897,5.30129893,1.9083078,11.8660123,18.3370164,11.7601348,16.7059207,17.438462
0.0465,3.75045589,5.33824148,1.93195948,11.8624948,18.1455552,11.6667626,16.5733106,17.2781896
0.047,3.82591963,5.43523397,1.9776956,11.9898987,18.1506257,11.7003949,16.6211188,17.3055909
0.0475,3.90550047,5.53758508,2.02589723,12.1257543,18.1649762,11.7406811,16.6783817,17.3424737
0.048,3.96402967,5.60963736,2.0634952,12.1923504,18.0733401,11.7128272,16.638848,17.2784644
0.0485,4.00639737,5.65848436,2.09291152,12.2063282,17.9022032,11.6337238,16.5265126,17.1387078
0.049,4.09764396,5.77594419,2.14814897,12.3652766,17.9397121,11.690893,16.6077638,17.1992536
0.0495,4.17418637,5.87213971,2.19606258,12.4753104,17.9039165,11.7007686,16.6218325,17.1900206
0.05,4.20653266,5.90578969,2.22098545,12.4502979,17.6740169,11.5837976,16.4557061,16.9944294
0.0505,4.28334628,6.00151169,2.26963139,12.5536385,17.6232424,11.5847362,16.4570805,16.9714561
0.051,4.34652768,6.07767466,2.31137997,12.6132967,17.5097562,11.5447862,16.400372,16.8885025
0.0515,4.40425801,6.14581198,2.35051696,12.6538678,17.3684989,11.4867936,16.3180342,16.7790666
0.052,4.51548627,6.28805873,2.4185859,12.8434629,17.4281375,11.5623254,16.4253814,16.8642727
0.0525,4.51778078,6.27821087,2.42860768,12.7206784,17.0666644,11.3578402,16.134938,16.5414971
0.053,4.6197737,6.40656368,2.49246053,12.8752954,17.0728793,11.3988621,16.1932626,16.5757147
0.0535,4.64485915,6.42783141,2.51513931,12.8126912,16.7929654,11.24849,15.9796941,16.3319713
0.054,4.73822037,6.54318579,2.57506626,12.9349596,16.7521113,11.2588559,15.9944726,16.3212266
0.0545,4.82160031,6.64417932,2.62999949,13.0257674,16.6701139,11.2416438,15.9700765,16.2705837
0.055,4.84450895,6.66147237,2.6522236,12.9508451,16.3779937,11.0822136,15.7436431,16.0144386
0.0555,4.9303027,6.76486146,2.70913956,13.040882,16.2918132,11.0626253,15.7158733,15.9600606
0.056,4.98853148,6.82994559,2.7512665,13.0547344,16.1114276,10.9788395,15.5969039,15.8133151
