E_min_MeV,E_max_MeV,N
8.4,8.45,0.0041439619198699
8.45,8.5,0.0040572536183689
8.5,8.55,0.0039703056376059
8.55,8.6,0.003883157540376
8.6,8.65,0.0037958493185587
8.65,8.7,0.0037084213931173
8.7,8.75,0.0036209146140996
8.75,8.8,0.0035333702606373
8.8,8.85,0.0034458300409467
8.85,8.9,0.0033583360923277
8.9,8.95,0.0032709309811649
8.95,9.0,0.0031836577029268
9.0,9.05,0.003096559682166
9.05,9.1,0.0030096807725195
9.1,9.15,0.0029230652567085
9.15,9.2,0.0028367578465381
9.2,9.25,0.0027508036828977
9.25,9.3,0.002665248335761
9.3,9.35,0.0025801378041858
9.35,9.4,0.002495518516314
9.4,9.45,0.0024114373293717
9.45,9.5,0.0023279415296693
9.5,9.55,0.0022450788326013
9.55,9.6,0.0021628973826462
9.6,9.65,0.002081445753367
9.65,9.7,0.0020007729474106
9.7,9.75,0.0019209283965083
9.75,9.8,0.0018419619614753
9.8,9.85,0.0017639239322114
9.85,9.9,0.0016868650277
9.9,9.95,0.0016108363960092
9.95,10.0,0.0015358896142909
10.0,10.05,0.0014620766887816
10.05,10.1,0.0013894500548014
10.1,10.15,0.0013180625767551
10.15,10.2,0.0012479675481315
10.2,10.25,0.0011792186915034
10.25,10.3,0.0011118701585279
10.3,10.35,0.0010459765299464
10.35,10.4,0.0009815928155843
10.4,10.45,0.0009187744543513
10.45,10.5,0.0008575773142413
10.5,10.55,0.000798057692332
10.55,10.6,0.0007402723147859
10.6,10.65,0.0006842783368492
10.65,10.7,0.0006301333428523
10.7,10.75,0.0005778953462101
10.75,10.8,0.0005276227894214
10.8,10.85,0.0004793745440693
10.85,10.9,0.0004332099108209
10.9,10.95,0.0003891886194276
10.95,11.0,0.0003473708287252
11.0,11.05,0.0003078171266331
11.05,11.1,0.0002705885301556
11.1,11.15,0.0002357464853805
11.15,11.2,0.0002033528674802
11.2,11.25,0.0001734699807112
11.25,11.3,0.000146160558414
11.3,11.35,0.0001214877630135
11.35,11.4,9.951518601875744e-05
11.4,11.45,8.030684802274259e-05
11.45,11.5,6.392719870285296e-05
