E_min_MeV,E_max_MeV,N
0.0,0.05,0.0
0.05,0.1,0.0
0.1,0.15,0.0
0.15,0.2,0.0
0.2,0.25,0.0
0.25,0.3,0.0
0.3,0.35,0.0
0.35,0.4,0.0
0.4,0.45,0.0
0.45,0.5,0.0
0.5,0.55,0.0
0.55,0.6,0.0
0.6,0.65,0.0
0.65,0.7,0.0
0.7,0.75,0.0672213610188169
0.75,0.8,0.0627563338116237
0.8,0.85,0.0584682197159078
0.85,0.9,0.0536276264206612
0.9,0.95,0.0478095100433695
0.95,1.0,0.0417838741713499
1.0,1.05,0.03700547274764
1.05,1.1,0.0339526982982848
1.1,1.15,0.0320114422240851
1.15,1.2,0.0306998979431788
1.2,1.25,0.0302371541945763
1.25,1.3,0.0310757309348846
1.3,1.35,0.0331047749560718
1.35,1.4,0.035221662546897
1.4,1.45,0.03573284271387
1.45,1.5,0.0335866053354006
1.5,1.55,0.0293180273693756
1.55,1.6,0.0245768671357941
1.6,1.65,0.0208223877766783
1.65,1.7,0.0184367383759949
1.7,1.75,0.0168885108567319
1.75,1.8,0.0154083574769036
1.8,1.85,0.0135542183027977
1.85,1.9,0.0114177765359148
1.9,1.95,0.0093765582084578
1.95,2.0,0.0078181383014586
2.0,2.05,0.0069069037064166
2.05,2.1,0.0065711914932386
2.1,2.15,0.0065996416890482
2.15,2.2,0.0067608476863752
2.2,2.25,0.0068800697457332
2.25,2.3,0.0069158839655902
2.3,2.35,0.0069540583388863
2.35,2.4,0.0071692589553616
2.4,2.45,0.0077369827009826
2.45,2.5,0.0087272332308718
2.5,2.55,0.0100401184576894
2.55,2.6,0.0113793979120526
2.6,2.65,0.0123379982880736
2.65,2.7,0.0125378889860447
2.7,2.75,0.0118025069283398
2.75,2.8,0.0102302067994775
2.8,2.85,0.0081667582258436
2.85,2.9,0.0060378726769389
2.9,2.95,0.0041829370338384
2.95,3.0,0.0027757099534605
3.0,3.05,0.0018207255719152
3.05,3.1,0.0012277722903063
3.1,3.15,0.0008714959309775
3.15,3.2,0.000655638707359
3.2,3.25,0.0005113560606919
3.25,3.3,0.0004040063935333
3.3,3.35,0.0003179637197495
3.35,3.4,0.0002475993038527
3.4,3.45,0.0001906045608664
3.45,3.5,0.0001478174387615
3.5,3.55,0.0001154772650104
3.55,3.6,9.207963525728337e-05
3.6,3.65,7.541973893868482e-05
3.65,3.7,6.347307091494024e-05
3.7,3.75,5.493460748668681e-05
3.75,3.8,4.866753035485772e-05
3.8,3.85,4.4127086330785775e-05
3.85,3.9,4.096826911294183e-05
3.9,3.95,3.853144161782479e-05
3.95,4.0,3.6480583520097154e-05
4.0,4.05,3.474700397580441e-05
4.05,4.1,3.3174354715930685e-05
4.1,4.15,3.146934001611381e-05
4.15,4.2,2.97271650006066e-05
4.2,4.25,2.797709077699719e-05
4.25,4.3,2.5886387950402525e-05
4.3,4.35,2.3778640582099543e-05
4.35,4.4,2.1752786937889246e-05
4.4,4.45,1.9526642602777287e-05
4.45,4.5,1.7381031190810184e-05
4.5,4.55,1.5380837746430883e-05
4.55,4.6,1.3250708680169629e-05
4.6,4.65,1.1323165759809495e-05
4.65,4.7,9.57919792389803e-06
4.7,4.75,7.803735641478099e-06
4.75,4.8,6.300992563466237e-06
4.8,4.85,4.958788204733788e-06
4.85,4.9,3.841619532028694e-06
4.9,4.95,2.896368290070536e-06
4.95,5.0,2.171639521123963e-06
5.0,5.05,1.5806426469477548e-06
5.05,5.1,1.1640426171302511e-06
5.1,5.15,8.461450104650684e-07
5.15,5.2,6.550119538835791e-07
5.2,5.25,5.140531762509718e-07
5.25,5.3,4.15972767351219e-07
5.3,5.35,3.699170056038658e-07
5.35,5.4,3.295512266251275e-07
5.4,5.45,3.122359730181429e-07
5.45,5.5,2.9359773888531977e-07
5.5,5.55,2.8723083364019853e-07
5.55,5.6,2.643518717208645e-07
5.6,5.65,2.8569544280061094e-07
5.65,5.7,2.6802731095606544e-07
5.7,5.75,2.66586722778847e-07
5.75,5.8,2.6034778573571284e-07
5.8,5.85,2.685993386742768e-07
5.85,5.9,2.6103669217020495e-07
5.9,5.95,2.7537359436186764e-07
5.95,6.0,2.5937945826417537e-07
6.0,6.05,2.7279109841384956e-07
6.05,6.1,2.8059593763870116e-07
6.1,6.15,2.7399331622336025e-07
6.15,6.2,2.7749369262173386e-07
6.2,6.25,2.7572035863429216e-07
6.25,6.3,2.73422622341865e-07
6.3,6.35,2.650553967079437e-07
6.35,6.4,2.6832175780306493e-07
6.4,6.45,2.6775153788900805e-07
6.45,6.5,2.5805999008865284e-07
6.5,6.55,2.449277640776985e-07
6.55,6.6,2.206661932080736e-07
6.6,6.65,2.3259604729591267e-07
6.65,6.7,2.1894800981728842e-07
6.7,6.75,2.1825890930252762e-07
6.75,6.8,2.153942587516529e-07
6.8,6.85,2.0748025496332975e-07
