E_min_MeV,E_max_MeV,N
0.0,0.05,0.0
0.05,0.1,0.0
0.1,0.15,0.0
0.15,0.2,0.0
0.2,0.25,0.0
0.25,0.3,0.0
0.3,0.35,0.0
0.35,0.4,0.0
0.4,0.45,0.0
0.45,0.5,0.0
0.5,0.55,0.0
0.55,0.6,0.0
0.6,0.65,0.0
0.65,0.7,0.0
0.7,0.75,0.0043971854349639
0.75,0.8,0.0055783088784759
0.8,0.85,0.0073723571121099
0.85,0.9,0.0085332653419972
0.9,0.95,0.0099626596287957
0.95,1.0,0.0104701171186678
1.0,1.05,0.012748399601765
1.05,1.1,0.0137730363517601
1.1,1.15,0.0147654566853786
1.15,1.2,0.0150693217073743
1.2,1.25,0.0156776998069494
1.25,1.3,0.0160991747429197
1.3,1.35,0.0173586820076664
1.35,1.4,0.0169107257599354
1.4,1.45,0.0168919096720939
1.45,1.5,0.0170130454954216
1.5,1.55,0.0164497821786296
1.55,1.6,0.0162118053049605
1.6,1.65,0.015771266109574
1.65,1.7,0.0148694546226074
1.7,1.75,0.0142223523924208
1.75,1.8,0.0141419663416517
1.8,1.85,0.0133226424036184
1.85,1.9,0.0128563139673908
1.9,1.95,0.0121603743808013
1.95,2.0,0.0117122692301256
2.0,2.05,0.0104803305495855
2.05,2.1,0.0101432423774671
2.1,2.15,0.0095140674999358
2.15,2.2,0.0091429301877744
2.2,2.25,0.0085858814618105
2.25,2.3,0.0081524849252916
2.3,2.35,0.0071337008102241
2.35,2.4,0.007227405714332
2.4,2.45,0.0067304599295155
2.45,2.5,0.0062539971963251
2.5,2.55,0.0056458962997165
2.55,2.6,0.0053004639437105
2.6,2.65,0.0051523893300779
2.65,2.7,0.0044760660675961
2.7,2.75,0.0041413027480592
2.75,2.8,0.0038960078565513
2.8,2.85,0.0039378282787429
2.85,2.9,0.0034772192608146
2.9,2.95,0.003262203408532
2.95,3.0,0.0027407527878354
3.0,3.05,0.0029276746813703
3.05,3.1,0.0026402880178077
3.1,3.15,0.0026355029888994
3.15,3.2,0.0022875156362951
3.2,3.25,0.00217885816069
3.25,3.3,0.0019072109598156
3.3,3.35,0.0019236406204302
3.35,3.4,0.0016332940425915
3.4,3.45,0.0015858698594194
3.45,3.5,0.0015860616070794
3.5,3.55,0.0014904625217218
3.55,3.6,0.0012230946416413
3.6,3.65,0.0012282825981723
3.65,3.7,0.0012318664532468
3.7,3.75,0.0012230361106095
3.75,3.8,0.0009472671544786
3.8,3.85,0.0009346150866537
3.85,3.9,0.0010187912558532
3.9,3.95,0.0009759871026109
3.95,4.0,0.0009529302659254
4.0,4.05,0.0008940927071534
4.05,4.1,0.0010283217466924
4.1,4.15,0.0008746297928799
4.15,4.2,0.0008423176782665
4.2,4.25,0.0007711418950619
4.25,4.3,0.0007792786449728
4.3,4.35,0.0007912518113604
4.35,4.4,0.0008983075852814
4.4,4.45,0.0008656716770003
4.45,4.5,0.0008983421771211
4.5,4.55,0.0010427208487533
4.55,4.6,0.0012925754246972
4.6,4.65,0.0013948011593464
4.65,4.7,0.0016765357152963
4.7,4.75,0.0019516600106434
4.75,4.8,0.0022160529925038
4.8,4.85,0.0024543382076482
4.85,4.9,0.0025845585153531
4.9,4.95,0.0025840673229346
4.95,5.0,0.0027246897656037
5.0,5.05,0.0026293101716152
5.05,5.1,0.0030184193200159
5.1,5.15,0.0030998987304583
5.15,5.2,0.0029950460060417
5.2,5.25,0.0031442341140224
5.25,5.3,0.003269547648273
5.3,5.35,0.0034816964164959
5.35,5.4,0.003555349993868
5.4,5.45,0.0039613301268629
5.45,5.5,0.0044220831311293
5.5,5.55,0.0047118974277651
5.55,5.6,0.004970591008939
5.6,5.65,0.0052141597032582
5.65,5.7,0.0061429113852745
5.7,5.75,0.0063621349163681
5.75,5.8,0.0072981631762526
5.8,5.85,0.0082520775829461
5.85,5.9,0.0085408153768458
5.9,5.95,0.0091709454808154
5.95,6.0,0.0097201941273631
6.0,6.05,0.0109644130866144
6.05,6.1,0.0114932601567323
6.1,6.15,0.0124722043055988
6.15,6.2,0.0135142308592534
6.2,6.25,0.0140510756095508
6.25,6.3,0.0147213373983837
6.3,6.35,0.0147930720944106
6.35,6.4,0.0157538585124808
6.4,6.45,0.0157501237644063
6.45,6.5,0.0152854220226133
6.5,6.55,0.0156203562527631
6.55,6.6,0.015454359437206
6.6,6.65,0.0152889348210154
6.65,6.7,0.0140440303463201
6.7,6.75,0.0130483716077764
6.75,6.8,0.0120112307564047
6.8,6.85,0.0109272360482343
6.85,6.9,0.01024432125508
6.9,6.95,0.0096508587353901
6.95,7.0,0.0090100357142905
7.0,7.05,0.0082869077610767
7.05,7.1,0.0079106393845473
7.1,7.15,0.0074301469068824
7.15,7.2,0.0074696970274141
7.2,7.25,0.0067872851328846
7.25,7.3,0.0065796896106843
7.3,7.35,0.0062192531758732
