E_min_MeV,E_max_MeV,N
0.0,0.05,0.0
0.05,0.1,0.0
0.1,0.15,0.0
0.15,0.2,0.0
0.2,0.25,0.0
0.25,0.3,0.0
0.3,0.35,0.0
0.35,0.4,0.0
0.4,0.45,0.0
0.45,0.5,0.0
0.5,0.55,0.0
0.55,0.6,0.0
0.6,0.65,0.0
0.65,0.7,0.0
0.7,0.75,0.0722124616218271
0.75,0.8,0.06617568118568
0.8,0.85,0.0607464397071131
0.85,0.9,0.0549647021993694
0.9,0.95,0.0483967199673434
0.95,1.0,0.0419192644882989
1.0,1.05,0.0369291813421304
1.05,1.1,0.033715729987733
1.1,1.15,0.0316150862873906
1.15,1.2,0.0302064339578757
1.2,1.25,0.0297451884481066
1.25,1.3,0.0306587896180607
1.3,1.35,0.0327117311337075
1.35,1.4,0.0346817665211626
1.4,1.45,0.0348890894701703
1.45,1.5,0.0324628773835558
1.5,1.55,0.028143226966941
1.55,1.6,0.0236259910863552
1.6,1.65,0.0202196934426571
1.65,1.7,0.0181232543730616
1.7,1.75,0.0167023843610486
1.75,1.8,0.0151939792951572
1.8,1.85,0.0132545123665539
1.85,1.9,0.0110643425918275
1.9,1.95,0.0090488787140151
1.95,2.0,0.0075789358913112
2.0,2.05,0.0067719422099156
2.05,2.1,0.0065211280115025
2.1,2.15,0.0065990015726827
2.15,2.2,0.0067637308062579
2.2,2.25,0.0068531465705528
2.25,2.3,0.0068507627720796
2.3,2.35,0.0068578153486832
2.35,2.4,0.0070762776888432
2.4,2.45,0.0076739854345859
2.45,2.5,0.0087145200669713
2.5,2.55,0.0100722199914308
2.55,2.6,0.0114142572257677
2.6,2.65,0.0123197378520497
2.65,2.7,0.0123982402430006
2.7,2.75,0.0115152794555116
2.75,2.8,0.0098257868903072
2.8,2.85,0.0077099365781081
2.85,2.9,0.0056095473865766
2.9,2.95,0.0038373444149445
2.95,3.0,0.0025310542627187
3.0,3.05,0.0016659111644919
3.05,3.1,0.001136530340733
3.1,3.15,0.0008208736528082
3.15,3.2,0.0006257360292219
3.2,3.25,0.000491544604696
3.25,3.3,0.0003876151744633
3.3,3.35,0.000303456320292
3.35,3.4,0.0002347949811777
3.4,3.45,0.0001808778644572
3.45,3.5,0.000139564280228
3.5,3.55,0.0001092225877055
3.55,3.6,8.755243481622196e-05
3.6,3.65,7.1622411332768e-05
3.65,3.7,6.040821001338801e-05
3.7,3.75,5.2620184868353794e-05
3.75,3.8,4.68629392582551e-05
3.8,3.85,4.277626010762216e-05
3.85,3.9,3.9764048786686565e-05
3.9,3.95,3.746599867556697e-05
3.95,4.0,3.578150965381469e-05
4.0,4.05,3.424417733680715e-05
4.05,4.1,3.2605896049670664e-05
4.1,4.15,3.109950966074234e-05
4.15,4.2,2.9319155955678146e-05
4.2,4.25,2.757681490337709e-05
4.25,4.3,2.5829797266173164e-05
4.3,4.35,2.3915135378410133e-05
4.35,4.4,2.1921984015195643e-05
4.4,4.45,1.9994707113795217e-05
4.45,4.5,1.7970799337862406e-05
4.5,4.55,1.5899506189258618e-05
4.55,4.6,1.3987367657526722e-05
4.6,4.65,1.2156184911958313e-05
4.65,4.7,1.052528843330659e-05
4.7,4.75,8.951812992102341e-06
4.75,4.8,7.525876963714723e-06
4.8,4.85,6.253452237462149e-06
4.85,4.9,5.256641032538596e-06
4.9,4.95,4.378855058717e-06
4.95,5.0,3.704396531885314e-06
5.0,5.05,3.18737511173521e-06
5.05,5.1,2.8153370376051017e-06
5.1,5.15,2.519120149161544e-06
5.15,5.2,2.321399053680198e-06
5.2,5.25,2.2009342756933277e-06
5.25,5.3,2.066709401942409e-06
5.3,5.35,2.0422067477145703e-06
5.35,5.4,1.9459757999573726e-06
5.4,5.45,1.9265262705845653e-06
5.45,5.5,1.9214214653978503e-06
5.5,5.55,1.8755426170648323e-06
5.55,5.6,1.8412333551509485e-06
5.6,5.65,1.8487347025345588e-06
5.65,5.7,1.8470822742585032e-06
5.7,5.75,1.8421402839057144e-06
5.75,5.8,1.8497862691433795e-06
5.8,5.85,1.8267744186054212e-06
5.85,5.9,1.8202223096644517e-06
5.9,5.95,1.8891244370156052e-06
5.95,6.0,1.862403233711938e-06
6.0,6.05,1.846164510018675e-06
6.05,6.1,1.8735667444534451e-06
6.1,6.15,1.925113183975646e-06
6.15,6.2,1.9236216188683875e-06
6.2,6.25,1.926193870454348e-06
6.25,6.3,1.9244109863294005e-06
6.3,6.35,1.949574514051761e-06
6.35,6.4,1.8909171528419109e-06
6.4,6.45,1.8561952975466023e-06
6.45,6.5,1.81969044058502e-06
6.5,6.55,1.7938484687267049e-06
6.55,6.6,1.7583337648277888e-06
6.6,6.65,1.6962278260495032e-06
6.65,6.7,1.6677357097953603e-06
6.7,6.75,1.6376495887916926e-06
6.75,6.8,1.5941152538485069e-06
6.8,6.85,1.5785785178389674e-06
