E_min_MeV,E_max_MeV,N
0.0,0.05,0.0
0.05,0.1,0.0
0.1,0.15,0.0
0.15,0.2,0.0
0.2,0.25,0.0
0.25,0.3,0.0
0.3,0.35,0.0
0.35,0.4,0.0
0.4,0.45,0.0
0.45,0.5,0.0
0.5,0.55,0.0
0.55,0.6,0.0
0.6,0.65,0.0
0.65,0.7,0.0
0.7,0.75,0.0670203764606568
0.75,0.8,0.0625106254467137
0.8,0.85,0.0582644359492415
0.85,0.9,0.0534718599770944
0.9,0.95,0.0476362086237824
0.95,1.0,0.0416210932273999
1.0,1.05,0.0369194922247199
1.05,1.1,0.033960523747004
1.1,1.15,0.0320513255053646
1.15,1.2,0.0307083500125343
1.2,1.25,0.0301918332816874
1.25,1.3,0.0310081757759951
1.3,1.35,0.0330593725537239
1.35,1.4,0.0352033283505715
1.4,1.45,0.0356817322957469
1.45,1.5,0.0334323409550499
1.5,1.55,0.0290684188960605
1.55,1.6,0.0243348114369751
1.6,1.65,0.0206913637679996
1.65,1.7,0.0184528602274839
1.7,1.75,0.0170154897572198
1.75,1.8,0.0155535178303809
1.8,1.85,0.0136504559768209
1.85,1.9,0.0114300781105261
1.9,1.95,0.0093364728512117
1.95,2.0,0.0077671602986248
2.0,2.05,0.006874095303368
2.05,2.1,0.0065747397585712
2.1,2.15,0.0066403664645318
2.15,2.2,0.0068235981870845
2.2,2.25,0.0069401468616381
2.25,2.3,0.0069555937433212
2.3,2.35,0.0069651531905686
2.35,2.4,0.0071595381691627
2.4,2.45,0.0077295644346202
2.45,2.5,0.0087704591897673
2.5,2.55,0.0101753627165532
2.55,2.6,0.0116292699880299
2.6,2.65,0.0126800569195991
2.65,2.7,0.0129170578250537
2.7,2.75,0.0121357336068945
2.75,2.8,0.0104552198206706
2.8,2.85,0.0082658362524101
2.85,2.9,0.0060359775279607
2.9,2.95,0.0041291487793676
2.95,3.0,0.0027110338137915
3.0,3.05,0.0017693973058099
3.05,3.1,0.0011939138858498
3.1,3.15,0.0008553661274581
3.15,3.2,0.0006486475632896
3.2,3.25,0.0005089105933737
3.25,3.3,0.0004028138230473
3.3,3.35,0.0003159533666784
3.35,3.4,0.0002441194329232
3.4,3.45,0.0001878481667206
3.45,3.5,0.0001449674219549
3.5,3.55,0.0001134613023158
3.55,3.6,9.054902681089617e-05
3.6,3.65,7.448980511548905e-05
3.65,3.7,6.275401669441964e-05
3.7,3.75,5.431927826267605e-05
3.75,3.8,4.841747882508052e-05
3.8,3.85,4.422205107632696e-05
3.85,3.9,4.12676137921462e-05
3.9,3.95,3.90502557663869e-05
3.95,4.0,3.721939238996688e-05
4.0,4.05,3.5457731575061736e-05
4.05,4.1,3.402067614073521e-05
4.1,4.15,3.239901252347878e-05
4.15,4.2,3.061723829631512e-05
4.2,4.25,2.8935608351005476e-05
4.25,4.3,2.7101386609533944e-05
4.3,4.35,2.5149556656648696e-05
4.35,4.4,2.3157503658032613e-05
4.4,4.45,2.1033858094115817e-05
4.45,4.5,1.902059780709275e-05
4.5,4.55,1.6864115372722226e-05
4.55,4.6,1.4756891875260176e-05
4.6,4.65,1.2882234568664302e-05
4.65,4.7,1.1037215529475522e-05
4.7,4.75,9.344530804115984e-06
4.75,4.8,7.740993807529333e-06
4.8,4.85,6.523374719128635e-06
4.85,4.9,5.334303083418172e-06
4.9,4.95,4.3892270775829375e-06
4.95,5.0,3.6497800767620894e-06
5.0,5.05,3.0313763166640336e-06
5.05,5.1,2.595654569483785e-06
5.1,5.15,2.320961419018844e-06
5.15,5.2,2.083196124998912e-06
5.2,5.25,1.9080795067687324e-06
5.25,5.3,1.7967978254002137e-06
5.3,5.35,1.7189466332699196e-06
5.35,5.4,1.6644284160031646e-06
5.4,5.45,1.6405327505470554e-06
5.45,5.5,1.6049883095343494e-06
5.5,5.55,1.5844507417756331e-06
5.55,5.6,1.5565247556665209e-06
5.6,5.65,1.5470619576516273e-06
5.65,5.7,1.5667055218824529e-06
5.7,5.75,1.5345810139644757e-06
5.75,5.8,1.4903122410663616e-06
5.8,5.85,1.540513747125474e-06
5.85,5.9,1.5435099382093465e-06
5.9,5.95,1.5293359396655514e-06
5.95,6.0,1.5775466756658193e-06
6.0,6.05,1.5467918668524765e-06
6.05,6.1,1.5446954218301893e-06
6.1,6.15,1.602472946514996e-06
6.15,6.2,1.6244280915153734e-06
6.2,6.25,1.5992450037510569e-06
6.25,6.3,1.5744771678953678e-06
6.3,6.35,1.585653377512693e-06
6.35,6.4,1.5913550375741924e-06
6.4,6.45,1.5274231887863344e-06
6.45,6.5,1.5042025939576069e-06
6.5,6.55,1.4689355937445173e-06
6.55,6.6,1.4500785909667049e-06
6.6,6.65,1.38667170001608e-06
6.65,6.7,1.3815238152664528e-06
6.7,6.75,1.346860704127434e-06
6.75,6.8,1.3129766449269365e-06
