E_min_MeV,E_max_MeV,N
8.1,8.15,4.847976467175207e-06
8.15,8.2,4.547965356568469e-06
8.2,8.25,4.2665200676188505e-06
8.25,8.3,4.002491677097784e-06
8.3,8.35,3.7548023614893614e-06
8.35,8.4,3.5224409970713595e-06
8.4,8.45,3.304459032279796e-06
8.45,8.5,3.0999666155073288e-06
8.5,8.55,2.908128962527948e-06
8.55,8.6,2.7281629487193e-06
8.6,8.65,2.5593339121711248e-06
8.65,8.7,2.400952654629386e-06
8.7,8.75,2.2523726280334142e-06
8.75,8.8,2.11298729516065e-06
8.8,8.85,1.98222765360479e-06
8.85,8.9,1.8595599129794195e-06
8.9,8.95,1.7444833158651168e-06
8.95,9.0,1.6365280936046105e-06
9.0,9.05,1.5352535486009834e-06
9.05,9.1,1.4402462552906068e-06
9.1,9.15,1.3511183724465926e-06
9.15,9.2,1.2675060599233307e-06
9.2,9.25,1.1890679933788514e-06
9.25,9.3,1.1154839709117654e-06
9.3,9.35,1.0464536059248126e-06
9.35,9.4,9.81695100878923e-07
9.4,9.45,9.209440969320143e-07
9.45,9.5,8.639525947665172e-07
9.5,9.55,8.104879422001442e-07
9.55,9.6,7.603318844471405e-07
9.6,9.65,7.132796731529699e-07
9.65,9.7,6.691392305652757e-07
9.7,9.75,6.277303654291381e-07
9.75,9.8,5.888840374056655e-07
9.8,9.85,5.524416670111571e-07
9.85,9.9,5.182544882598496e-07
9.9,9.95,4.861829413675514e-07
9.95,10.0,4.560961030371006e-07
10.0,10.05,4.278711519998906e-07
10.05,10.1,4.013928676317186e-07
10.1,10.15,3.765531595961762e-07
10.15,10.2,3.532506265954842e-07
10.2,10.25,3.313901424275006e-07
10.25,10.3,3.108824676590777e-07
10.3,10.35,2.916438853305401e-07
10.35,10.4,2.7359585920415477e-07
10.4,10.45,2.5666471316146975e-07
10.45,10.5,2.4078133044076076e-07
10.5,10.55,2.2588087148680266e-07
10.55,10.6,2.1190250926115813e-07
10.6,10.65,1.98789180932476e-07
10.65,10.7,1.864873549331212e-07
10.7,10.75,1.7494681243123074e-07
10.75,10.8,1.641204423261005e-07
10.8,10.85,1.5396404893002984e-07
10.85,10.9,1.444361715515488e-07
10.9,10.95,1.354979152435071e-07
10.95,11.0,1.271127920251205e-07
11.0,11.05,1.1924657192979089e-07
11.05,11.1,1.1186714327065197e-07
11.1,11.15,1.049443815534141e-07
11.15,11.2,9.845002650137257e-08
11.2,11.25,9.235756669057864e-08
11.25,11.3,8.664213132421817e-08
11.3,11.35,8.128038870440312e-08
11.35,11.4,7.625045098691173e-08
11.4,11.45,7.153178483006519e-08
11.45,11.5,6.710512757299001e-08
11.5,11.55,6.295240860108676e-08
11.55,11.6,5.9056675577698986e-08
11.6,11.65,5.540202524084804e-08
11.65,11.7,5.197353848252552e-08
11.7,11.75,4.8757219445525246e-08
11.75,11.8,4.5739938389193856e-08
11.8,11.85,4.2909378090863446e-08
11.85,11.9,4.025398356416828e-08
11.9,11.95,3.77629148889797e-08
11.95,12.0,3.542600296040508e-08
