E_min_MeV,E_max_MeV,N
0.0,0.05,0.0
0.05,0.1,0.0
0.1,0.15,0.0
0.15,0.2,0.0
0.2,0.25,0.0
0.25,0.3,0.0
0.3,0.35,0.0
0.35,0.4,0.0
0.4,0.45,0.0
0.45,0.5,0.0
0.5,0.55,0.0
0.55,0.6,0.0
0.6,0.65,0.0
0.65,0.7,0.0
0.7,0.75,0.0664644950770569
0.75,0.8,0.0621752592498516
0.8,0.85,0.0580357559649006
0.85,0.9,0.0533036803826606
0.9,0.95,0.0475280041978937
0.95,1.0,0.0415728864809883
1.0,1.05,0.036926472395806
1.05,1.1,0.0339972000904889
1.1,1.15,0.0321233245041154
1.15,1.2,0.0308496946124657
1.2,1.25,0.0304392934939281
1.25,1.3,0.0313551866579749
1.3,1.35,0.033473736366705
1.35,1.4,0.0355913081608508
1.4,1.45,0.0359660666933051
1.45,1.5,0.0336283971782302
1.5,1.55,0.0292075760178115
1.55,1.6,0.0244447214419733
1.6,1.65,0.0207714752872076
1.65,1.7,0.0184871294553509
1.7,1.75,0.0169905075606209
1.75,1.8,0.0154862282900407
1.8,1.85,0.0135711731825396
1.85,1.9,0.0113703623574625
1.9,1.95,0.0093112339938588
1.95,2.0,0.0077695357788248
2.0,2.05,0.0068959612687121
2.05,2.1,0.006599819502426
2.1,2.15,0.0066535011242707
2.15,2.2,0.0068225096252926
2.2,2.25,0.006938361236151
2.25,2.3,0.0069611632332285
2.3,2.35,0.0069929100270813
2.35,2.4,0.0072269372326688
2.4,2.45,0.0078332488703965
2.45,2.5,0.0088836581336106
2.5,2.55,0.0102599619024246
2.55,2.6,0.0116398356049386
2.6,2.65,0.0125927319625091
2.65,2.7,0.0127253234403895
2.7,2.75,0.0118799984344363
2.75,2.8,0.0101984317412083
2.8,2.85,0.0080574359499332
2.85,2.9,0.0059021742181299
2.9,2.95,0.0040635948776755
2.95,3.0,0.0026948104595589
3.0,3.05,0.0017780507761683
3.05,3.1,0.0012118756072053
3.1,3.15,0.0008723621262309
3.15,3.2,0.0006624967181217
3.2,3.25,0.000518742952094
3.25,3.3,0.0004090623956185
3.3,3.35,0.0003206497094782
3.35,3.4,0.0002483657722186
3.4,3.45,0.000191477749137
3.45,3.5,0.0001478906451219
3.5,3.55,0.0001157893649359
3.55,3.6,9.250844681015944e-05
3.6,3.65,7.55414653842923e-05
3.65,3.7,6.351897067825396e-05
3.7,3.75,5.484955054808633e-05
3.75,3.8,4.882125032405641e-05
3.8,3.85,4.454029622845905e-05
3.85,3.9,4.111704640747231e-05
3.9,3.95,3.8668633602486487e-05
3.95,4.0,3.678504681263765e-05
4.0,4.05,3.499148891982875e-05
4.05,4.1,3.324749713351863e-05
4.1,4.15,3.1402786117738906e-05
4.15,4.2,2.97219274233295e-05
4.2,4.25,2.7705321798470076e-05
4.25,4.3,2.562044781849346e-05
4.3,4.35,2.3531582832319637e-05
4.35,4.4,2.1609574900838736e-05
4.4,4.45,1.933893305583468e-05
4.45,4.5,1.7221736383226925e-05
4.5,4.55,1.5075313018869836e-05
4.55,4.6,1.3039053289512997e-05
4.6,4.65,1.1009556592364308e-05
4.65,4.7,9.225489564709478e-06
4.7,4.75,7.616333346527195e-06
4.75,4.8,6.069706676099889e-06
4.8,4.85,4.736655391769344e-06
4.85,4.9,3.6841719948636658e-06
4.9,4.95,2.7825500799128107e-06
4.95,5.0,2.042796396144264e-06
5.0,5.05,1.4633575747552545e-06
5.05,5.1,1.0889997815446964e-06
5.1,5.15,7.923372011426152e-07
5.15,5.2,6.037197090331648e-07
5.2,5.25,4.943652050798461e-07
5.25,5.3,4.087181908622878e-07
5.3,5.35,3.387710024329251e-07
5.35,5.4,3.142711908267457e-07
5.4,5.45,2.973603466505834e-07
5.45,5.5,2.79291986989809e-07
5.5,5.55,2.843031508695904e-07
5.55,5.6,2.490970937991694e-07
5.6,5.65,2.518693002560316e-07
5.65,5.7,2.546244718860247e-07
5.7,5.75,2.409981761410096e-07
5.75,5.8,2.47665149082841e-07
5.8,5.85,2.447908540953256e-07
5.85,5.9,2.495683456876266e-07
5.9,5.95,2.591151458632929e-07
5.95,6.0,2.549769790950144e-07
6.0,6.05,2.6693754651685095e-07
6.05,6.1,2.715959889399485e-07
6.1,6.15,2.6176269650369044e-07
6.15,6.2,2.671731088080797e-07
6.2,6.25,2.730998747066692e-07
6.25,6.3,2.648819259575868e-07
6.3,6.35,2.5302761387852786e-07
6.35,6.4,2.530871380664489e-07
6.4,6.45,2.417468805426649e-07
6.45,6.5,2.3697416822040246e-07
6.5,6.55,2.227723701234728e-07
6.55,6.6,2.277230839104593e-07
6.6,6.65,2.1570208846235122e-07
6.65,6.7,2.1702165643115038e-07
6.7,6.75,2.1368641799572278e-07
6.75,6.8,1.8112663522643526e-07
6.8,6.85,1.952176074285154e-07
6.85,6.9,1.9775414009681914e-07
