radius_km,radius_fraction,mass_density_g_cm3,electron_fraction,electron_density_mol_cm3,neutron_density_mol_cm3,depth_km
0.0,0.0,13.059957173447538,0.467,6.099,6.960957173447537,6371.0
6.371,0.001,13.059948353319058,0.467,6.0989958810000005,6.960952472319057,6364.629
12.742,0.002,13.05992189293362,0.467,6.098983524,6.960938368933618,6358.258
19.113,0.003,13.05987779229122,0.467,6.098962929,6.960914863291219,6351.887
25.484,0.004,13.059816051391861,0.467,6.098934096,6.960881955391861,6345.516
31.855,0.005,13.059736670235546,0.467,6.098897025,6.960839645235545,6339.1449999999995
38.226,0.006,13.05963964882227,0.467,6.098851716,6.960787932822268,6332.774
44.597,0.007,13.059524987152034,0.467,6.098798169,6.960726818152033,6326.403
50.968,0.008,13.05939268522484,0.467,6.098736384,6.960656301224838,6320.032
57.339000000000006,0.009000000000000001,13.059242743040684,0.467,6.098666361,6.960576382040684,6313.661
63.71,0.01,13.059075160599573,0.467,6.098588100000001,6.960487060599571,6307.29
70.08099999999999,0.011,13.0588899379015,0.467,6.098501601000001,6.960388336901498,6300.919
76.452,0.012,13.058687074946466,0.467,6.098406864,6.960280210946466,6294.548
82.82300000000001,0.013000000000000001,13.058466571734476,0.467,6.098303889,6.960162682734475,6288.177
89.194,0.014,13.058228428265524,0.467,6.098192676,6.960035752265523,6281.806
95.565,0.015,13.057972644539614,0.467,6.098073225,6.959899419539613,6275.4349999999995
101.936,0.016,13.057699220556744,0.467,6.097945536,6.959753684556744,6269.064
108.307,0.017,13.057408156316917,0.467,6.0978096090000005,6.959598547316916,6262.693
114.67800000000001,0.018000000000000002,13.057099451820129,0.467,6.097665444,6.9594340078201276,6256.322
121.04899999999999,0.019,13.05677310706638,0.467,6.097513041,6.9592600660663795,6249.951
127.42,0.02,13.056429122055674,0.467,6.0973524,6.959076722055673,6243.58
133.791,0.021,13.056067496788007,0.467,6.097183521,6.958883975788007,6237.209
140.16199999999998,0.022,13.055688231263384,0.467,6.097006404,6.958681827263383,6230.838
146.533,0.023,13.055291325481798,0.467,6.096821049,6.958470276481798,6224.467
152.904,0.024,13.054876779443255,0.467,6.096627456,6.958249323443254,6218.096
159.275,0.025,13.054444593147752,0.467,6.096425625,6.9580189681477504,6211.724999999999
165.64600000000002,0.026000000000000002,13.053994766595288,0.467,6.096215556,6.957779210595287,6205.354
172.017,0.027,13.053527299785866,0.467,6.095997249,6.9575300507858655,6198.983
178.388,0.028,13.053042192719486,0.467,6.095770704,6.957271488719485,6192.612
184.75900000000001,0.029,13.052539445396146,0.467,6.095535921000001,6.9570035243961446,6186.241
191.13,0.03,13.052019057815846,0.467,6.0952929000000005,6.956726157815845,6179.87
197.501,0.031,13.051481029978586,0.467,6.095041641,6.956439388978585,6173.499
203.872,0.032,13.050925361884367,0.467,6.094782144,6.9561432178843665,6167.128
210.24300000000002,0.033,13.05035205353319,0.467,6.094514409,6.955837644533189,6160.757
216.614,0.034,13.049761104925054,0.467,6.094238436,6.955522668925052,6154.3859999999995
222.985,0.035,13.049152516059957,0.467,6.093954225,6.955198291059956,6148.014999999999
229.35600000000002,0.036000000000000004,13.048526286937902,0.467,6.093661776,6.954864510937901,6141.644
235.72699999999998,0.037,13.047882417558887,0.467,6.093361089,6.954521328558886,6135.273
242.09799999999998,0.038,13.047220907922913,0.467,6.093052164,6.954168743922912,6128.902
248.469,0.039,13.046541758029978,0.467,6.092735001,6.9538067570299775,6122.531
254.84,0.04,13.045844967880084,0.467,6.0924096,6.9534353678800835,6116.16
261.211,0.041,13.045130537473232,0.467,6.092075961,6.953054576473232,6109.789
267.582,0.042,13.044398466809422,0.467,6.0917340840000005,6.952664382809421,6103.418
273.95300000000003,0.043000000000000003,13.04364875588865,0.467,6.091383969,6.95226478688865,6097.047
280.32399999999996,0.044,13.04288140471092,0.467,6.0910256160000005,6.95185578871092,6090.6759999999995
286.695,0.045,13.04209641327623,0.467,6.090659025,6.951437388276229,6084.304999999999
293.066,0.046,13.041293781584582,0.467,6.090284196,6.951009585584581,6077.933999999999
299.437,0.047,13.040473509635975,0.467,6.089901129,6.950572380635974,6071.563
305.808,0.048,13.039635597430406,0.467,6.089509824,6.950125773430406,6065.192
312.17900000000003,0.049,13.03878004496788,0.467,6.089110281,6.949669763967878,6058.821
318.55,0.05,13.037906852248394,0.467,6.0887025,6.949204352248393,6052.45
324.92100000000005,0.051000000000000004,13.037016019271947,0.467,6.088286481,6.948729538271947,6046.079
331.29200000000003,0.052000000000000005,13.036107546038544,0.467,6.087862224,6.9482453220385425,6039.708
337.663,0.053,13.03518143254818,0.467,6.087429729,6.947751703548179,6033.3369999999995
344.034,0.054,13.034237678800856,0.467,6.0869889960000005,6.947248682800855,6026.965999999999
350.40500000000003,0.055,13.033276284796575,0.467,6.086540025000001,6.946736259796573,6020.594999999999
356.776,0.056,13.032297250535331,0.467,6.086082816,6.946214434535331,6014.223999999999
363.147,0.057,13.03130057601713,0.467,6.085617369,6.9456832070171295,6007.853
369.51800000000003,0.058,13.030286261241969,0.467,6.085143684,6.945142577241969,6001.482
375.889,0.059000000000000004,13.02925430620985,0.467,6.0846617610000004,6.944592545209849,5995.111
382.26,0.06,13.028204710920772,0.467,6.0841716,6.9440331109207705,5988.74
388.631,0.061,13.027137475374731,0.467,6.083673201,6.943464274374731,5982.369000000001
395.002,0.062,13.026052599571733,0.467,6.083166564,6.942886035571733,5975.998
401.373,0.063,13.024950083511778,0.467,6.082651689,6.942298394511776,5969.627
407.744,0.064,13.02382992719486,0.467,6.082128576000001,6.94170135119486,5963.255999999999
414.115,0.065,13.022692130620985,0.467,6.081597225,6.941094905620984,5956.885
