radius,electron_density_mol_cm3,neutron_density_mol_cm3
0.001,101.9811723028768,50.13625654843168
0.00819005,101.9811723028768,50.16813103475502
0.00831693,101.96943196236258,50.1552737147112
0.00844579,101.9576929734272,50.14241836401462
0.00857666,101.9459553359151,50.129564982404816
0.00870957,101.93421904967056,50.113173264572765
0.00884456,101.9201372896315,50.09917047558994
0.00898165,101.9060574749251,50.08517027308105
0.00912087,101.89197960528264,50.06763324817061
0.00926227,101.8779036804354,50.05009937936123
0.00940589,101.8638297001147,50.03610758567044
0.00955174,101.84741251371436,50.0174280760493
0.00969987,101.83099797323857,49.99521428695482
0.00985031,101.81458607826092,49.98008102066848
0.0100031,101.798176828355,49.95787585748482
0.0101583,101.78177022309455,49.93921262207115
0.0103159,101.76302305487722,49.91940392190827
0.010476,101.74427933969784,49.8996000918045
0.0106385,101.7255390769204,49.87626498067891
0.0108037,101.7068022659091,49.85293547030472
0.0109714,101.68572747866877,49.83199962084521
0.0111417,101.6646570583601,49.807534645755936
0.0113147,101.64359100407836,49.78307636782847
0.0114904,101.62252931491862,49.75862478548712
0.0116688,101.599132556562,49.73303473852917
0.0118501,101.57574118488802,49.70391931573664
0.0120342,101.55235519865624,49.67834544320118
0.0122212,101.52663683250744,49.64810388240821
0.0124111,101.5009249795937,49.61787242006653
0.012604,101.4752196382654,49.58765105328124
0.0127999,101.44718487222414,49.55629869007558
0.0129989,101.41915785140496,49.52495783369815
0.0132011,101.38880398330365,49.4924888607203
0.0134064,101.35845919984992,49.4600328557444
0.0136149,101.32812349832471,49.42406155345128
0.0138268,101.29779687601015,49.38810442871434
0.0140419,101.26281589780294,49.3498887780452
0.0142605,101.23017788366138,49.31282616572912
0.0144825,101.19522025619383,49.27111913013647
0.014708,101.16027470057826,49.22943104258013
0.0149371,101.12301274242144,49.19015360091064
0.0151698,101.08343695060134,49.14624037704817
0.0154062,101.04387664727632,49.09882735753155
0.0156463,101.00433182638504,49.05496066242728
0.0158902,100.96247770814198,49.00646726316998
0.0161379,100.91831717650425,48.95687315666029
0.0163896,100.87417596048364,48.90730787369464
0.0166453,100.827732380567,48.856646421050186
0.0169051,100.78131018378528,48.80249867759875
0.0171689,100.73258987999118,48.74726142061459
0.017437,100.68389312885776,48.69205960934588
0.0177094,100.63058560256472,48.63465346410888
0.017986,100.57730630017382,48.57377464297372
0.0182671,100.52405520674202,48.51293856819655
0.0185527,100.46620556105432,48.44991396162888
0.0188428,100.40838920671668,48.383427880514205
0.0191376,100.34829549307544,48.31587997627668
0.019437,100.2859285496718,48.247274878110574
0.0197413,100.22360036762042,48.175220476295664
0.0200504,100.15669843020976,48.10101019968053
0.0203646,100.08984115163408,48.02686591801413
0.0206837,100.02072541325406,47.94818140314541
0.021008,99.94935595638128,47.868466812885
0.0213375,99.873437977253,47.78662725133566
