 #     R_sun        mass_sun           L_sun            logR            logT            logP          logRho          Csound              dm           nu_pp          nu_pep          nu_hep          nu_7Be           nu_8B          nu_13N          nu_15O          nu_17F          log_ne              H1             He4             He3             C12             C13             N14             N15             O16             O17             O18              Ne              Na              Mg              Al              Si               P               S              Cl              Ar               K              Ca              Sc              Ti               V              Cr              Mn              Fe              Co              Ni
   5.000e-03     1.32891e-05     1.13166e-04     8.54157e+00     7.19221e+00     1.73601e+01     2.17487e+00     5.05071e+07     4.00057e-06      5.05788e-02      7.96617e-02      2.09240e-02      2.47510e-01      6.14800e-01      3.90537e-01      5.26374e-01      5.73857e-01     2.00272e+00     3.47453e-01     6.32839e-01     8.24351e-06     1.16284e-05     3.24864e-06     5.38394e-03     1.14352e-07     7.41381e-03     5.20229e-04     1.90157e-05     2.39611e-03     3.76883e-05     7.24019e-04     6.10576e-05     9.18665e-04     6.69374e-06     3.89680e-04     5.30069e-06     1.03952e-04     4.63627e-06     7.89921e-05     4.44086e-08     3.50516e-06     3.32462e-07     2.40241e-05     1.52955e-05     1.48785e-03     4.41607e-06     8.57562e-05
   5.500e-03     1.76835e-05     1.50557e-04     8.58297e+00     7.19216e+00     1.73599e+01     2.17469e+00     5.05084e+07     4.83879e-06      6.11798e-02      9.63340e-02      2.53250e-02      2.99066e-01      7.41989e-01      4.71353e-01      6.35298e-01      6.92568e-01     2.00259e+00     3.47608e-01     6.32683e-01     8.25557e-06     1.16258e-05     3.24792e-06     5.38394e-03     1.14354e-07     7.41495e-03     5.19092e-04     1.90158e-05     2.39611e-03     3.76883e-05     7.24018e-04     6.10575e-05     9.18664e-04     6.69373e-06     3.89680e-04     5.30068e-06     1.03952e-04     4.63627e-06     7.89920e-05     4.44085e-08     3.50516e-06     3.32461e-07     2.40241e-05     1.52955e-05     1.48784e-03     4.41606e-06     8.57561e-05
   6.000e-03     2.29522e-05     1.95370e-04     8.62076e+00     7.19211e+00     1.73598e+01     2.17451e+00     5.05097e+07     5.75623e-06      7.27841e-02      1.14574e-01      3.01488e-02      3.55373e-01      8.80557e-01      5.59404e-01      7.53972e-01      8.21890e-01     2.00246e+00     3.47778e-01     6.32514e-01     8.26879e-06     1.16229e-05     3.24714e-06     5.38393e-03     1.14357e-07     7.41621e-03     5.17849e-04     1.90159e-05     2.39612e-03     3.76882e-05     7.24019e-04     6.10574e-05     9.18663e-04     6.69372e-06     3.89679e-04     5.30067e-06     1.03952e-04     4.63626e-06     7.89919e-05     4.44084e-08     3.50515e-06     3.32461e-07     2.40241e-05     1.52955e-05     1.48783e-03     4.41606e-06     8.57559e-05
   6.500e-03     2.91733e-05     2.48264e-04     8.65551e+00     7.19205e+00     1.73596e+01     2.17430e+00     5.05112e+07     6.75214e-06      8.53828e-02      1.34366e-01      3.53930e-02      4.16354e-01      1.03022e+00      6.54510e-01      8.82161e-01      9.61556e-01     2.00231e+00     3.47963e-01     6.32329e-01     8.28317e-06     1.16199e-05     3.24629e-06     5.38393e-03     1.14360e-07     7.41757e-03     5.16503e-04     1.90160e-05     2.39613e-03     3.76883e-05     7.24021e-04     6.10576e-05     9.18665e-04     6.69373e-06     3.89680e-04     5.30069e-06     1.03952e-04     4.63627e-06     7.89921e-05     4.44085e-08     3.50516e-06     3.32462e-07     2.40241e-05     1.52955e-05     1.48783e-03     4.41607e-06     8.57561e-05
   7.000e-03     3.64255e-05     3.09899e-04     8.68770e+00     7.19199e+00     1.73594e+01     2.17408e+00     5.05127e+07     7.82698e-06      9.89818e-02      1.55716e-01      4.10623e-02      4.81999e-01      1.19085e+00      7.56600e-01      1.01976e+00      1.11146e+00     2.00217e+00     3.48162e-01     6.32129e-01     8.29872e-06     1.16166e-05     3.24537e-06     5.38392e-03     1.14363e-07     7.41901e-03     5.15051e-04     1.90161e-05     2.39614e-03     3.76883e-05     7.24023e-04     6.10576e-05     9.18666e-04     6.69374e-06     3.89680e-04     5.30069e-06     1.03952e-04     4.63627e-06     7.89921e-05     4.44086e-08     3.50516e-06     3.32462e-07     2.40241e-05     1.52955e-05     1.48783e-03     4.41607e-06     8.57562e-05
   7.500e-03     4.47872e-05     3.80931e-04     8.71766e+00     7.19192e+00     1.73592e+01     2.17385e+00     5.05144e+07     8.98009e-06      1.13573e-01      1.78609e-01      4.71550e-02      5.52232e-01      1.36217e+00      8.65487e-01      1.16652e+00      1.27131e+00     2.00200e+00     3.48376e-01     6.31916e-01     8.31544e-06     1.16129e-05     3.24437e-06     5.38390e-03     1.14367e-07     7.42055e-03     5.13497e-04     1.90161e-05     2.39614e-03     3.76884e-05     7.24023e-04     6.10577e-05     9.18667e-04     6.69375e-06     3.89681e-04     5.30070e-06     1.03953e-04     4.63628e-06     7.89922e-05     4.44086e-08     3.50517e-06     3.32462e-07     2.40242e-05     1.52955e-05     1.48783e-03     4.41607e-06     8.57563e-05
   8.000e-03     5.43361e-05     4.62008e-04     8.74569e+00     7.19185e+00     1.73590e+01     2.17359e+00     5.05163e+07     1.02114e-05      1.29156e-01      2.03040e-01      5.36730e-02      6.27007e-01      1.54394e+00      9.81033e-01      1.32226e+00      1.44091e+00     2.00181e+00     3.48605e-01     6.31687e-01     8.33333e-06     1.16087e-05     3.24321e-06     5.38370e-03     1.14366e-07     7.42195e-03     5.11823e-04     1.90156e-05     2.39607e-03     3.76871e-05     7.24000e-04     6.10557e-05     9.18637e-04     6.69353e-06     3.89668e-04     5.30052e-06     1.03949e-04     4.63613e-06     7.89897e-05     4.44072e-08     3.50505e-06     3.32452e-07     2.40234e-05     1.52951e-05     1.48778e-03     4.41593e-06     8.57535e-05
   8.500e-03     6.51498e-05     5.53776e-04     8.77202e+00     7.19178e+00     1.73587e+01     2.17332e+00     5.05182e+07     1.15204e-05      1.45726e-01      2.28997e-01      6.06164e-02      7.06251e-01      1.73586e+00      1.10305e+00      1.48671e+00      1.61998e+00     2.00163e+00     3.48849e-01     6.31444e-01     8.35239e-06     1.16042e-05     3.24195e-06     5.38347e-03     1.14364e-07     7.42341e-03     5.10046e-04     1.90148e-05     2.39599e-03     3.76858e-05     7.23975e-04     6.10535e-05     9.18604e-04     6.69329e-06     3.89654e-04     5.30033e-06     1.03945e-04     4.63596e-06     7.89868e-05     4.44056e-08     3.50493e-06     3.32440e-07     2.40225e-05     1.52945e-05     1.48773e-03     4.41577e-06     8.57504e-05
   9.000e-03     7.73058e-05     6.56880e-04     8.79684e+00     7.19170e+00     1.73585e+01     2.17303e+00     5.05202e+07     1.29071e-05      1.63282e-01      2.56478e-01      6.79876e-02      7.89919e-01      1.93771e+00      1.23141e+00      1.65971e+00      1.80829e+00     2.00141e+00     3.49107e-01     6.31186e-01     8.37263e-06     1.16001e-05     3.24085e-06     5.38359e-03     1.14371e-07     7.42544e-03     5.08201e-04     1.90154e-05     2.39605e-03     3.76868e-05     7.23995e-04     6.10552e-05     9.18630e-04     6.69348e-06     3.89665e-04     5.30048e-06     1.03948e-04     4.63609e-06     7.89890e-05     4.44068e-08     3.50503e-06     3.32449e-07     2.40232e-05     1.52949e-05     1.48777e-03     4.41590e-06     8.57528e-05
   9.500e-03     9.08812e-05     7.71956e-04     8.82033e+00     7.19161e+00     1.73582e+01     2.17273e+00     5.05224e+07     1.43713e-05      1.81822e-01      2.85473e-01      7.57879e-02      8.77945e-01      2.14920e+00      1.36590e+00      1.84099e+00      2.00559e+00     2.00120e+00     3.49379e-01     6.30913e-01     8.39406e-06     1.15955e-05     3.23958e-06     5.38357e-03     1.14375e-07     7.42740e-03     5.06246e-04     1.90155e-05     2.39606e-03     3.76870e-05     7.24000e-04     6.10555e-05     9.18633e-04     6.69351e-06     3.89667e-04     5.30050e-06     1.03949e-04     4.63611e-06     7.89894e-05     4.44070e-08     3.50504e-06     3.32450e-07     2.40233e-05     1.52950e-05     1.48777e-03     4.41592e-06     8.57532e-05
