 #     R_sun        mass_sun           L_sun            logR            logT            logP          logRho          Csound              dm           nu_pp          nu_pep          nu_hep          nu_7Be           nu_8B          nu_13N          nu_15O          nu_17F          log_ne              H1             He4             He3             C12             C13             N14             N15             O16             O17             O18              Ne              Na              Mg              Al              Si               P               S              Cl              Ar               K              Ca              Sc              Ti               V              Cr              Mn              Fe              Co              Ni
   5.000e-03     1.31680e-05     1.11037e-04     8.54158e+00     7.18839e+00     1.73584e+01     2.17089e+00     5.06433e+07     3.96425e-06      5.11959e-02      8.01352e-02      2.17396e-02      2.50799e-01      6.21019e-01      3.70002e-01      5.21825e-01      5.71832e-01     2.00296e+00     3.60333e-01     6.23049e-01     9.23960e-06     8.77533e-06     2.52287e-06     4.25272e-03     9.04822e-08     6.32987e-03     3.83058e-04     1.61964e-05     1.98278e-03     3.66227e-05     7.05166e-04     6.21271e-05     7.77490e-04     7.13199e-06     3.87476e-04     5.15073e-06     8.02367e-05     4.10869e-06     6.68533e-05     4.21696e-08     3.25271e-06     3.97457e-07     1.89756e-05     1.38703e-05     1.38065e-03     3.73739e-06     7.95794e-05
   5.500e-03     1.75226e-05     1.47726e-04     8.58297e+00     7.18834e+00     1.73583e+01     2.17072e+00     5.06445e+07     4.79485e-06      6.19240e-02      9.69034e-02      2.63099e-02      3.03026e-01      7.49456e-01      4.46572e-01      6.29814e-01      6.90114e-01     2.00284e+00     3.60485e-01     6.22897e-01     9.25242e-06     8.77351e-06     2.52234e-06     4.25275e-03     9.04849e-08     6.33076e-03     3.82221e-04     1.61965e-05     1.98280e-03     3.66228e-05     7.05171e-04     6.21273e-05     7.77493e-04     7.13201e-06     3.87477e-04     5.15075e-06     8.02370e-05     4.10871e-06     6.68536e-05     4.21698e-08     3.25272e-06     3.97458e-07     1.89757e-05     1.38703e-05     1.38065e-03     3.73740e-06     7.95797e-05
   6.000e-03     2.27434e-05     1.91700e-04     8.62075e+00     7.18829e+00     1.73581e+01     2.17055e+00     5.06457e+07     5.70379e-06      7.36645e-02      1.15245e-01      3.13175e-02      3.60049e-01      8.89344e-01      5.29984e-01      7.47455e-01      8.18945e-01     2.00272e+00     3.60651e-01     6.22730e-01     9.26648e-06     8.77153e-06     2.52180e-06     4.25283e-03     9.04886e-08     6.33179e-03     3.81310e-04     1.61969e-05     1.98283e-03     3.66234e-05     7.05183e-04     6.21283e-05     7.77505e-04     7.13213e-06     3.87483e-04     5.15083e-06     8.02383e-05     4.10877e-06     6.68546e-05     4.21705e-08     3.25277e-06     3.97464e-07     1.89760e-05     1.38706e-05     1.38067e-03     3.73746e-06     7.95810e-05
   6.500e-03     2.89082e-05     2.43604e-04     8.65552e+00     7.18823e+00     1.73580e+01     2.17034e+00     5.06471e+07     6.69092e-06      8.64155e-02      1.35153e-01      3.67631e-02      4.21828e-01      1.04048e+00      6.20121e-01      8.74576e-01      9.58140e-01     2.00257e+00     3.60832e-01     6.22550e-01     9.28177e-06     8.76902e-06     2.52109e-06     4.25273e-03     9.04888e-08     6.33262e-03     3.80307e-04     1.61965e-05     1.98279e-03     3.66225e-05     7.05167e-04     6.21268e-05     7.77487e-04     7.13195e-06     3.87474e-04     5.15071e-06     8.02364e-05     4.10867e-06     6.68530e-05     4.21695e-08     3.25269e-06     3.97455e-07     1.89755e-05     1.38702e-05     1.38063e-03     3.73737e-06     7.95791e-05
   7.000e-03     3.60949e-05     3.04088e-04     8.68771e+00     7.18817e+00     1.73578e+01     2.17013e+00     5.06485e+07     7.75625e-06      1.00177e-01      1.56627e-01      4.26486e-02      4.88324e-01      1.20268e+00      7.16880e-01      1.01104e+00      1.10753e+00     2.00242e+00     3.61027e-01     6.22355e-01     9.29830e-06     8.76640e-06     2.52035e-06     4.25267e-03     9.04900e-08     6.33360e-03     3.79230e-04     1.61964e-05     1.98277e-03     3.66221e-05     7.05158e-04     6.21260e-05     7.77477e-04     7.13186e-06     3.87469e-04     5.15064e-06     8.02354e-05     4.10862e-06     6.68522e-05     4.21689e-08     3.25265e-06     3.97450e-07     1.89753e-05     1.38701e-05     1.38061e-03     3.73732e-06     7.95781e-05
   7.500e-03     4.43808e-05     3.73792e-04     8.71767e+00     7.18811e+00     1.73576e+01     2.16989e+00     5.06501e+07     8.89911e-06      1.14942e-01      1.79649e-01      4.89721e-02      5.59457e-01      1.37563e+00      8.20077e-01      1.15659e+00      1.26682e+00     2.00226e+00     3.61238e-01     6.22145e-01     9.31607e-06     8.76353e-06     2.51953e-06     4.25256e-03     9.04904e-08     6.33458e-03     3.78073e-04     1.61960e-05     1.98273e-03     3.66212e-05     7.05142e-04     6.21246e-05     7.77459e-04     7.13170e-06     3.87460e-04     5.15053e-06     8.02335e-05     4.10853e-06     6.68507e-05     4.21680e-08     3.25258e-06     3.97441e-07     1.89748e-05     1.38697e-05     1.38057e-03     3.73724e-06     7.95763e-05
   8.000e-03     5.38435e-05     4.53359e-04     8.74570e+00     7.18803e+00     1.73573e+01     2.16964e+00     5.06518e+07     1.01194e-05      1.30707e-01      2.04216e-01      5.57353e-02      6.35174e-01      1.55910e+00      9.29586e-01      1.31103e+00      1.43582e+00     2.00207e+00     3.61462e-01     6.21921e-01     9.33509e-06     8.76059e-06     2.51869e-06     4.25250e-03     9.04921e-08     6.33571e-03     3.76846e-04     1.61959e-05     1.98270e-03     3.66208e-05     7.05135e-04     6.21239e-05     7.77451e-04     7.13162e-06     3.87456e-04     5.15047e-06     8.02327e-05     4.10848e-06     6.68499e-05     4.21675e-08     3.25254e-06     3.97437e-07     1.89746e-05     1.38696e-05     1.38056e-03     3.73720e-06     7.95754e-05
   8.500e-03     6.45598e-05     5.43421e-04     8.77203e+00     7.18796e+00     1.73571e+01     2.16938e+00     5.06536e+07     1.14170e-05      1.47472e-01      2.30320e-01      6.29396e-02      7.15425e-01      1.75284e+00      1.04526e+00      1.47416e+00      1.61428e+00     2.00189e+00     3.61700e-01     6.21683e-01     9.35535e-06     8.75754e-06     2.51784e-06     4.25250e-03     9.04950e-08     6.33700e-03     3.75550e-04     1.61960e-05     1.98271e-03     3.66209e-05     7.05138e-04     6.21241e-05     7.77453e-04     7.13164e-06     3.87457e-04     5.15048e-06     8.02329e-05     4.10849e-06     6.68501e-05     4.21676e-08     3.25255e-06     3.97438e-07     1.89747e-05     1.38696e-05     1.38057e-03     3.73721e-06     7.95756e-05
   9.000e-03     7.66061e-05     6.44608e-04     8.79684e+00     7.18788e+00     1.73569e+01     2.16910e+00     5.06554e+07     1.27909e-05      1.65224e-01      2.57938e-01      7.05817e-02      8.00097e-01      1.95645e+00      1.16686e+00      1.64567e+00      1.80185e+00     2.00168e+00     3.61953e-01     6.21430e-01     9.37687e-06     8.75382e-06     2.51677e-06     4.25223e-03     9.04926e-08     6.33796e-03     3.74156e-04     1.61950e-05     1.98260e-03     3.66188e-05     7.05096e-04     6.21205e-05     7.77408e-04     7.13123e-06     3.87435e-04     5.15018e-06     8.02282e-05     4.10826e-06     6.68462e-05     4.21652e-08     3.25236e-06     3.97415e-07     1.89736e-05     1.38688e-05     1.38047e-03     3.73699e-06     7.95710e-05
   9.500e-03     9.00596e-05     7.57551e-04     8.82033e+00     7.18779e+00     1.73566e+01     2.16881e+00     5.06574e+07     1.42423e-05      1.83979e-01      2.87091e-01      7.86708e-02      8.89213e-01      2.16987e+00      1.29437e+00      1.82550e+00      1.99847e+00     2.00149e+00     3.62220e-01     6.21163e-01     9.39964e-06     8.75045e-06     2.51581e-06     4.25225e-03     9.04963e-08     6.33942e-03     3.72715e-04     1.61951e-05     1.98261e-03     3.66191e-05     7.05102e-04     6.21210e-05     7.77414e-04     7.13129e-06     3.87438e-04     5.15023e-06     8.02289e-05     4.10829e-06     6.68468e-05     4.21655e-08     3.25239e-06     3.97418e-07     1.89737e-05     1.38689e-05     1.38049e-03     3.73702e-06     7.95717e-05
