 #     R_sun        mass_sun           L_sun            logR            logT            logP          logRho          Csound              dm           nu_pp          nu_pep          nu_hep          nu_7Be           nu_8B          nu_13N          nu_15O          nu_17F          log_ne              H1             He4             He3             C12             C13             N14             N15             O16             O17             O18              Ne              Na              Mg              Al              Si               P               S              Cl              Ar               K              Ca              Sc              Ti               V              Cr              Mn              Fe              Co              Ni
   5.000e-03     1.31237e-05     1.10411e-04     8.54157e+00     7.18746e+00     1.73576e+01     2.16943e+00     5.06780e+07     3.95083e-06      5.12440e-02      8.00891e-02      2.18921e-02      2.51153e-01      6.21504e-01      3.66311e-01      5.19947e-01      5.70390e-01     2.00255e+00     3.63576e-01     6.20481e-01     9.49728e-06     8.31592e-06     2.39095e-06     4.04701e-03     8.61414e-08     6.37986e-03     3.72363e-04     1.63520e-05     1.47906e-03     3.68412e-05     7.09375e-04     6.24982e-05     7.82128e-04     7.17447e-06     3.89789e-04     5.18144e-06     8.45194e-05     4.13330e-06     6.72519e-05     4.34098e-08     3.34838e-06     3.99823e-07     1.95327e-05     1.42786e-05     1.35726e-03     3.75978e-06     8.00546e-05
   5.500e-03     1.74637e-05     1.46894e-04     8.58297e+00     7.18742e+00     1.73574e+01     2.16926e+00     5.06791e+07     4.77881e-06      6.19843e-02      9.68508e-02      2.64951e-02      3.03463e-01      7.50065e-01      4.42137e-01      6.27577e-01      6.88403e-01     2.00242e+00     3.63727e-01     6.20330e-01     9.51028e-06     8.31410e-06     2.39043e-06     4.04701e-03     8.61433e-08     6.38068e-03     3.71548e-04     1.63520e-05     1.47907e-03     3.68412e-05     7.09374e-04     6.24980e-05     7.82126e-04     7.17446e-06     3.89788e-04     5.18143e-06     8.45192e-05     4.13329e-06     6.72517e-05     4.34097e-08     3.34838e-06     3.99822e-07     1.95327e-05     1.42785e-05     1.35725e-03     3.75978e-06     8.00544e-05
   6.000e-03     2.26669e-05     1.90620e-04     8.62076e+00     7.18736e+00     1.73573e+01     2.16908e+00     5.06803e+07     5.68480e-06      7.37365e-02      1.15183e-01      3.15378e-02      3.60571e-01      8.90072e-01      5.24729e-01      7.44808e-01      8.16928e-01     2.00230e+00     3.63892e-01     6.20165e-01     9.52454e-06     8.31209e-06     2.38986e-06     4.04702e-03     8.61453e-08     6.38155e-03     3.70657e-04     1.63521e-05     1.47907e-03     3.68411e-05     7.09373e-04     6.24979e-05     7.82124e-04     7.17444e-06     3.89787e-04     5.18142e-06     8.45190e-05     4.13328e-06     6.72516e-05     4.34096e-08     3.34837e-06     3.99821e-07     1.95326e-05     1.42785e-05     1.35724e-03     3.75977e-06     8.00542e-05
   6.500e-03     2.88111e-05     2.42233e-04     8.65552e+00     7.18731e+00     1.73571e+01     2.16888e+00     5.06816e+07     6.66853e-06      8.64980e-02      1.35078e-01      3.70203e-02      4.22429e-01      1.04131e+00      6.13968e-01      8.71480e-01      9.55765e-01     2.00216e+00     3.64073e-01     6.19985e-01     9.54005e-06     8.30947e-06     2.38911e-06     4.04678e-03     8.61425e-08     6.38215e-03     3.69669e-04     1.63512e-05     1.47898e-03     3.68389e-05     7.09333e-04     6.24942e-05     7.82079e-04     7.17402e-06     3.89765e-04     5.18112e-06     8.45141e-05     4.13304e-06     6.72476e-05     4.34071e-08     3.34817e-06     3.99798e-07     1.95315e-05     1.42777e-05     1.35716e-03     3.75955e-06     8.00496e-05
   7.000e-03     3.59736e-05     3.02377e-04     8.68771e+00     7.18725e+00     1.73569e+01     2.16867e+00     5.06831e+07     7.73037e-06      1.00273e-01      1.56540e-01      4.29463e-02      4.89018e-01      1.20363e+00      7.09778e-01      1.00747e+00      1.10479e+00     2.00201e+00     3.64267e-01     6.19790e-01     9.55682e-06     8.30757e-06     2.38859e-06     4.04702e-03     8.61500e-08     6.38355e-03     3.68650e-04     1.63522e-05     1.47907e-03     3.68411e-05     7.09376e-04     6.24980e-05     7.82125e-04     7.17445e-06     3.89788e-04     5.18142e-06     8.45192e-05     4.13328e-06     6.72516e-05     4.34097e-08     3.34837e-06     3.99822e-07     1.95327e-05     1.42785e-05     1.35724e-03     3.75977e-06     8.00543e-05
   7.500e-03     4.42320e-05     3.71692e-04     8.71767e+00     7.18718e+00     1.73567e+01     2.16844e+00     5.06846e+07     8.86946e-06      1.15051e-01      1.79548e-01      4.93131e-02      5.60248e-01      1.37671e+00      8.11964e-01      1.15251e+00      1.26370e+00     2.00184e+00     3.64476e-01     6.19582e-01     9.57485e-06     8.30459e-06     2.38773e-06     4.04676e-03     8.61472e-08     6.38428e-03     3.67513e-04     1.63513e-05     1.47899e-03     3.68389e-05     7.09335e-04     6.24943e-05     7.82079e-04     7.17403e-06     3.89765e-04     5.18112e-06     8.45142e-05     4.13304e-06     6.72477e-05     4.34071e-08     3.34818e-06     3.99798e-07     1.95315e-05     1.42777e-05     1.35716e-03     3.75955e-06     8.00496e-05
   8.000e-03     5.36629e-05     4.50812e-04     8.74570e+00     7.18711e+00     1.73565e+01     2.16819e+00     5.06862e+07     1.00856e-05      1.30829e-01      2.04098e-01      5.61213e-02      6.36059e-01      1.56029e+00      9.20387e-01      1.30640e+00      1.43227e+00     2.00166e+00     3.64699e-01     6.19359e-01     9.59415e-06     8.30185e-06     2.38697e-06     4.04677e-03     8.61500e-08     6.38546e-03     3.66326e-04     1.63514e-05     1.47899e-03     3.68391e-05     7.09337e-04     6.24945e-05     7.82082e-04     7.17405e-06     3.89766e-04     5.18114e-06     8.45144e-05     4.13305e-06     6.72479e-05     4.34073e-08     3.34819e-06     3.99799e-07     1.95316e-05     1.42777e-05     1.35716e-03     3.75956e-06     8.00499e-05
   8.500e-03     6.43432e-05     5.40370e-04     8.77203e+00     7.18704e+00     1.73562e+01     2.16793e+00     5.06880e+07     1.13789e-05      1.47608e-01      2.30185e-01      6.33738e-02      7.16411e-01      1.75415e+00      1.03492e+00      1.46898e+00      1.61029e+00     2.00148e+00     3.64936e-01     6.19122e-01     9.61470e-06     8.29900e-06     2.38615e-06     4.04676e-03     8.61526e-08     6.38670e-03     3.65066e-04     1.63514e-05     1.47900e-03     3.68391e-05     7.09339e-04     6.24946e-05     7.82083e-04     7.17406e-06     3.89767e-04     5.18114e-06     8.45146e-05     4.13306e-06     6.72480e-05     4.34073e-08     3.34819e-06     3.99800e-07     1.95316e-05     1.42777e-05     1.35717e-03     3.75957e-06     8.00500e-05
   9.000e-03     7.63497e-05     6.40994e-04     8.79685e+00     7.18695e+00     1.73560e+01     2.16765e+00     5.06898e+07     1.27485e-05      1.65379e-01      2.57793e-01      7.10685e-02      8.01210e-01      1.95795e+00      1.15537e+00      1.63995e+00      1.79745e+00     2.00129e+00     3.65188e-01     6.18870e-01     9.63652e-06     8.29613e-06     2.38534e-06     4.04682e-03     8.61571e-08     6.38813e-03     3.63741e-04     1.63517e-05     1.47903e-03     3.68399e-05     7.09353e-04     6.24959e-05     7.82099e-04     7.17421e-06     3.89775e-04     5.18125e-06     8.45163e-05     4.13314e-06     6.72494e-05     4.34082e-08     3.34826e-06     3.99808e-07     1.95320e-05     1.42780e-05     1.35718e-03     3.75965e-06     8.00517e-05
   9.500e-03     8.97582e-05     7.53305e-04     8.82033e+00     7.18687e+00     1.73557e+01     2.16735e+00     5.06918e+07     1.41947e-05      1.84143e-01      2.86918e-01      7.92085e-02      8.90414e-01      2.17143e+00      1.28159e+00      1.81911e+00      1.99353e+00     2.00107e+00     3.65454e-01     6.18605e-01     9.65963e-06     8.29274e-06     2.38438e-06     4.04674e-03     8.61587e-08     6.38940e-03     3.62332e-04     1.63515e-05     1.47900e-03     3.68394e-05     7.09344e-04     6.24950e-05     7.82088e-04     7.17411e-06     3.89770e-04     5.18118e-06     8.45152e-05     4.13309e-06     6.72485e-05     4.34076e-08     3.34822e-06     3.99803e-07     1.95317e-05     1.42778e-05     1.35717e-03     3.75959e-06     8.00506e-05
