reco_energy	reco_coszen	pid	pdg	true_energy	true_coszen	weight	type	interaction	MaCCQE_linear	MaCCQE_quad	MaCCRES_linear	MaCCRES_quad	Q2	W	x	y
42.8	-0.945	0.650	12	419.61038472	-0.40199514	2.0420617252116942	0	2	0.00000000	0.00000000	0.00000000	0.00000000	65.95330940	14.12266619	0.24933067	0.33570414
42.8	-0.175	0.650	12	134.51208751	-0.98852123	0.0828415267930549	0	2	0.00000000	0.00000000	0.00000000	0.00000000	14.39958538	8.83603544	0.15721180	0.36261484
13.3	-0.615	0.650	12	33.80920034	0.19871682	0.0011360772338749	0	2	0.00000000	0.00000000	0.00000000	0.00000000	14.63208247	5.42899266	0.33851382	0.68082716
13.3	-0.505	0.650	12	45.27501106	0.38973993	0.0027224235950531	0	2	0.00000000	0.00000000	0.00000000	0.00000000	12.23603387	6.18823120	0.24645240	0.58397076
17.8	-0.505	0.650	12	12.29330199	-0.18111049	0.0000574286299613	0	2	0.00000000	0.00000000	0.00000000	0.00000000	4.77228984	4.14218290	0.22672933	0.91178531
32.0	0.045	0.650	12	73.10118532	0.88470967	0.0113594369937626	0	2	0.00000000	0.00000000	0.00000000	0.00000000	18.87210359	9.72373240	0.16769016	0.81984235
32.0	-0.615	0.650	12	64.90054550	-0.55371636	0.0079563953865564	0	2	0.00000000	0.00000000	0.00000000	0.00000000	34.91185206	6.99624168	0.42073786	0.68085556
17.8	-0.395	0.650	12	40.42394766	-0.77353706	0.0019364987558054	0	2	0.00000000	0.00000000	0.00000000	0.00000000	42.57911700	5.07619095	0.63112652	0.88875803
23.8	-0.175	0.650	12	30.90879187	0.25589790	0.0008763894979256	0	2	0.00000000	0.00000000	0.00000000	0.00000000	16.01172500	6.48373919	0.28007690	0.98496509
42.8	-0.835	0.650	12	391.99491856	-0.03838419	1.6495575737436312	0	2	0.00000000	0.00000000	0.00000000	0.00000000	44.44345476	11.34502377	0.25798503	0.23403182
13.3	0.045	0.650	12	43.29295766	-0.41777847	0.0023821466131282	0	2	0.00000000	0.00000000	0.00000000	0.00000000	32.43114164	5.56798777	0.51846639	0.76942520
57.4	-0.615	0.875	12	74.97167622	-0.98073132	0.0122141295994522	0	2	0.00000000	0.00000000	0.00000000	0.00000000	45.04541007	8.51486900	0.38610295	0.82869027
32.0	0.045	0.650	12	60.20399751	-0.34417748	0.0063650647249842	0	2	0.00000000	0.00000000	0.00000000	0.00000000	2.51263780	8.45297380	0.03438021	0.64645462
32.0	-0.835	0.650	12	46.71034025	0.52583506	0.0029808660626870	0	2	0.00000000	0.00000000	0.00000000	0.00000000	46.03293465	6.45954920	0.52986244	0.99045451
17.8	-0.175	0.650	12	45.18114078	-0.42740855	0.0026917083874084	0	2	0.00000000	0.00000000	0.00000000	0.00000000	24.96634041	7.43447333	0.31461122	0.93533142
23.8	-0.835	0.650	12	66.32002095	-0.25483703	0.0084750705182090	0	3	0.00000000	0.00000000	0.00000000	0.00000000	0.63695201	-1.00000000	-1.00000000	-1.00000000
