count	abs_uncertainty	pid	reco_coszen	reco_energy
5.449	0.870	0.65	-0.285	42.8
0.880	0.350	0.88	-0.285	42.8
6.185	0.927	0.65	-0.175	42.8
1.060	0.384	0.88	-0.175	42.8
8.739	1.102	0.65	-0.065	42.8
2.297	0.565	0.88	-0.065	42.8
15.889	1.486	0.65	0.045	42.8
6.616	0.959	0.88	0.045	42.8
2.169	0.549	0.65	-0.945	57.4
1.023	0.377	0.88	-0.945	57.4
2.440	0.582	0.65	-0.835	57.4
1.265	0.419	0.88	-0.835	57.4
2.800	0.624	0.65	-0.725	57.4
1.545	0.463	0.88	-0.725	57.4
3.336	0.681	0.65	-0.615	57.4
1.670	0.482	0.88	-0.615	57.4
3.923	0.738	0.65	-0.505	57.4
1.532	0.461	0.88	-0.505	57.4
4.360	0.778	0.65	-0.395	57.4
1.212	0.410	0.88	-0.395	57.4
4.753	0.813	0.65	-0.285	57.4
0.933	0.360	0.88	-0.285	57.4
5.367	0.864	0.65	-0.175	57.4
0.982	0.369	0.88	-0.175	57.4
6.593	0.957	0.65	-0.065	57.4
1.930	0.518	0.88	-0.065	57.4
8.963	1.116	0.65	0.045	57.4
5.195	0.850	0.88	0.045	57.4
2.202	0.553	0.65	-0.945	77.0
0.463	0.254	0.88	-0.945	77.0
2.300	0.565	0.65	-0.835	77.0
0.624	0.295	0.88	-0.835	77.0
2.331	0.569	0.65	-0.725	77.0
0.845	0.343	0.88	-0.725	77.0
2.530	0.593	0.65	-0.615	77.0
1.000	0.373	0.88	-0.615	77.0
2.895	0.634	0.65	-0.505	77.0
0.984	0.370	0.88	-0.505	77.0
3.232	0.670	0.65	-0.395	77.0
0.824	0.338	0.88	-0.395	77.0
3.541	0.702	0.65	-0.285	77.0
0.678	0.307	0.88	-0.285	77.0
3.819	0.729	0.65	-0.175	77.0
0.776	0.328	0.88	-0.175	77.0
4.073	0.752	0.65	-0.065	77.0
1.500	0.457	0.88	-0.065	77.0
4.317	0.775	0.65	0.045	77.0
3.538	0.701	0.88	0.045	77.0
1.580	0.469	0.65	-0.945	123.3
0.142	0.140	0.88	-0.945	123.3
1.580	0.469	0.65	-0.835	123.3
0.179	0.158	0.88	-0.835	123.3
1.422	0.445	0.65	-0.725	123.3
0.233	0.180	0.88	-0.725	123.3
1.344	0.432	0.65	-0.615	123.3
0.281	0.198	0.88	-0.615	123.3
1.420	0.444	0.65	-0.505	123.3
0.308	0.207	0.88	-0.505	123.3
1.482	0.454	0.65	-0.395	123.3
0.334	0.215	0.88	-0.395	123.3
1.552	0.465	0.65	-0.285	123.3
0.435	0.246	0.88	-0.285	123.3
1.644	0.478	0.65	-0.175	123.3
0.751	0.323	0.88	-0.175	123.3
1.750	0.493	0.65	-0.065	123.3
1.569	0.467	0.88	-0.065	123.3
1.846	0.507	0.65	0.045	123.3
3.502	0.698	0.88	0.045	123.3
