count	pid	reco_coszen	reco_energy
38	0.65	-0.615	123.3
202	0.88	-0.615	123.3
41	0.65	-0.505	123.3
232	0.88	-0.505	123.3
44	0.65	-0.395	123.3
241	0.88	-0.395	123.3
61	0.65	-0.285	123.3
239	0.88	-0.285	123.3
52	0.65	-0.175	123.3
247	0.88	-0.175	123.3
63	0.65	-0.065	123.3
247	0.88	-0.065	123.3
49	0.65	0.045	123.3
219	0.88	0.045	123.3
