reco_energy	reco_coszen	pid	pdg	true_energy	true_coszen	weight	type	interaction	MaCCQE_linear	MaCCQE_quad	MaCCRES_linear	MaCCRES_quad	Q2	W	x	y
23.8	0.045	0.650	12	19.41739525	-0.92317440	0.0002193746640047	1	2	0.00000000	0.00000000	0.00000000	0.00000000	2.33717304	3.23299643	0.19627128	0.32657669
123.3	-0.395	0.650	12	415.25529275	-0.54536264	1.9998930121817944	1	2	0.00000000	0.00000000	0.00000000	0.00000000	268.73712277	20.78179914	0.38405352	0.89735188
57.4	-0.395	0.875	12	146.91679197	-0.88579844	0.0988253457737533	1	2	0.00000000	0.00000000	0.00000000	0.00000000	34.86565776	15.13256213	0.13257987	0.95321505
42.8	0.045	0.650	12	130.99878175	-0.08283612	0.0631388778874308	1	2	0.00000000	0.00000000	0.00000000	0.00000000	69.52931726	9.72880245	0.42578351	0.66382547
7.4	-0.945	0.650	12	11.80278789	-0.16245269	0.0000481091877070	1	2	0.00000000	0.00000000	0.00000000	0.00000000	7.80957975	3.06822801	0.47788295	0.73733282
9.9	-0.835	0.650	12	8.69765917	-0.69429957	0.0000195577254568	1	2	0.00000000	0.00000000	0.00000000	0.00000000	0.84601729	1.58408637	0.34199393	0.15146089
9.9	-0.945	0.650	12	8.44360243	-0.82189785	0.0000178759199919	1	2	0.00000000	0.00000000	0.00000000	0.00000000	0.91145157	2.10226847	0.20484746	0.28061914
7.4	-0.175	0.650	12	9.68507718	-0.43668647	0.0000267558947106	1	2	0.00000000	0.00000000	0.00000000	0.00000000	1.85871136	1.12957443	0.82496410	0.12388418
7.4	-0.945	0.650	12	6.78990346	-0.83643731	0.0000094597798694	1	1	0.00000000	0.00000000	0.60522260	0.13954342	1.83311934	1.27026243	0.71463360	0.20118044
23.8	-0.285	0.650	12	22.70145789	-0.31343101	0.0003492947479690	1	2	0.00000000	0.00000000	0.00000000	0.00000000	18.22965179	4.95204105	0.43537870	0.98219900
13.3	-0.505	0.650	12	13.15631360	-0.67101801	0.0000691075676992	1	2	0.00000000	0.00000000	0.00000000	0.00000000	3.73182524	3.90413485	0.20626336	0.73233034
23.8	-0.725	0.875	12	34.17355081	-0.72873399	0.0011718659204067	1	2	0.00000000	0.00000000	0.00000000	0.00000000	3.13601469	4.46244800	0.14146655	0.34544289
9.9	-0.835	0.875	12	19.89150717	-0.55711664	0.0002340189853227	1	1	0.00000000	0.00000000	0.02437422	-0.00709886	0.01560786	1.19344414	0.02795362	0.01494788
13.3	-0.725	0.650	12	19.90967453	-0.57012283	0.0002344466502369	1	2	0.00000000	0.00000000	0.00000000	0.00000000	6.24862791	5.29464453	0.18708287	0.89336413
17.8	-0.615	0.875	12	24.09260387	-0.89007934	0.0004156890521975	1	2	0.00000000	0.00000000	0.00000000	0.00000000	7.11397334	4.78577705	0.24416382	0.64400498
